n,S,rep,ncand,metric,true_rank,top_rf
20,1000,0,180,sum_equal,12,4
20,1000,0,180,sum_invflow,23,4
20,1000,0,180,sum_sqrtinv,7,4
20,1000,0,180,sum_balance,9,2
20,1000,0,180,sum_balance_sqrt,13,4
20,1000,0,180,flow_z_mean,24,4
20,1000,0,180,bottleneck_raw,9,4
20,1000,0,180,bottleneck_z,20,2
20,1000,0,180,q10_z,28,4
20,1000,0,180,q20_z,33,10
20,5000,0,180,sum_equal,11,4
20,5000,0,180,sum_invflow,24,4
20,5000,0,180,sum_sqrtinv,7,2
20,5000,0,180,sum_balance,8,6
20,5000,0,180,sum_balance_sqrt,10,4
20,5000,0,180,flow_z_mean,25,4
20,5000,0,180,bottleneck_raw,2,4
20,5000,0,180,bottleneck_z,21,36
20,5000,0,180,q10_z,29,4
20,5000,0,180,q20_z,32,4
20,10000,0,180,sum_equal,11,4
20,10000,0,180,sum_invflow,25,4
20,10000,0,180,sum_sqrtinv,6,2
20,10000,0,180,sum_balance,7,2
20,10000,0,180,sum_balance_sqrt,9,4
20,10000,0,180,flow_z_mean,24,4
20,10000,0,180,bottleneck_raw,2,4
20,10000,0,180,bottleneck_z,23,36
20,10000,0,180,q10_z,28,4
20,10000,0,180,q20_z,32,4
20,30000,0,180,sum_equal,11,4
20,30000,0,180,sum_invflow,24,4
20,30000,0,180,sum_sqrtinv,6,2
20,30000,0,180,sum_balance,7,6
20,30000,0,180,sum_balance_sqrt,7,4
20,30000,0,180,flow_z_mean,24,4
20,30000,0,180,bottleneck_raw,2,4
20,30000,0,180,bottleneck_z,23,36
20,30000,0,180,q10_z,26,4
20,30000,0,180,q20_z,32,4
30,1000,0,160,sum_equal,11,2
30,1000,0,160,sum_invflow,23,4
30,1000,0,160,sum_sqrtinv,12,2
30,1000,0,160,sum_balance,20,4
30,1000,0,160,sum_balance_sqrt,8,2
30,1000,0,160,flow_z_mean,14,2
30,1000,0,160,bottleneck_raw,1,0
30,1000,0,160,bottleneck_z,12,14
30,1000,0,160,q10_z,21,8
30,1000,0,160,q20_z,43,4
30,5000,0,160,sum_equal,11,2
30,5000,0,160,sum_invflow,24,4
30,5000,0,160,sum_sqrtinv,14,2
30,5000,0,160,sum_balance,24,4
30,5000,0,160,sum_balance_sqrt,9,2
30,5000,0,160,flow_z_mean,14,2
30,5000,0,160,bottleneck_raw,1,0
30,5000,0,160,bottleneck_z,12,14
30,5000,0,160,q10_z,20,8
30,5000,0,160,q20_z,39,4
30,10000,0,160,sum_equal,11,2
30,10000,0,160,sum_invflow,24,4
30,10000,0,160,sum_sqrtinv,16,4
30,10000,0,160,sum_balance,26,4
30,10000,0,160,sum_balance_sqrt,9,2
30,10000,0,160,flow_z_mean,14,2
30,10000,0,160,bottleneck_raw,1,0
30,10000,0,160,bottleneck_z,12,14
30,10000,0,160,q10_z,28,8
30,10000,0,160,q20_z,37,4
30,30000,0,160,sum_equal,11,2
30,30000,0,160,sum_invflow,24,4
30,30000,0,160,sum_sqrtinv,14,2
30,30000,0,160,sum_balance,24,4
30,30000,0,160,sum_balance_sqrt,8,2
30,30000,0,160,flow_z_mean,14,2
30,30000,0,160,bottleneck_raw,1,0
30,30000,0,160,bottleneck_z,12,14
30,30000,0,160,q10_z,29,8
30,30000,0,160,q20_z,36,4
