n,S,rep,eps,rank,top1,top3,top5,top10,top20,top50,top200,best_is_true,delta_vs_true,visited,ensemble_eff,original_mass,hybrid_leakage,search_time
20,50,0,0.15,5,False,False,True,True,True,True,True,0,1.146430402020087,366,39.46348243028697,0.7501603155382595,0.2498396844617405,0.1610548496246338
20,50,0,0.15,5,False,False,True,True,True,True,True,0,1.146430402020087,366,39.46348243028697,0.7501603155382595,0.2498396844617405,0.1610951423645019
20,50,1,0.15,1,True,True,True,True,True,True,True,0,4.96295903191924,504,37.23397720268772,0.7645110735249541,0.2354889264750459,0.1655333042144775
20,50,2,0.15,1,True,True,True,True,True,True,True,0,1.1579697982538164,235,27.833202539913053,0.7313462482965758,0.2686537517034242,0.1232478618621826
20,50,3,0.15,1,True,True,True,True,True,True,True,1,0.0,302,16.74095054016275,0.6912407851722405,0.3087592148277595,0.1385979652404785
20,50,4,0.15,2,False,True,True,True,True,True,True,0,0.5421861679909625,333,28.00335083271132,0.7039812800785481,0.2960187199214519,0.1382844448089599
20,200,0,0.15,1,True,True,True,True,True,True,True,1,0.0,335,1.5464875916779153,0.8719829651977941,0.1280170348022059,0.1489968299865722
20,200,1,0.15,1,True,True,True,True,True,True,True,1,0.0,335,1.9743617291110125,0.8118412865954815,0.1881587134045185,0.1281592845916748
20,200,2,0.15,1,True,True,True,True,True,True,True,1,0.0,236,1.726179956859306,0.9203053154259978,0.0796946845740022,0.1172685623168945
20,200,3,0.15,1,True,True,True,True,True,True,True,1,0.0,268,1.513089287214732,0.892232247153299,0.107767752846701,0.1025099754333496
20,200,4,0.15,1,True,True,True,True,True,True,True,1,0.0,336,2.814414270921368,0.8735371993313229,0.1264628006686771,0.1336901187896728
20,1000,0,0.15,1,True,True,True,True,True,True,True,1,0.0,266,1.3827417982231396,0.8895296731233793,0.1104703268766207,0.1912310123443603
20,1000,1,0.15,1,True,True,True,True,True,True,True,1,0.0,335,1.3855961237361898,0.8244768213506917,0.1755231786493083,0.207984447479248
20,1000,2,0.15,1,True,True,True,True,True,True,True,1,0.0,235,1.382753906221719,0.9161912674309296,0.0838087325690702,0.1741807460784912
20,1000,3,0.15,1,True,True,True,True,True,True,True,1,0.0,336,1.3828284615024489,0.8446088746153451,0.1553911253846549,0.2243201732635498
20,1000,4,0.15,1,True,True,True,True,True,True,True,1,0.0,268,1.382737750251264,0.90069857062722,0.0993014293727799,0.1923365592956543
50,50,0,0.15,2,False,True,True,True,True,True,True,0,1.0496634485432423,1117,36.06679584806292,0.5931268648237434,0.4068731351762565,1.6245002746582031
50,50,1,0.15,4,False,False,True,True,True,True,True,0,8.924441354286728,2700,39.47577041846588,0.3895321858457014,0.6104678141542986,2.719490766525269
50,50,2,0.15,10,False,False,False,True,True,True,True,0,4.690082305631677,1763,42.409719035985226,0.6140131592079016,0.3859868407920984,3.461591958999634
50,200,0,0.15,1,True,True,True,True,True,True,True,0,2.07568290585914,935,9.366497026161156,0.7723004036965787,0.2276995963034213,1.6620759963989258
50,200,1,0.15,1,True,True,True,True,True,True,True,1,0.0,934,2.7452993799083165,0.7612351487836553,0.2387648512163447,1.2407164573669434
50,200,2,0.15,1,True,True,True,True,True,True,True,1,0.0,841,2.3719161158982405,0.7009364490438269,0.2990635509561731,1.1368367671966553
50,1000,0,0.15,1,True,True,True,True,True,True,True,1,0.0,842,1.3827846867919071,0.8189447417907431,0.1810552582092569,1.5107343196868896
50,1000,1,0.15,1,True,True,True,True,True,True,True,1,0.0,934,1.382737395838925,0.7624098754159814,0.2375901245840186,2.084996223449707
50,1000,2,0.15,1,True,True,True,True,True,True,True,1,0.0,935,1.3828385388461517,0.787848084514751,0.212151915485249,2.2130560874938965
100,50,0,0.15,30,False,False,False,False,False,True,True,0,14.341076725562743,2508,35.09567844417376,0.4172476096292819,0.5827523903707181,7.653314828872681
100,200,0,0.15,1,True,True,True,True,True,True,True,1,0.0,970,1.56518153932085,0.780444883353806,0.2195551166461939,3.5768420696258545
100,1000,0,0.15,1,True,True,True,True,True,True,True,1,0.0,970,1.3827392446381908,0.7965109224083385,0.2034890775916614,4.357081890106201
100,50,1,0.15,9,False,False,False,True,True,True,True,0,5.363982765290984,1934,40.91476270081605,0.4667725231900146,0.5332274768099854,8.08863639831543
100,50,2,0.15,5,False,False,True,True,True,True,True,0,8.267751111024609,2504,41.0207134624276,0.4004208718114787,0.5995791281885212,8.24807095527649
20,20,0,0.15,5,False,False,True,True,True,True,True,0,4.546167138345112,821,42.73375705614546,0.4081284787081449,0.591871521291855,0.3101651668548584
50,20,0,0.15,3,False,True,True,True,True,True,True,0,14.16145047513578,2969,41.56859978581016,0.4471338768779713,0.5528661231220287,3.382821083068848
100,20,0,0.15,27,False,False,False,False,False,True,True,0,15.953099425358005,3273,39.23530233946332,0.4415139389985099,0.5584860610014901,7.519982814788818
