n,S,cases,max_rank,p95,top1,top3,top5,top10,top20,top50,best_true,eff,hybrid,search_s
20,20,1,5,5.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,42.73375705614546,0.591871521291855,0.3101651668548584
20,50,5,5,5.0,0.6,0.8,1.0,1.0,1.0,1.0,0.2,29.854992709152363,0.2717520594778844,0.14535174369812007
20,200,5,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9149065671568668,0.12602019725922092,0.12612495422363276
20,1000,5,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3833316079869522,0.1248989585704868,0.1980105876922607
50,20,1,3,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,41.56859978581016,0.5528661231220287,3.382821083068848
50,50,3,10,10.0,0.0,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,0.0,39.31742843417134,0.4677759300408845,2.601861000061035
50,200,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,4.827904173989237,0.2551759994919797,1.3465430736541748
50,1000,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3827868738256612,0.2102657660928415,1.9362622102101643
100,20,1,27,27.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,39.23530233946332,0.5584860610014901,7.519982814788818
100,50,3,30,30.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.0,39.01038486913914,0.5718529984564082,7.996674060821533
100,200,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.56518153932085,0.2195551166461939,3.5768420696258545
100,1000,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3827392446381908,0.2034890775916614,4.357081890106201
