taxa,columns,unique_patterns,method,objective_or_upper,vars,eq,ineq,solve_seconds,notes
8,6,5,full_transport_adaptive_log,-57.9892564653,6269,4236,8765,5.8,"baseline previous model; adaptive log OA"
8,6,5,physical_switch_with_site_signals,-57.9892564653,9402,5256,33705,9.33,"same bound; small-L overhead, but asymptotically fewer site vars"
8,6,5,conservation_no_routed_w,-57.9892564653,1929,576,5185,1.52,"identical bound; removes all site-specific request-output likelihood cells"
8,6,5,conservation_eliminate_postedge_X,-57.9892564653,1569,216,5185,1.45,"identical bound; substitutes X=PZ"
8,6,5,upper_only_product_hulls,-57.9892564653,1569,216,2625,0.95,"identical bound; drops tiny lower bounds and simplifies perspective McCormick"
8,6,5,ultralight_drop_post_upper_root_lower,-57.9892564653,1569,216,2245,0.84,"identical bound on test"
8,6,5,onepass_chord_r1.1_dense_topology,-57.9944563906,2348,226,5185,0.315,"single solve; total log interpolation error <=0.006812"
8,6,5,compressed_physical_topology_onepass_r1.1,-57.9944563906,2696,446,2900,0.186,"single solve; physical Beneš topology shared, site routing likelihood removed"
12,3,3,full_transport_adaptive_log,-28.1006050402,12021,6745,16710,9.997,"baseline"
12,3,3,conservation_no_routed_w,-28.1006050402,3261,865,7542,0.767,"same upper to 3e-12"
12,3,3,upper_only_eliminated,-28.1006050402,2697,301,3798,0.470,"same upper"
12,3,3,ultralight_eliminated,-28.1006050402,2697,301,3216,0.395,"same upper"
12,3,3,compressed_physical_topology_onepass_r1.1,-28.1037228818,4509,994,5390,0.326,"single solve; total log interpolation error <=0.003406"
16,3,3,full_transport_build_only,,25768,12729,36567,,"full solve exceeded test window"
16,3,3,conservation_no_routed_w,-29.7247614667,6196,1521,13551,4.35,"upper"
16,3,3,ultralight_eliminated,-29.7247614667,5152,477,5742,0.858,"same upper as conservation"
16,3,3,compressed_physical_topology_onepass_r1.1,-29.7278677829,8277,1898,10316,0.970,"single solve; total log interpolation error <=0.003406"
