n,S,rep,eps,order,rank,top1,top3,top5,top10,top20,original_tree_mass,hybrid_leakage,ml_true,ensemble_eff
20,50,0,0.05,0,2,False,True,True,True,True,0.7510151228887465,0.2489848771112535,0,7.239883403159125
20,50,0,0.05,1,2,False,True,True,True,True,0.804753553906862,0.195246446093138,0,7.239883403159125
20,50,0,0.05,2,2,False,True,True,True,True,0.8062866313515344,0.1937133686484655,0,7.239883403159125
20,50,1,0.05,0,2,False,True,True,True,True,0.713098484433358,0.286901515566642,0,8.229103108104912
20,50,1,0.05,1,2,False,True,True,True,True,0.7692767228422741,0.2307232771577259,0,8.229103108104912
20,50,1,0.05,2,2,False,True,True,True,True,0.7744123813264865,0.2255876186735135,0,8.229103108104912
20,50,2,0.05,0,1,True,True,True,True,True,0.819993483683518,0.180006516316482,0,3.3546275352181216
20,50,2,0.05,1,1,True,True,True,True,True,0.8873415406605693,0.1126584593394307,0,3.3546275352181216
20,50,2,0.05,2,1,True,True,True,True,True,0.8965261596796273,0.1034738403203726,0,3.3546275352181216
20,50,3,0.05,0,2,False,True,True,True,True,0.7166422291874853,0.2833577708125147,0,8.493360158312115
20,50,3,0.05,1,2,False,True,True,True,True,0.7408662926948759,0.2591337073051241,0,8.493360158312115
20,50,3,0.05,2,2,False,True,True,True,True,0.7467726482818491,0.2532273517181509,0,8.493360158312115
20,50,4,0.05,0,1,True,True,True,True,True,0.6548077907423978,0.3451922092576022,1,11.840187660814284
20,50,4,0.05,1,1,True,True,True,True,True,0.7024242537183418,0.2975757462816581,1,11.840187660814284
20,50,4,0.05,2,1,True,True,True,True,True,0.7576356649784975,0.2423643350215024,1,11.840187660814284
20,200,0,0.05,0,1,True,True,True,True,True,0.8806296927004681,0.1193703072995319,1,4.205377367874151
20,200,0,0.05,1,1,True,True,True,True,True,0.9017668087585068,0.0982331912414932,1,4.205377367874151
20,200,0,0.05,2,1,True,True,True,True,True,0.9145919564557796,0.0854080435442202,1,4.205377367874151
20,200,1,0.05,0,1,True,True,True,True,True,0.910591022441375,0.0894089775586249,1,2.169940295186317
20,200,1,0.05,1,1,True,True,True,True,True,0.935145719487374,0.0648542805126261,1,2.169940295186317
20,200,1,0.05,2,1,True,True,True,True,True,0.9384753998374894,0.0615246001625106,1,2.169940295186317
20,200,2,0.05,0,1,True,True,True,True,True,0.8853143147978128,0.1146856852021872,1,1.932920545476184
20,200,2,0.05,1,1,True,True,True,True,True,0.9264309524786586,0.0735690475213414,1,1.932920545476184
20,200,2,0.05,2,1,True,True,True,True,True,0.9383889953654638,0.0616110046345361,1,1.932920545476184
20,200,3,0.05,0,1,True,True,True,True,True,0.9199045160833385,0.0800954839166616,1,2.511887730994113
20,200,3,0.05,1,1,True,True,True,True,True,0.9437506827455816,0.0562493172544182,1,2.511887730994113
20,200,3,0.05,2,1,True,True,True,True,True,0.945497537967078,0.0545024620329219,1,2.511887730994113
20,200,4,0.05,0,1,True,True,True,True,True,0.8838139092171666,0.1161860907828333,0,1.436989099524798
20,200,4,0.05,1,1,True,True,True,True,True,0.9239093573916182,0.0760906426083818,0,1.436989099524798
20,200,4,0.05,2,1,True,True,True,True,True,0.9275759648864706,0.0724240351135293,0,1.436989099524798
20,1000,0,0.05,0,1,True,True,True,True,True,0.9327757226068552,0.0672242773931448,1,1.1081593463608468
20,1000,0,0.05,1,1,True,True,True,True,True,0.9461361491887232,0.0538638508112768,1,1.1081593463608468
20,1000,0,0.05,2,1,True,True,True,True,True,0.9503802991382732,0.0496197008617267,1,1.1081593463608468
20,1000,1,0.05,0,1,True,True,True,True,True,0.9208042303212972,0.0791957696787029,1,1.1079079436078372
20,1000,1,0.05,1,1,True,True,True,True,True,0.9390312278781456,0.0609687721218544,1,1.1079079436078372
20,1000,1,0.05,2,1,True,True,True,True,True,0.946326727605962,0.053673272394038,1,1.1079079436078372
20,1000,2,0.05,0,1,True,True,True,True,True,0.9214647919450056,0.0785352080549944,1,1.107910037023419
20,1000,2,0.05,1,1,True,True,True,True,True,0.9354793193790938,0.0645206806209062,1,1.107910037023419
20,1000,2,0.05,2,1,True,True,True,True,True,0.9445106617665008,0.0554893382334991,1,1.107910037023419
20,1000,3,0.05,0,1,True,True,True,True,True,0.9196614005446,0.0803385994554001,1,1.1079080689040135
20,1000,3,0.05,1,1,True,True,True,True,True,0.9367728763205864,0.0632271236794135,1,1.1079080689040135
20,1000,3,0.05,2,1,True,True,True,True,True,0.9360949320790568,0.0639050679209431,1,1.1079080689040135
20,1000,4,0.05,0,1,True,True,True,True,True,0.90607108646486,0.0939289135351399,1,1.1079189728081111
20,1000,4,0.05,1,1,True,True,True,True,True,0.931024044661612,0.0689759553383878,1,1.1079189728081111
20,1000,4,0.05,2,1,True,True,True,True,True,0.9403408590168074,0.0596591409831925,1,1.1079189728081111
50,50,0,0.05,0,1,True,True,True,True,True,0.4158230347061317,0.5841769652938682,1,9.467829893839864
50,50,0,0.05,1,1,True,True,True,True,True,0.435651711071524,0.5643482889284759,1,9.467829893839864
50,50,0,0.05,2,1,True,True,True,True,True,0.4376780426243437,0.5623219573756564,1,9.467829893839864
50,50,1,0.05,0,2,False,True,True,True,True,0.6841545391677549,0.3158454608322451,0,6.420073476057288
50,50,1,0.05,1,2,False,True,True,True,True,0.7226409052442307,0.2773590947557692,0,6.420073476057288
50,50,1,0.05,2,2,False,True,True,True,True,0.7272238845340625,0.2727761154659375,0,6.420073476057288
50,50,2,0.05,0,1,True,True,True,True,True,0.6384855580447854,0.3615144419552146,1,7.095635972512978
50,50,2,0.05,1,1,True,True,True,True,True,0.6741158225302103,0.3258841774697897,1,7.095635972512978
