eps,n,S,order,cases,max_rank,p95,top1,top3,top5,top10,orig_mass,hybrid,ml_true,eff
0.05,20,50,0,5,2,2.0,0.4,1.0,1.0,1.0,0.7311114221871011,0.2688885778128989,0.2,7.831432373121712
0.05,20,50,1,5,2,2.0,0.4,1.0,1.0,1.0,0.7809324727645846,0.21906752723541537,0.2,7.831432373121712
0.05,20,50,2,5,2,2.0,0.4,1.0,1.0,1.0,0.796326697123599,0.20367330287640098,0.2,7.831432373121712
0.05,20,200,0,5,1,1.0,1.0,1.0,1.0,1.0,0.8960506910480323,0.10394930895196777,0.8,2.4514230078111128
0.05,20,200,1,5,1,1.0,1.0,1.0,1.0,1.0,0.9262007041723479,0.07379929582765214,0.8,2.4514230078111128
0.05,20,200,2,5,1,1.0,1.0,1.0,1.0,1.0,0.9329059709024563,0.06709402909754361,0.8,2.4514230078111128
0.05,20,1000,0,5,1,1.0,1.0,1.0,1.0,1.0,0.9201554463765236,0.07984455362347642,1.0,1.1079608737408455
0.05,20,1000,1,5,1,1.0,1.0,1.0,1.0,1.0,0.9376887234856323,0.06231127651436774,1.0,1.1079608737408455
0.05,20,1000,2,5,1,1.0,1.0,1.0,1.0,1.0,0.94353069592132,0.05646930407867987,1.0,1.1079608737408455
0.05,50,50,0,3,2,2.0,0.6666666666666666,1.0,1.0,1.0,0.5794877106395573,0.42051228936044266,0.6666666666666666,7.661179780803377
0.05,50,50,1,3,2,2.0,0.6666666666666666,1.0,1.0,1.0,0.610802812948655,0.38919718705134493,0.6666666666666666,7.661179780803377
0.05,50,50,2,3,2,2.0,0.6666666666666666,1.0,1.0,1.0,0.6184260425955825,0.38157395740441746,0.6666666666666666,7.661179780803377
0.05,50,200,0,3,1,1.0,1.0,1.0,1.0,1.0,0.8175058460233254,0.18249415397667446,1.0,1.2110040011869911
0.05,50,200,1,3,1,1.0,1.0,1.0,1.0,1.0,0.8512605321328874,0.14873946786711248,1.0,1.2110040011869911
0.05,50,200,2,3,1,1.0,1.0,1.0,1.0,1.0,0.8572435351093907,0.1427564648906092,1.0,1.2110040011869911
0.05,50,1000,0,3,1,1.0,1.0,1.0,1.0,1.0,0.826776890686269,0.17322310931373097,1.0,1.10790536641662
0.05,50,1000,1,3,1,1.0,1.0,1.0,1.0,1.0,0.8574020848800746,0.14259791511992534,1.0,1.10790536641662
0.05,50,1000,2,3,1,1.0,1.0,1.0,1.0,1.0,0.8634919243083886,0.13650807569161144,1.0,1.10790536641662
