L,method,decode_s,extracted,residual,components,rd,bu,first,newick,dag_edges,sinkhorn_max
8,root_greedy,0.00944534199879854,0.0,1.0,0,0,0,0,,109,0.0002828197330276838
8,root_beam,0.019969052000305965,0.04439720618214977,0.95560279381785,11,11,0,0.021043863957809855,"(((((((leaf_1,leaf_5),leaf_6),leaf_3),leaf_4),leaf_2),leaf_7),leaf_8);",109,0.0002828197330276838
8,leaf_greedy,0.010279258000082336,0.0,1.0,0,0,0,0,,109,0.0002828197330276838
8,leaf_beam,0.08332687099937175,0.043875037646819146,0.9561249623531807,7,0,7,0.021043863957809855,"(((((((leaf_1,leaf_5),leaf_6),leaf_3),leaf_4),leaf_2),leaf_7),leaf_8);",109,0.0002828197330276838
8,bidirectional,0.09032016799937992,0.04439720618214977,0.95560279381785,11,10,1,0.021043863957809855,"(((((((leaf_1,leaf_5),leaf_6),leaf_3),leaf_4),leaf_2),leaf_7),leaf_8);",109,0.0002828197330276838
8,NNI_FW,1.3151524650002102,0.9864220657286578,0.01357793427134224,11,0,0,0.19059656736009825,"(((((((leaf_1,leaf_5),leaf_2),leaf_3),leaf_4),leaf_6),leaf_7),leaf_8);",0,0
12,root_greedy,0.01901749100034067,0.9929279436899757,0.0070720563100243,5,5,0,0.8286186030787778,"(((((leaf_1,leaf_3),leaf_5),(leaf_4,leaf_8)),(((leaf_2,leaf_6),leaf_12),(leaf_9,(leaf_10,leaf_11)))),leaf_7);",172,0.00031922080767921024
12,root_beam,0.04289214299933519,0.9992080508858868,0.000791949114113197,12,12,0,0.8286186030787778,"(((((leaf_1,leaf_3),leaf_5),(leaf_4,leaf_8)),(((leaf_2,leaf_6),leaf_12),(leaf_9,(leaf_10,leaf_11)))),leaf_7);",172,0.00031922080767921024
12,leaf_greedy,0.031488057000387926,0.9929279436899757,0.0070720563100243,5,0,5,0.8286186030787778,"(((((leaf_1,leaf_3),leaf_5),(leaf_4,leaf_8)),(((leaf_2,leaf_6),leaf_12),(leaf_9,(leaf_10,leaf_11)))),leaf_7);",172,0.00031922080767921024
12,leaf_beam,0.21191080000062357,0.9929279436899757,0.0070720563100243,5,0,5,0.8286186030787778,"(((((leaf_1,leaf_3),leaf_5),(leaf_4,leaf_8)),(((leaf_2,leaf_6),leaf_12),(leaf_9,(leaf_10,leaf_11)))),leaf_7);",172,0.00031922080767921024
12,bidirectional,0.28717316199981724,0.9992080508858868,0.000791949114113197,12,12,0,0.8286186030787778,"(((((leaf_1,leaf_3),leaf_5),(leaf_4,leaf_8)),(((leaf_2,leaf_6),leaf_12),(leaf_9,(leaf_10,leaf_11)))),leaf_7);",172,0.00031922080767921024
12,NNI_FW,6.241976663999594,0.9166705015232265,0.08332949847677351,12,0,0,0.12551505098124394,"((((leaf_1,leaf_12),((leaf_2,leaf_11),leaf_5)),(((leaf_3,leaf_6),leaf_9),((leaf_4,leaf_10),leaf_8))),leaf_7);",0,0
