n,rep,rank,top3,top5,top10,top20,eff,ml_true
20,0,4,False,True,True,True,15.294135590667047,0
20,1,10,False,False,True,True,26.19061010311802,0
20,2,2,True,True,True,True,19.039144889523225,0
20,3,2,True,True,True,True,24.257248909357486,0
20,4,3,True,True,True,True,20.412555246783736,0
50,0,2,True,True,True,True,18.532720494013397,0
50,1,2,True,True,True,True,11.780774850916341,0
50,2,15,False,False,False,True,15.340182250474506,0
50,3,2,True,True,True,True,17.468822917825808,0
50,4,8,False,False,True,True,20.886895785738922,0
50,5,2,True,True,True,True,17.102038829800303,0
50,6,2,True,True,True,True,17.314743489652503,0
50,7,4,False,True,True,True,16.862441812904404,0
100,0,2,True,True,True,True,16.631610680825023,0
100,1,1,True,True,True,True,14.954036033624291,1
