activity_mix,kind,strategy,cases,dominant_exact,dominant_rf,exact_mass,tv,clade_rmse,extracted,weighted_nearest_rf,top20_true,true_rank_weighted
0.0,far3,deferred_beam,4,1.0,0.0,0.95,0.05000000000000002,0.022360679774997918,1.0,0.016666666666666663,1.75,276.575
0.0,far3,destructive_bi,4,1.0,0.0,0.95,0.05000000000000002,0.022360679774997918,1.0,0.016666666666666663,1.75,276.575
0.0,far3,destructive_rd,4,1.0,0.0,0.95,0.05000000000000002,0.022360679774997918,1.0,0.016666666666666663,1.75,276.575
0.0,far3,soft_peel_0.5,4,1.0,0.0,0.95,0.0503662109375,0.02259551951218564,0.999072265625,0.016634114583333335,1.75,276.575
0.0,near3,deferred_beam,4,0.75,0.041666666666666664,0.8625,0.175,0.053452248382484906,1.0,0.006249999999999996,2.75,40.074999999999996
0.0,near3,destructive_bi,4,1.0,0.0,0.8625,0.175,0.05345224838248489,1.0,0.006249999999999996,2.75,40.074999999999996
0.0,near3,destructive_rd,4,1.0,0.0,0.8625,0.175,0.05345224838248489,1.0,0.006249999999999996,2.75,40.074999999999996
0.0,near3,soft_peel_0.5,4,1.0,0.0,0.9,0.10023031234741211,0.05378904915238748,0.9995328903198243,0.0,2.75,40.074999999999996
0.06,far3,deferred_beam,4,1.0,0.0,0.7,0.36330513624765226,0.09544902766112198,0.9329522003843481,0.1782069392919764,2.0,226.625
0.06,far3,destructive_bi,4,1.0,0.0,0.7,0.3708335455746911,0.09072734629967896,0.9480090190384258,0.19616761983166686,2.0,226.625
0.06,far3,destructive_rd,4,1.0,0.0,0.7,0.36894907132044347,0.08811597010762567,0.9442400705299305,0.1923447043055926,2.0,226.625
0.06,far3,soft_peel_0.5,4,1.0,0.0,0.775,0.3847249937469684,0.07498425727360816,0.9104765114323498,0.19099595821007803,2.0,226.625
0.06,near3,deferred_beam,4,0.5,0.10416666666666666,1.0,0.11724063275347767,0.05030601083698303,0.9409454570537329,0.06406231244677334,2.75,39.7
0.06,near3,destructive_bi,4,0.75,0.0625,0.9625,0.13181717248492306,0.04617836746650411,0.9505935625405613,0.07139471793644238,2.75,39.7
0.06,near3,destructive_rd,4,0.75,0.0625,0.9625,0.13054705908787043,0.04740851206070535,0.948053335746456,0.0718146483642815,2.75,39.7
0.06,near3,soft_peel_0.5,4,0.75,0.0625,0.9625,0.1304362532956959,0.03913705767598985,0.9332032168214242,0.06507048682386456,2.75,39.7
