activity_mix,kind,strategy,cases,dominant_exact,dominant_rf,dominant_rank,top1_true_exact,exact_mass,tv,clade_rmse,tmem_rmse,activity_rmse,extracted,weighted_nearest_rf,top20_true
0.0,far3,deferred_beam,8,0.75,0.22916666666666669,1.0,1.0,0.95,0.05000000000000001,0.022026397270962502,0.010575072094509938,1.3754045370084913e-17,1.0,0.016666666666666663,2.125
0.0,far3,destructive_bi,8,1.0,0.0,1.0,1.0,0.95,0.05000000000000001,0.022026397270962502,0.010575072094509936,1.3754045370084913e-17,1.0,0.016666666666666663,2.125
0.0,far3,destructive_rd,8,1.0,0.0,1.0,1.0,0.95,0.05000000000000001,0.022026397270962502,0.010575072094509936,1.3754045370084913e-17,1.0,0.016666666666666663,2.125
0.0,far3,soft_peel_0.5,8,1.0,0.0,1.0,1.0,0.975,0.04571533203125,0.014577083041504794,0.007916872758497225,0.0004820850011896165,0.999072265625,0.017942301432291665,2.125
0.0,near3,deferred_beam,8,0.75,0.0625,1.25,0.875,0.9625,0.05624999999999998,0.02164350706287197,0.007931304070882446,5.23038807712379e-18,1.0,0.012499999999999995,2.625
0.0,near3,destructive_bi,8,0.875,0.03125,1.25,0.875,0.9437500000000001,0.09374999999999997,0.021643507062871978,0.007931304070882448,8.063179651104036e-18,1.0,0.017187499999999994,2.625
0.0,near3,destructive_rd,8,0.875,0.03125,1.25,0.875,0.9437500000000001,0.09374999999999997,0.021643507062871978,0.007931304070882448,8.063179651104036e-18,1.0,0.017187499999999994,2.625
0.0,near3,soft_peel_0.5,8,0.75,0.05208333333333333,1.25,0.875,0.98125,0.035306832939386364,0.011814154938198538,0.0040601248921117265,0.00018721775645141458,0.999634213745594,0.011795372143387793,2.625
0.0,single,deferred_beam,8,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0.0,single,destructive_bi,8,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0.0,single,destructive_rd,8,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0.0,single,soft_peel_0.5,8,1.0,0.0,1.0,1.0,1.0,7.62939453125e-06,1.52587890625e-05,4.739557560900764e-06,9.228311913953163e-06,0.9999847412109375,0.0,1.0
0.03,far3,deferred_beam,8,1.0,0.0,1.0,1.0,0.8125,0.22545200156819023,0.05829101725984994,0.04236555160009289,0.015423398296171916,0.9683013469561639,0.09294249851347067,2.375
0.03,far3,destructive_bi,8,1.0,0.0,1.0,1.0,0.8125,0.2287918920641631,0.055687817974840195,0.04256085728570947,0.013332423117889465,0.9725695813521376,0.09876769065604382,2.375
0.03,far3,destructive_rd,8,1.0,0.0,1.0,1.0,0.8125,0.2277306798224802,0.05460297755991338,0.04256215096241372,0.013694068197069233,0.9716530796799516,0.09687519168026522,2.375
0.03,far3,soft_peel_0.5,8,1.0,0.0,1.0,1.0,0.8125,0.2458481488581859,0.053989607008155575,0.06555931441099608,0.025027905026605374,0.9491314603144432,0.09603284784135527,2.375
0.03,near3,deferred_beam,8,0.625,0.13541666666666666,1.125,0.875,0.925,0.11748788061050558,0.03991330618713483,0.02039385223437129,0.016527059370332272,0.9664788256536248,0.043875851076285555,2.5
0.03,near3,destructive_bi,8,0.75,0.08333333333333333,1.125,0.875,0.8500000000000001,0.2005231988787186,0.07299706051880282,0.04672604282678622,0.052055011960685495,0.9219759655099553,0.0640148933240546,2.5
0.03,near3,destructive_rd,8,0.75,0.06249999999999999,1.125,0.875,0.90625,0.14158549009157448,0.07178912562683662,0.03634573166997007,0.05518757895960259,0.9153432748818024,0.04224110592604138,2.5
0.03,near3,soft_peel_0.5,8,0.75,0.06249999999999999,1.125,0.875,0.925,0.17875464220344361,0.06857959788263832,0.06460227841649094,0.057769367382713925,0.9065855359794213,0.05834181099048236,2.5
0.03,single,deferred_beam,8,0.875,0.09375,1.0,1.0,1.0,0.05472500559619135,0.0301061492310316,0.0074008625347426445,0.017698407785113154,0.9671913979579577,0.03116233963972625,1.0
0.03,single,destructive_bi,8,1.0,0.0,1.0,1.0,1.0,0.054302385184367884,0.029054257932246717,0.0067034406764673515,0.014572807494341634,0.9735861048190815,0.035586578514897535,1.0
0.03,single,destructive_rd,8,1.0,0.0,1.0,1.0,1.0,0.05337442002809591,0.028822644164202528,0.006911015671153645,0.01535143528358908,0.9717301745065375,0.034666955182089745,1.0
0.03,single,soft_peel_0.5,8,1.0,0.0,1.0,1.0,1.0,0.05771541979010116,0.02384707653828913,0.06479333809632351,0.018592769386017192,0.9652276299720725,0.028154017191674673,1.0
0.08,far3,deferred_beam,8,1.0,0.0,1.0,1.0,0.825,0.27494329776480736,0.06948598612341285,0.043071644677160806,0.04025986176199467,0.9153355323486396,0.10957396798560609,2.0
0.08,far3,destructive_bi,8,1.0,0.0,1.0,1.0,0.825,0.2809670711704366,0.06617695963821575,0.04294042439244555,0.03440380386516487,0.9296379675024534,0.12292857635493282,2.0
0.08,far3,destructive_rd,8,1.0,0.0,1.0,1.0,0.825,0.2789306576712711,0.0666139178935918,0.0424639665375371,0.03549756396291251,0.9255651405041224,0.11648910065366348,2.0
0.08,far3,soft_peel_0.5,8,1.0,0.0,1.0,1.0,0.8625,0.3623535626597294,0.06209620748926661,0.06952680063061255,0.04569250555019292,0.9022432853580101,0.15905260823963527,2.0
0.08,near3,deferred_beam,8,0.875,0.03125,1.0,1.0,0.9625,0.17703778091532874,0.05969029451368258,0.017594955280131077,0.040800255245866654,0.9153522844116657,0.07374991742095831,2.625
0.08,near3,destructive_bi,8,1.0,0.0,1.0,1.0,0.9625,0.1735947484768119,0.053323694608798884,0.016030770653154416,0.03420582912254682,0.9292187325770388,0.08658633914292958,2.625
0.08,near3,destructive_rd,8,1.0,0.0,1.0,1.0,0.9625,0.1760783044797585,0.053162266864049276,0.016146749848817993,0.0348722741386235,0.928508406856301,0.08572314887088148,2.625
0.08,near3,soft_peel_0.5,8,0.875,0.03125,1.0,1.0,1.0,0.20633435730674424,0.05786483812244537,0.06333060954291965,0.06730879243437356,0.8892079887457985,0.08504716311174584,2.625
0.08,single,deferred_beam,8,0.875,0.0625,1.0,1.0,1.0,0.15971640302841406,0.0733138181612778,0.019312902932293048,0.03323934965701974,0.9364182004534392,0.10747062414113914,1.0
0.08,single,destructive_bi,8,1.0,0.0,1.0,1.0,1.0,0.15613369044571404,0.06923167651926329,0.017261901816236946,0.02925706403975776,0.9441736241612136,0.11137342892619194,1.0
0.08,single,destructive_rd,8,1.0,0.0,1.0,1.0,1.0,0.1470869668522707,0.07830996107459039,0.01932553567128322,0.03921343580430354,0.9234820013615305,0.09280141235477064,1.0
0.08,single,soft_peel_0.5,8,1.0,0.0,1.0,1.0,1.0,0.15353068979016304,0.05470918116937868,0.10487437431302618,0.10241363486111865,0.92854870546974,0.0907952445370549,1.0
