n,S,rep,ncand,tref,kind,metric,true_rank,top_rf,corr_neg_rf,candidate_gen_s,score_s,unique_units
20,1000,0,300,0.1,single,sum_equal,89,4,0.9624822014664642,1.9548587799072266,0.0841982364654541,695
20,1000,0,300,0.1,single,sum_invflow,48,4,0.9710362508357352,1.9548587799072266,0.0841982364654541,695
20,1000,0,300,0.1,single,sum_sqrtinv,59,4,0.9708753274915026,1.9548587799072266,0.0841982364654541,695
20,1000,0,300,0.1,single,sum_balance,55,4,0.969310283483284,1.9548587799072266,0.0841982364654541,695
20,1000,0,300,0.1,single,sum_balance_sqrt,72,4,0.9685988020820645,1.9548587799072266,0.0841982364654541,695
20,1000,0,300,0.1,single,flow_z_mean,103,4,0.9373940725396896,1.9548587799072266,0.0841982364654541,695
20,1000,0,300,0.1,single,bottleneck_raw,49,4,0.9072368571580264,1.9548587799072266,0.0841982364654541,695
20,1000,0,300,0.1,single,bottleneck_z,94,36,0.37929803606793283,1.9548587799072266,0.0841982364654541,695
20,1000,0,300,0.1,single,q10_z,130,4,0.5306066135418671,1.9548587799072266,0.0841982364654541,695
20,1000,0,300,0.1,single,q20_z,96,12,0.6621697717820458,1.9548587799072266,0.0841982364654541,695
20,5000,0,300,0.1,single,sum_equal,70,4,0.9609907250431372,4.3118627071380615,0.4762141704559326,710
20,5000,0,300,0.1,single,sum_invflow,49,4,0.9680425732438709,4.3118627071380615,0.4762141704559326,710
20,5000,0,300,0.1,single,sum_sqrtinv,66,4,0.9669741570049298,4.3118627071380615,0.4762141704559326,710
20,5000,0,300,0.1,single,sum_balance,54,4,0.9673976399529711,4.3118627071380615,0.4762141704559326,710
20,5000,0,300,0.1,single,sum_balance_sqrt,60,4,0.9660095987846719,4.3118627071380615,0.4762141704559326,710
20,5000,0,300,0.1,single,flow_z_mean,132,10,0.9339736783790986,4.3118627071380615,0.4762141704559326,710
20,5000,0,300,0.1,single,bottleneck_raw,15,4,0.9452286380368036,4.3118627071380615,0.4762141704559326,710
20,5000,0,300,0.1,single,bottleneck_z,69,8,0.5063003398440419,4.3118627071380615,0.4762141704559326,710
20,5000,0,300,0.1,single,q10_z,175,10,0.645345110723962,4.3118627071380615,0.4762141704559326,710
20,5000,0,300,0.1,single,q20_z,72,8,0.8605249739774741,4.3118627071380615,0.4762141704559326,710
30,1000,0,300,0.1,single,sum_equal,45,4,0.983415017366029,11.162554264068604,0.1544044017791748,1161
30,1000,0,300,0.1,single,sum_invflow,28,6,0.9762028302624177,11.162554264068604,0.1544044017791748,1161
30,1000,0,300,0.1,single,sum_sqrtinv,17,2,0.9795429444581129,11.162554264068604,0.1544044017791748,1161
30,1000,0,300,0.1,single,sum_balance,20,2,0.9778836091930571,11.162554264068604,0.1544044017791748,1161
30,1000,0,300,0.1,single,sum_balance_sqrt,30,2,0.9811194547309572,11.162554264068604,0.1544044017791748,1161
30,1000,0,300,0.1,single,flow_z_mean,43,10,0.9766139238853059,11.162554264068604,0.1544044017791748,1161
