n,regime,rep,method,delta,best_logL,reference_logL
8,moderate,0,spectral_baseline,0,-310.17385,-291.77905
8,moderate,0,spectral_exact_local,2,-299.97898,-291.77905
8,moderate,0,two_point_exact_local,2,-303.75937,-291.77905
8,moderate,1,spectral_baseline,0,-302.64076,-282.18240
8,moderate,1,spectral_exact_local,2,-284.81870,-282.18240
8,moderate,1,two_point_exact_local,2,-294.91804,-282.18240
8,wide,0,spectral_baseline,0,-295.61202,-294.99910
8,wide,0,spectral_exact_local,2,-294.92175,-294.99910
8,wide,0,two_point_exact_local,2,-295.41077,-294.99910
12,moderate,0,spectral_baseline,0,-320.30718,-270.74679
12,moderate,0,spectral_exact_local,2,-305.10779,-270.74679
12,moderate,0,two_point_exact_local,2,-326.26408,-270.74679
8,moderate,0,spectral_saturated_T1,2,-299.01472,-291.77905
8,moderate,0,spectral_saturated_T2,2,-299.97898,-291.77905
8,moderate,1,spectral_saturated_T1,2,-298.24510,-282.18240
8,moderate,1,spectral_saturated_T2,2,-302.44410,-282.18240
8,wide,0,spectral_saturated_T1,2,-295.14556,-294.99910
8,wide,0,spectral_saturated_T2,2,-302.52591,-294.99910
