n,feature_set,R2,spearman,rows
8,overlap,0.6382840457637333,0.7421291377174996,49
8,overlap_presence,0.7608593046662091,0.893059692923938,49
8,overlap_presence_concentration,0.7633591036444625,0.8892805188359657,49
8,all_simple,0.954087994032261,0.9541149655915252,49
8,linearizable_simple,0.7667624006590532,0.8750830810460158,49
12,overlap,0.3985664099541726,0.5717216726933797,149
12,overlap_presence,0.4976691624041639,0.6363634722703893,149
12,overlap_presence_concentration,0.5920826329223239,0.7082513996144424,149
12,all_simple,0.6940547881559818,0.7690534121860476,149
12,linearizable_simple,0.5766941544766282,0.7140812452182221,149
