n,S,rep,regime,delta,weight,kind,tref,spread,alpha,lp_score,secondary_score,build_s,primary_solve_s,score_build_s,secondary_solve_s,baseline_best,best_logL,true_logL,best_minus_true,candidates,true_rank,score_vars,score_rows,anchors,baseline
8,40,0,moderate,2.0,equal,single,0.05,2,0.0,-103.59623994129538,0.06985514747802105,1.7148504257202148,0.7212917804718018,0.016643524169921875,1.3716650009155273,-304.12942219764744,-304.12942219764744,-291.7790510519478,-12.350371145699626,12,9999,704,1408,8,0.25835230122294667
8,40,0,moderate,2.0,equal,single,0.05,2,0.25,-103.59623994129538,0.06985514747802105,1.7148504257202148,0.7212917804718018,0.016643524169921875,1.3716650009155273,-304.12942219764744,-303.75936188889136,-291.7790510519478,-11.980310836943545,30,9999,704,1408,8,0.25835230122294667
8,40,0,moderate,2.0,equal,single,0.05,2,0.5,-103.59623994129538,0.06985514747802105,1.7148504257202148,0.7212917804718018,0.016643524169921875,1.3716650009155273,-304.12942219764744,-306.11260106076077,-291.7790510519478,-14.33355000881295,30,9999,704,1408,8,0.25835230122294667
8,40,0,moderate,2.0,equal,single,0.05,2,0.75,-103.59623994129538,0.06985514747802105,1.7148504257202148,0.7212917804718018,0.016643524169921875,1.3716650009155273,-304.12942219764744,-306.11260106076077,-291.7790510519478,-14.33355000881295,23,9999,704,1408,8,0.25835230122294667
8,40,0,moderate,2.0,equal,single,0.05,2,1.0,-103.59623994129538,0.06985514747802105,1.7148504257202148,0.7212917804718018,0.016643524169921875,1.3716650009155273,-304.12942219764744,-316.7191926891102,-291.7790510519478,-24.940141637162355,6,9999,704,1408,8,0.25835230122294667
8,40,0,moderate,2.0,equal,single,0.2,2,0.0,-103.59623994129532,0.06985514747802297,2.2196168899536133,0.7586076259613037,0.017317533493041992,1.3524305820465088,-310.1738506400182,-310.1738506400182,-291.7790510519478,-18.394799588070384,9,9999,704,1408,8,0.25835230122294667
8,40,0,moderate,2.0,equal,single,0.2,2,0.25,-103.59623994129532,0.06985514747802297,2.2196168899536133,0.7586076259613037,0.017317533493041992,1.3524305820465088,-310.1738506400182,-310.1738506400182,-291.7790510519478,-18.394799588070384,30,9999,704,1408,8,0.25835230122294667
8,40,0,moderate,2.0,equal,single,0.2,2,0.5,-103.59623994129532,0.06985514747802297,2.2196168899536133,0.7586076259613037,0.017317533493041992,1.3524305820465088,-310.1738506400182,-310.11978269401686,-291.7790510519478,-18.340731642069045,30,9999,704,1408,8,0.25835230122294667
8,40,0,moderate,2.0,equal,single,0.2,2,0.75,-103.59623994129532,0.06985514747802297,2.2196168899536133,0.7586076259613037,0.017317533493041992,1.3524305820465088,-310.1738506400182,-307.418706125891,-291.7790510519478,-15.639655073943175,29,9999,704,1408,8,0.25835230122294667
8,40,0,moderate,2.0,equal,single,0.2,2,1.0,-103.59623994129532,0.06985514747802297,2.2196168899536133,0.7586076259613037,0.017317533493041992,1.3524305820465088,-310.1738506400182,-311.03596922500867,-291.7790510519478,-19.256918173060853,13,9999,704,1408,8,0.25835230122294667
