n,S,rep,metric,true_rank,top_rf
20,10000,0,overlap,16,4
20,10000,0,w:-.1:-.1,17,4
20,10000,0,w:-.2:-.2,73,4
20,10000,0,w:-.3:-.3,18,4
20,10000,0,pair_cross,47,36
20,10000,0,pair_sep,16,4
20,10000,0,pair_sepmax,11,4
20,10000,0,pair_seppool,12,4
20,10000,0,pair_ratio,12,4
20,10000,0,pairq10_sep,50,4
20,10000,0,pairq10_seppool,60,4
20,10000,1,overlap,2,8
20,10000,1,w:-.1:-.1,10,2
20,10000,1,w:-.2:-.2,6,10
20,10000,1,w:-.3:-.3,6,2
20,10000,1,pair_cross,46,36
20,10000,1,pair_sep,8,4
20,10000,1,pair_sepmax,5,4
20,10000,1,pair_seppool,6,4
20,10000,1,pair_ratio,6,4
20,10000,1,pairq10_sep,34,4
20,10000,1,pairq10_seppool,45,8
20,10000,2,overlap,12,4
20,10000,2,w:-.1:-.1,1,0
20,10000,2,w:-.2:-.2,1,0
20,10000,2,w:-.3:-.3,1,0
20,10000,2,pair_cross,55,36
20,10000,2,pair_sep,6,2
20,10000,2,pair_sepmax,24,2
20,10000,2,pair_seppool,25,2
20,10000,2,pair_ratio,25,2
20,10000,2,pairq10_sep,33,12
20,10000,2,pairq10_seppool,34,6
30,10000,0,overlap,15,10
30,10000,0,w:-.1:-.1,19,10
30,10000,0,w:-.2:-.2,81,2
30,10000,0,w:-.3:-.3,18,2
30,10000,0,pair_cross,34,56
30,10000,0,pair_sep,20,2
30,10000,0,pair_sepmax,7,2
30,10000,0,pair_seppool,8,2
30,10000,0,pair_ratio,8,2
30,10000,0,pairq10_sep,50,10
30,10000,0,pairq10_seppool,34,16
30,10000,1,overlap,57,12
30,10000,1,w:-.1:-.1,11,4
30,10000,1,w:-.2:-.2,9,2
30,10000,1,w:-.3:-.3,22,8
30,10000,1,pair_cross,40,56
30,10000,1,pair_sep,20,2
30,10000,1,pair_sepmax,5,2
30,10000,1,pair_seppool,8,2
30,10000,1,pair_ratio,8,2
30,10000,1,pairq10_sep,46,14
30,10000,1,pairq10_seppool,35,4
30,10000,2,overlap,9,12
30,10000,2,w:-.1:-.1,9,12
30,10000,2,w:-.2:-.2,11,12
30,10000,2,w:-.3:-.3,19,2
30,10000,2,pair_cross,43,56
30,10000,2,pair_sep,14,8
30,10000,2,pair_sepmax,8,14
30,10000,2,pair_seppool,9,14
30,10000,2,pair_ratio,10,14
30,10000,2,pairq10_sep,18,12
30,10000,2,pairq10_seppool,21,8
20,20000,0,overlap,29,4
20,20000,0,w:-.1:-.1,23,4
20,20000,0,w:-.2:-.2,9,12
20,20000,0,w:-.3:-.3,11,12
20,20000,0,pair_cross,41,36
20,20000,0,pair_sep,6,2
20,20000,0,pair_sepmax,33,4
20,20000,0,pair_seppool,37,4
20,20000,0,pair_ratio,36,4
20,20000,0,pairq10_sep,26,6
20,20000,0,pairq10_seppool,48,8
30,20000,0,overlap,3,2
30,20000,0,w:-.1:-.1,4,8
30,20000,0,w:-.2:-.2,5,2
30,20000,0,w:-.3:-.3,5,2
30,20000,0,pair_cross,39,56
30,20000,0,pair_sep,8,8
30,20000,0,pair_sepmax,6,2
30,20000,0,pair_seppool,6,2
30,20000,0,pair_ratio,9,2
30,20000,0,pairq10_sep,33,14
30,20000,0,pairq10_seppool,15,2
