metric,cases,mean_rank,worst,mean_rf,rd,safe_both,safe_rank
overlap,6,18.5,57,8.333333333333334,0.0,1.0,1.0
pair_sepmax,6,10.0,24,4.666666666666667,-8.5,0.5,0.6666666666666666
w:-.1:-.1,6,11.166666666666666,19,5.333333333333333,-7.333333333333333,0.5,0.5
pair_seppool,6,11.333333333333334,25,4.666666666666667,-7.166666666666667,0.5,0.6666666666666666
pair_ratio,6,11.5,25,4.666666666666667,-7.0,0.5,0.5
pair_sep,6,14.0,20,3.6666666666666665,-4.5,0.5,0.5
w:-.3:-.3,6,14.0,22,3.0,-4.5,0.3333333333333333,0.3333333333333333
w:-.2:-.2,6,30.166666666666668,81,5.0,11.666666666666666,0.3333333333333333,0.3333333333333333
pairq10_seppool,6,38.166666666666664,60,7.666666666666667,19.666666666666668,0.16666666666666666,0.16666666666666666
pairq10_sep,6,38.5,50,9.333333333333334,20.0,0.0,0.16666666666666666
pair_cross,6,44.166666666666664,55,46.0,25.666666666666668,0.0,0.16666666666666666
