n,S,rep,eps,metric,rank,top1,top3,top5,top10,top20,top50,ml_true,eff,candidates,rf_top10
20,50,0,0.05,split_log,1,True,True,True,True,True,True,1,14.438858501808324,120,0.0
20,50,0,0.05,clade_log,1,True,True,True,True,True,True,1,14.438858501808324,120,0.0
20,50,0,0.05,bottleneck,1,True,True,True,True,True,True,1,14.438858501808324,120,0.0
20,50,0,0.05,split_sum,1,True,True,True,True,True,True,1,14.438858501808324,120,0.0
20,50,0,0.05,hybrid,1,True,True,True,True,True,True,1,14.438858501808324,120,0.0
20,50,1,0.05,split_log,1,True,True,True,True,True,True,1,10.24727316712334,120,0.0
20,50,1,0.05,clade_log,1,True,True,True,True,True,True,1,10.24727316712334,120,0.0
20,50,1,0.05,bottleneck,1,True,True,True,True,True,True,1,10.24727316712334,120,0.0
20,50,1,0.05,split_sum,1,True,True,True,True,True,True,1,10.24727316712334,120,0.0
20,50,1,0.05,hybrid,1,True,True,True,True,True,True,1,10.24727316712334,120,0.0
20,50,2,0.05,split_log,2,False,True,True,True,True,True,0,8.681714635650742,120,0.0
20,50,2,0.05,clade_log,2,False,True,True,True,True,True,0,8.681714635650742,120,0.0
20,50,2,0.05,bottleneck,2,False,True,True,True,True,True,0,8.681714635650742,120,0.0
20,50,2,0.05,split_sum,2,False,True,True,True,True,True,0,8.681714635650742,120,0.0
20,50,2,0.05,hybrid,2,False,True,True,True,True,True,0,8.681714635650742,120,0.0
20,50,3,0.05,split_log,1,True,True,True,True,True,True,1,10.168403665747398,120,0.0
20,50,3,0.05,clade_log,1,True,True,True,True,True,True,1,10.168403665747398,120,0.0
20,50,3,0.05,bottleneck,1,True,True,True,True,True,True,1,10.168403665747398,120,0.0
20,50,3,0.05,split_sum,1,True,True,True,True,True,True,1,10.168403665747398,120,0.0
20,50,3,0.05,hybrid,1,True,True,True,True,True,True,1,10.168403665747398,120,0.0
20,50,4,0.05,split_log,2,False,True,True,True,True,True,0,13.4912185565823,120,0.0
20,50,4,0.05,clade_log,2,False,True,True,True,True,True,0,13.4912185565823,120,0.0
20,50,4,0.05,bottleneck,2,False,True,True,True,True,True,0,13.4912185565823,120,0.0
20,50,4,0.05,split_sum,2,False,True,True,True,True,True,0,13.4912185565823,120,0.0
20,50,4,0.05,hybrid,2,False,True,True,True,True,True,0,13.4912185565823,120,0.0
20,50,5,0.05,split_log,2,False,True,True,True,True,True,0,10.889579247401072,120,0.0
20,50,5,0.05,clade_log,2,False,True,True,True,True,True,0,10.889579247401072,120,0.0
20,50,5,0.05,bottleneck,2,False,True,True,True,True,True,0,10.889579247401072,120,0.0
20,50,5,0.05,split_sum,2,False,True,True,True,True,True,0,10.889579247401072,120,0.0
20,50,5,0.05,hybrid,2,False,True,True,True,True,True,0,10.889579247401072,120,0.0
20,200,0,0.05,split_log,1,True,True,True,True,True,True,1,1.5660838217281334,120,0.0
20,200,0,0.05,clade_log,1,True,True,True,True,True,True,1,1.5660838217281334,120,0.0
20,200,0,0.05,bottleneck,1,True,True,True,True,True,True,1,1.5660838217281334,120,0.0
20,200,0,0.05,split_sum,1,True,True,True,True,True,True,1,1.5660838217281334,120,0.0
20,200,0,0.05,hybrid,1,True,True,True,True,True,True,1,1.5660838217281334,120,0.0
20,200,1,0.05,split_log,1,True,True,True,True,True,True,1,1.412446531344295,120,0.0
20,200,1,0.05,clade_log,1,True,True,True,True,True,True,1,1.412446531344295,120,0.0
20,200,1,0.05,bottleneck,1,True,True,True,True,True,True,1,1.412446531344295,120,0.0
20,200,1,0.05,split_sum,1,True,True,True,True,True,True,1,1.412446531344295,120,0.0
20,200,1,0.05,hybrid,1,True,True,True,True,True,True,1,1.412446531344295,120,0.0
20,200,2,0.05,split_log,1,True,True,True,True,True,True,1,3.2147448460508783,120,0.0
20,200,2,0.05,clade_log,1,True,True,True,True,True,True,1,3.2147448460508783,120,0.0
20,200,2,0.05,bottleneck,1,True,True,True,True,True,True,1,3.2147448460508783,120,0.0
20,200,2,0.05,split_sum,1,True,True,True,True,True,True,1,3.2147448460508783,120,0.0
20,200,2,0.05,hybrid,1,True,True,True,True,True,True,1,3.2147448460508783,120,0.0
20,200,3,0.05,split_log,1,True,True,True,True,True,True,1,6.304552021210675,120,0.0
20,200,3,0.05,clade_log,1,True,True,True,True,True,True,1,6.304552021210675,120,0.0
20,200,3,0.05,bottleneck,1,True,True,True,True,True,True,1,6.304552021210675,120,0.0
20,200,3,0.05,split_sum,1,True,True,True,True,True,True,1,6.304552021210675,120,0.0
20,200,3,0.05,hybrid,1,True,True,True,True,True,True,1,6.304552021210675,120,0.0
20,200,4,0.05,split_log,1,True,True,True,True,True,True,1,2.430762402495309,120,0.0
20,200,4,0.05,clade_log,1,True,True,True,True,True,True,1,2.430762402495309,120,0.0
20,200,4,0.05,bottleneck,1,True,True,True,True,True,True,1,2.430762402495309,120,0.0
20,200,4,0.05,split_sum,1,True,True,True,True,True,True,1,2.430762402495309,120,0.0
20,200,4,0.05,hybrid,1,True,True,True,True,True,True,1,2.430762402495309,120,0.0
20,200,5,0.05,split_log,1,True,True,True,True,True,True,1,1.227992772173577,120,0.0
20,200,5,0.05,clade_log,1,True,True,True,True,True,True,1,1.227992772173577,120,0.0
20,200,5,0.05,bottleneck,1,True,True,True,True,True,True,1,1.227992772173577,120,0.0
20,200,5,0.05,split_sum,1,True,True,True,True,True,True,1,1.227992772173577,120,0.0
20,200,5,0.05,hybrid,1,True,True,True,True,True,True,1,1.227992772173577,120,0.0
20,1000,0,0.05,split_log,1,True,True,True,True,True,True,1,1.1079087683533453,120,0.0
20,1000,0,0.05,clade_log,1,True,True,True,True,True,True,1,1.1079087683533453,120,0.0
20,1000,0,0.05,bottleneck,1,True,True,True,True,True,True,1,1.1079087683533453,120,0.0
20,1000,0,0.05,split_sum,1,True,True,True,True,True,True,1,1.1079087683533453,120,0.0
20,1000,0,0.05,hybrid,1,True,True,True,True,True,True,1,1.1079087683533453,120,0.0
20,1000,1,0.05,split_log,1,True,True,True,True,True,True,1,1.107905654243415,120,0.0
20,1000,1,0.05,clade_log,1,True,True,True,True,True,True,1,1.107905654243415,120,0.0
20,1000,1,0.05,bottleneck,1,True,True,True,True,True,True,1,1.107905654243415,120,0.0
20,1000,1,0.05,split_sum,1,True,True,True,True,True,True,1,1.107905654243415,120,0.0
20,1000,1,0.05,hybrid,1,True,True,True,True,True,True,1,1.107905654243415,120,0.0
20,1000,2,0.05,split_log,1,True,True,True,True,True,True,1,1.1079065958532668,120,0.0
20,1000,2,0.05,clade_log,1,True,True,True,True,True,True,1,1.1079065958532668,120,0.0
20,1000,2,0.05,bottleneck,1,True,True,True,True,True,True,1,1.1079065958532668,120,0.0
20,1000,2,0.05,split_sum,1,True,True,True,True,True,True,1,1.1079065958532668,120,0.0
20,1000,2,0.05,hybrid,1,True,True,True,True,True,True,1,1.1079065958532668,120,0.0
20,1000,3,0.05,split_log,1,True,True,True,True,True,True,1,1.1079687811753678,120,0.0
20,1000,3,0.05,clade_log,1,True,True,True,True,True,True,1,1.1079687811753678,120,0.0
20,1000,3,0.05,bottleneck,1,True,True,True,True,True,True,1,1.1079687811753678,120,0.0
20,1000,3,0.05,split_sum,1,True,True,True,True,True,True,1,1.1079687811753678,120,0.0
20,1000,3,0.05,hybrid,1,True,True,True,True,True,True,1,1.1079687811753678,120,0.0
20,1000,4,0.05,split_log,1,True,True,True,True,True,True,1,1.1079053748020933,120,0.0
20,1000,4,0.05,clade_log,1,True,True,True,True,True,True,1,1.1079053748020933,120,0.0
20,1000,4,0.05,bottleneck,1,True,True,True,True,True,True,1,1.1079053748020933,120,0.0
20,1000,4,0.05,split_sum,1,True,True,True,True,True,True,1,1.1079053748020933,120,0.0
20,1000,4,0.05,hybrid,1,True,True,True,True,True,True,1,1.1079053748020933,120,0.0
20,1000,5,0.05,split_log,1,True,True,True,True,True,True,1,1.107910054230178,120,0.0
20,1000,5,0.05,clade_log,1,True,True,True,True,True,True,1,1.107910054230178,120,0.0
20,1000,5,0.05,bottleneck,1,True,True,True,True,True,True,1,1.107910054230178,120,0.0
20,1000,5,0.05,split_sum,1,True,True,True,True,True,True,1,1.107910054230178,120,0.0
20,1000,5,0.05,hybrid,1,True,True,True,True,True,True,1,1.107910054230178,120,0.0
50,50,0,0.05,split_log,2,False,True,True,True,True,True,0,7.371263200852423,120,0.0
50,50,0,0.05,clade_log,2,False,True,True,True,True,True,0,7.371263200852423,120,0.0
50,50,0,0.05,bottleneck,2,False,True,True,True,True,True,0,7.371263200852423,120,0.0
50,50,0,0.05,split_sum,2,False,True,True,True,True,True,0,7.371263200852423,120,0.0
50,50,0,0.05,hybrid,3,False,True,True,True,True,True,0,7.371263200852423,120,0.0
50,50,1,0.05,split_log,1,True,True,True,True,True,True,1,13.523864695030795,120,0.0
50,50,1,0.05,clade_log,1,True,True,True,True,True,True,1,13.523864695030795,120,0.0
50,50,1,0.05,bottleneck,1,True,True,True,True,True,True,1,13.523864695030795,120,0.0
50,50,1,0.05,split_sum,1,True,True,True,True,True,True,1,13.523864695030795,120,0.0
50,50,1,0.05,hybrid,1,True,True,True,True,True,True,1,13.523864695030795,120,0.0
50,50,2,0.05,split_log,2,False,True,True,True,True,True,0,8.029619104396748,120,0.0
50,50,2,0.05,clade_log,2,False,True,True,True,True,True,0,8.029619104396748,120,0.0
50,50,2,0.05,bottleneck,2,False,True,True,True,True,True,0,8.029619104396748,120,0.0
50,50,2,0.05,split_sum,2,False,True,True,True,True,True,0,8.029619104396748,120,0.0
50,50,2,0.05,hybrid,2,False,True,True,True,True,True,0,8.029619104396748,120,0.0
50,200,0,0.05,split_log,1,True,True,True,True,True,True,1,1.113160030428164,120,0.0
50,200,0,0.05,clade_log,1,True,True,True,True,True,True,1,1.113160030428164,120,0.0
50,200,0,0.05,bottleneck,1,True,True,True,True,True,True,1,1.113160030428164,120,0.0
50,200,0,0.05,split_sum,1,True,True,True,True,True,True,1,1.113160030428164,120,0.0
50,200,0,0.05,hybrid,1,True,True,True,True,True,True,1,1.113160030428164,120,0.0
50,200,1,0.05,split_log,1,True,True,True,True,True,True,1,1.1390335571550896,120,0.0
50,200,1,0.05,clade_log,1,True,True,True,True,True,True,1,1.1390335571550896,120,0.0
