n,S,regime,rep,spectral_minus_two_point,two_gap,spec_gap,two_candidates,spec_candidates,build_ratio,solve_ratio
8,60,moderate,0,-40.859953529996574,-14.729990472397958,-55.58994400239453,18.0,5.0,3.760237816021677,1.2800543372294877
8,60,moderate,2,1.5011193497111321,-12.069676257787648,-10.568556908076516,12.0,9.0,2.7935206344229226,1.1149453074670084
8,60,moderate,3,-6.6284320667217,-24.33924657930396,-30.96767864602566,26.0,8.0,2.719216237225891,1.1274807569911471
8,60,moderate,4,-11.889721226189522,-19.872238494300063,-31.761959720489585,10.0,32.0,3.1506813020957765,1.4445849699033042
8,60,wide,0,-0.5778764590318133,-0.5038966534116867,-1.0817731124435,9.0,9.0,3.167629464759299,1.6266403792247939
8,60,wide,2,35.00969245171501,-34.88368865093463,0.12600380078038143,6.0,38.0,3.2100570858633057,1.0959573980369672
8,60,wide,3,-1.5575666506551897,5.133791293233173,3.5762246425779836,23.0,10.0,3.182930829900035,1.4055124107683528
8,60,wide,4,-1.2445036247471535,0.033813745722056865,-1.2106898790250966,9.0,32.0,2.983004495546483,1.3094684541038921
8,80,moderate,1,-3.7256809925495418,-55.67779573341909,-59.40347672596863,12.0,10.0,3.0573472881215706,1.2706518923502828
12,50,moderate,0,-0.3444676952815371,-63.929783209340144,-64.27425090462168,14.0,32.0,3.5227648854599,1.6965506235951981
12,50,wide,0,-54.32904091819546,-87.81513276087628,-142.14417367907174,18.0,4.0,3.33288255953233,1.0281010930908725
