n,S,rep,regime,beta,gamma,eta,source,two_point_best,spectral_primary_best,best_weighted_union,best_alpha
8,40,0,moderate,-0.2,-0.2,0.5,weighted_secondary_coupling.csv,-313.2878247540923,-304.12942219764744,-304.12942219764744,0.0
8,40,0,moderate,-0.1,-0.1,0.0,weighted_secondary_mild.csv,-313.2878629597229,-304.12945275081364,-304.12945275081364,0.0
8,40,0,wide,-0.2,-0.2,0.5,weighted_secondary_coupling.csv,-296.2883070817008,-295.6120190586375,-294.7987784838388,1.0
8,40,0,wide,-0.1,-0.1,0.0,weighted_secondary_mild.csv,-322.79660298280044,-295.6121317259692,-295.6121317259692,0.0
8,40,1,moderate,-0.2,-0.2,0.3,weighted_secondary_grid.csv,-309.7575229428332,-302.64079508727565,-294.08964839717555,0.5
8,40,1,moderate,-0.2,-0.2,0.5,weighted_secondary_coupling.csv,-309.7574981514878,-302.6407559918249,-294.0844260546879,0.5
8,40,1,moderate,-0.1,-0.1,0.0,weighted_secondary_grid.csv,-309.7575229428332,-302.64079508727565,-293.1121757789064,1.0
8,40,1,moderate,-0.1,-0.1,0.3,weighted_secondary_grid.csv,-309.7575229428332,-302.64079508727565,-294.08964839717555,0.5
8,40,1,moderate,0.0,0.0,0.0,weighted_secondary_grid.csv,-309.7575229428332,-302.64079508727565,-299.11446613415404,0.5
8,40,1,wide,-0.2,-0.2,0.5,weighted_secondary_coupling.csv,-351.84773223268024,-339.70777636566976,-339.70777636566976,0.0
8,40,2,moderate,-0.2,-0.2,0.5,weighted_secondary_coupling.csv,-310.92352329806045,-303.21162292805195,-303.21162292805195,0.0
8,40,2,moderate,-0.1,-0.1,0.0,weighted_secondary_mild.csv,-310.92352329806045,-303.21162292805195,-303.21162292805195,0.0
8,40,3,moderate,-0.2,-0.2,0.5,weighted_secondary_coupling.csv,-296.6662207814527,-289.52719412281255,-289.52719412281255,0.0
