L,kind,noise,rep,dominant_rank,top1,top3,top5,top10,any_true_top3,all_true_top10
6,single,0.0,0,1,True,True,True,True,True,True
6,single,0.0,1,1,True,True,True,True,True,True
6,single,0.0,2,1,True,True,True,True,True,True
6,single,0.0,3,1,True,True,True,True,True,True
6,single,0.0,4,1,True,True,True,True,True,True
6,single,0.0,5,1,True,True,True,True,True,True
6,single,0.0,6,1,True,True,True,True,True,True
6,single,0.0,7,1,True,True,True,True,True,True
6,single,0.0,8,1,True,True,True,True,True,True
6,single,0.0,9,1,True,True,True,True,True,True
6,single,0.0,10,1,True,True,True,True,True,True
6,single,0.0,11,1,True,True,True,True,True,True
6,single,0.03,0,1,True,True,True,True,True,True
6,single,0.03,1,1,True,True,True,True,True,True
6,single,0.03,2,1,True,True,True,True,True,True
6,single,0.03,3,1,True,True,True,True,True,True
6,single,0.03,4,1,True,True,True,True,True,True
6,single,0.03,5,1,True,True,True,True,True,True
6,single,0.03,6,1,True,True,True,True,True,True
6,single,0.03,7,1,True,True,True,True,True,True
6,single,0.03,8,1,True,True,True,True,True,True
6,single,0.03,9,1,True,True,True,True,True,True
6,single,0.03,10,1,True,True,True,True,True,True
6,single,0.03,11,1,True,True,True,True,True,True
6,single,0.08,0,1,True,True,True,True,True,True
6,single,0.08,1,1,True,True,True,True,True,True
6,single,0.08,2,1,True,True,True,True,True,True
6,single,0.08,3,1,True,True,True,True,True,True
6,single,0.08,4,1,True,True,True,True,True,True
6,single,0.08,5,1,True,True,True,True,True,True
6,single,0.08,6,1,True,True,True,True,True,True
6,single,0.08,7,1,True,True,True,True,True,True
6,single,0.08,8,1,True,True,True,True,True,True
6,single,0.08,9,1,True,True,True,True,True,True
6,single,0.08,10,1,True,True,True,True,True,True
6,single,0.08,11,1,True,True,True,True,True,True
6,near3,0.0,0,1,True,True,True,True,True,True
6,near3,0.0,1,1,True,True,True,True,True,True
6,near3,0.0,2,1,True,True,True,True,True,True
6,near3,0.0,3,3,False,True,True,True,True,True
6,near3,0.0,4,1,True,True,True,True,True,True
6,near3,0.0,5,1,True,True,True,True,True,True
6,near3,0.0,6,1,True,True,True,True,True,False
6,near3,0.0,7,1,True,True,True,True,True,True
6,near3,0.0,8,1,True,True,True,True,True,True
6,near3,0.0,9,1,True,True,True,True,True,True
6,near3,0.0,10,1,True,True,True,True,True,True
6,near3,0.0,11,1,True,True,True,True,True,False
6,near3,0.03,0,1,True,True,True,True,True,True
6,near3,0.03,1,2,False,True,True,True,True,True
6,near3,0.03,2,1,True,True,True,True,True,True
6,near3,0.03,3,1,True,True,True,True,True,True
6,near3,0.03,4,1,True,True,True,True,True,True
6,near3,0.03,5,1,True,True,True,True,True,True
6,near3,0.03,6,1,True,True,True,True,True,True
6,near3,0.03,7,1,True,True,True,True,True,True
6,near3,0.03,8,1,True,True,True,True,True,True
6,near3,0.03,9,1,True,True,True,True,True,True
6,near3,0.03,10,1,True,True,True,True,True,True
6,near3,0.03,11,1,True,True,True,True,True,True
6,near3,0.08,0,1,True,True,True,True,True,True
6,near3,0.08,1,1,True,True,True,True,True,True
6,near3,0.08,2,1,True,True,True,True,True,True
6,near3,0.08,3,1,True,True,True,True,True,True
6,near3,0.08,4,1,True,True,True,True,True,True
6,near3,0.08,5,2,False,True,True,True,True,True
6,near3,0.08,6,1,True,True,True,True,True,True
6,near3,0.08,7,1,True,True,True,True,True,True
6,near3,0.08,8,1,True,True,True,True,True,True
6,near3,0.08,9,1,True,True,True,True,True,True
6,near3,0.08,10,1,True,True,True,True,True,True
6,near3,0.08,11,1,True,True,True,True,True,True
6,far3,0.0,0,1,True,True,True,True,True,True
6,far3,0.0,1,1,True,True,True,True,True,False
6,far3,0.0,2,1,True,True,True,True,True,False
6,far3,0.0,3,1,True,True,True,True,True,True
6,far3,0.0,4,1,True,True,True,True,True,True
6,far3,0.0,5,1,True,True,True,True,True,True
6,far3,0.0,6,1,True,True,True,True,True,True
6,far3,0.0,7,1,True,True,True,True,True,True
6,far3,0.0,8,1,True,True,True,True,True,False
6,far3,0.0,9,1,True,True,True,True,True,False
6,far3,0.0,10,1,True,True,True,True,True,True
6,far3,0.0,11,1,True,True,True,True,True,False
6,far3,0.03,0,1,True,True,True,True,True,False
6,far3,0.03,1,1,True,True,True,True,True,False
6,far3,0.03,2,1,True,True,True,True,True,False
6,far3,0.03,3,1,True,True,True,True,True,False
6,far3,0.03,4,1,True,True,True,True,True,False
6,far3,0.03,5,1,True,True,True,True,True,True
6,far3,0.03,6,1,True,True,True,True,True,False
6,far3,0.03,7,1,True,True,True,True,True,False
6,far3,0.03,8,1,True,True,True,True,True,False
6,far3,0.03,9,1,True,True,True,True,True,True
6,far3,0.03,10,1,True,True,True,True,True,True
6,far3,0.03,11,1,True,True,True,True,True,False
6,far3,0.08,0,2,False,True,True,True,True,True
6,far3,0.08,1,1,True,True,True,True,True,False
6,far3,0.08,2,1,True,True,True,True,True,True
6,far3,0.08,3,1,True,True,True,True,True,True
6,far3,0.08,4,1,True,True,True,True,True,False
6,far3,0.08,5,1,True,True,True,True,True,True
6,far3,0.08,6,1,True,True,True,True,True,False
6,far3,0.08,7,1,True,True,True,True,True,True
6,far3,0.08,8,1,True,True,True,True,True,False
6,far3,0.08,9,1,True,True,True,True,True,True
6,far3,0.08,10,1,True,True,True,True,True,True
