category,noise,scenario,metric,value
non_destructive_rank,0.0,far3,dominant_top1_rate,1.0
non_destructive_rank,0.0,far3,dominant_top3_rate,1.0
non_destructive_rank,0.0,far3,dominant_top10_rate,1.0
non_destructive_rank,0.0,near3,dominant_top1_rate,0.7916666666666666
non_destructive_rank,0.0,near3,dominant_top3_rate,0.9583333333333334
non_destructive_rank,0.0,near3,dominant_top10_rate,1.0
non_destructive_rank,0.0,single,dominant_top1_rate,1.0
non_destructive_rank,0.0,single,dominant_top3_rate,1.0
non_destructive_rank,0.0,single,dominant_top10_rate,1.0
non_destructive_rank,0.03,far3,dominant_top1_rate,1.0
non_destructive_rank,0.03,far3,dominant_top3_rate,1.0
non_destructive_rank,0.03,far3,dominant_top10_rate,1.0
non_destructive_rank,0.03,near3,dominant_top1_rate,0.875
non_destructive_rank,0.03,near3,dominant_top3_rate,0.9166666666666666
non_destructive_rank,0.03,near3,dominant_top10_rate,1.0
non_destructive_rank,0.03,single,dominant_top1_rate,1.0
non_destructive_rank,0.03,single,dominant_top3_rate,1.0
non_destructive_rank,0.03,single,dominant_top10_rate,1.0
non_destructive_rank,0.08,far3,dominant_top1_rate,0.9583333333333334
non_destructive_rank,0.08,far3,dominant_top3_rate,1.0
non_destructive_rank,0.08,far3,dominant_top10_rate,1.0
non_destructive_rank,0.08,near3,dominant_top1_rate,0.9166666666666666
non_destructive_rank,0.08,near3,dominant_top3_rate,1.0
non_destructive_rank,0.08,near3,dominant_top10_rate,1.0
non_destructive_rank,0.08,single,dominant_top1_rate,1.0
non_destructive_rank,0.08,single,dominant_top3_rate,1.0
non_destructive_rank,0.08,single,dominant_top10_rate,1.0
strict_average,0.0,far3,extractable_root_mass,1.0
strict_average,0.0,far3,exact_true_mass,1.0
strict_average,0.0,far3,topology_TV,2.4286128663675302e-17
strict_average,0.0,near3,extractable_root_mass,1.0
strict_average,0.0,near3,exact_true_mass,0.9625
strict_average,0.0,near3,topology_TV,0.075
strict_average,0.03,far3,extractable_root_mass,0.954861432633648
strict_average,0.03,far3,exact_true_mass,1.0
strict_average,0.03,far3,topology_TV,0.0412488594501926
strict_average,0.03,near3,extractable_root_mass,0.9590865827114315
strict_average,0.03,near3,exact_true_mass,1.0
strict_average,0.03,near3,topology_TV,0.0457700687740622
strict_average,0.08,far3,extractable_root_mass,0.8932687472926933
strict_average,0.08,far3,exact_true_mass,1.0
strict_average,0.08,far3,topology_TV,0.1104291736608419
strict_average,0.08,near3,extractable_root_mass,0.8849780105138798
strict_average,0.08,near3,exact_true_mass,0.9625
strict_average,0.08,near3,topology_TV,0.1624047097403646
mixture_peeling,0.0,deferred_beam,exact_true_mass,0.9625
mixture_peeling,0.0,deferred_beam,topology_TV,0.0562499999999999
mixture_peeling,0.0,destructive_bi,exact_true_mass,0.94375
mixture_peeling,0.0,destructive_bi,topology_TV,0.0937499999999999
mixture_peeling,0.0,destructive_rd,exact_true_mass,0.94375
mixture_peeling,0.0,destructive_rd,topology_TV,0.0937499999999999
mixture_peeling,0.0,soft_peel_0.5,exact_true_mass,0.98125
mixture_peeling,0.0,soft_peel_0.5,topology_TV,0.0353068329393863
