n,S,rep,K,extra_each,union_size,true_recalled,min_rf,raw_true_recalled,raw_min_rf,weighted_rank,pair_rank,raw_rank
20,10000,0,40,10,42,0,2,0,2,41,35,41
20,10000,0,40,20,45,0,2,0,2,41,35,41
20,10000,1,40,10,47,1,0,1,0,6,3,1
20,10000,1,40,20,55,1,0,1,0,6,3,1
20,10000,2,40,10,51,0,2,0,2,18,22,76
20,10000,2,40,20,66,1,0,0,2,18,22,76
30,10000,0,40,10,57,1,0,1,0,15,9,9
30,10000,0,40,20,61,1,0,1,0,15,9,9
30,10000,1,40,10,51,1,0,1,0,6,9,14
30,10000,1,40,20,53,1,0,1,0,6,9,14
30,10000,2,40,10,48,1,0,1,0,19,6,18
30,10000,2,40,20,53,1,0,1,0,19,6,18
