L,composition,case,upper_splitaware,lower_or_exact,denominator_kind,upper/lower,dp_seconds,best_bound_root_split
8,"(4, 4, 0, 0)",binary balanced,0.007691834837654999,0.007683385015289402,exact optimum,1.0010997525633276,0.0012416839599609375,4
8,"(2, 2, 2, 2)",four-base balanced,5.555609983157903e-05,4.6542371936926444e-05,exact optimum,1.1936671364078277,0.005871295928955078,2
12,"(6, 6, 0, 0)",binary balanced,0.005663160538126838,0.005634996055482465,feasible lower bound,1.004998137064705,0.0030999183654785156,6
12,"(3, 3, 3, 3)",four-base balanced,5.14589964508351e-05,4.338450385950872e-05,feasible lower bound,1.1861146693638325,0.040631771087646484,3
16,"(8, 8, 0, 0)",binary balanced,0.004036933228914707,0.004036504508514816,feasible lower bound,1.0001062108066487,0.0071218013763427734,8
16,"(4, 4, 4, 4)",four-base balanced,4.3164283828299644e-05,3.6295355965509047e-05,feasible lower bound,1.1892508746661155,0.20981812477111816,4
24,"(12, 12, 0, 0)",binary balanced,0.0018883768179502893,0.0018570021980328312,feasible lower bound,1.0168953057517616,0.027825355529785156,12
24,"(6, 6, 6, 6)",four-base balanced,2.5184329516903382e-05,2.1338019341436403e-05,feasible lower bound,1.1802561950067132,2.570272922515869,6
32,"(16, 16, 0, 0)",binary balanced,0.0008603515371977423,0.0008603298016563744,feasible lower bound,1.0000252641967373,0.10634708404541016,16
32,"(8, 8, 8, 8)",four-base balanced,1.3509963691770771e-05,1.1638484386678936e-05,feasible lower bound,1.1608009464904103,18.290054321289062,8
