n,S,rep,ncand,beta,gamma,true_rank,top_rf,sim_s,candidate_s,pairdist_s,unit_score_s,unique_units,ref
100,10000,0,180,0,0,3,4,4.674551486968994,2.619737148284912,0.46930503845214844,0.17895174026489258,2628,0.6815000176429749
100,10000,0,180,-0.1,-0.1,2,6,4.674551486968994,2.619737148284912,0.46930503845214844,0.17895174026489258,2628,0.6815000176429749
100,10000,0,180,-0.2,-0.2,3,6,4.674551486968994,2.619737148284912,0.46930503845214844,0.17895174026489258,2628,0.6815000176429749
100,10000,0,180,-0.3,-0.3,5,6,4.674551486968994,2.619737148284912,0.46930503845214844,0.17895174026489258,2628,0.6815000176429749
100,10000,0,180,-0.2,0,19,6,4.674551486968994,2.619737148284912,0.46930503845214844,0.17895174026489258,2628,0.6815000176429749
100,10000,0,180,0,-0.2,109,196,4.674551486968994,2.619737148284912,0.46930503845214844,0.17895174026489258,2628,0.6815000176429749
100,10000,0,180,-0.3,0,21,6,4.674551486968994,2.619737148284912,0.46930503845214844,0.17895174026489258,2628,0.6815000176429749
100,10000,0,180,0,-0.3,112,196,4.674551486968994,2.619737148284912,0.46930503845214844,0.17895174026489258,2628,0.6815000176429749
100,10000,0,180,0.1,0,115,40,4.674551486968994,2.619737148284912,0.46930503845214844,0.17895174026489258,2628,0.6815000176429749
100,10000,0,180,0,0.1,13,6,4.674551486968994,2.619737148284912,0.46930503845214844,0.17895174026489258,2628,0.6815000176429749
