n,S,rep,regime,ncand,beta,gamma,true_rank,top_rf,sim_s,candidate_s,pairdist_s,unit_score_s,unique_units,ref
100,10000,0,moderate,180,0,0,3,4,3.951409101486206,1.9087753295898438,0.3821895122528076,0.08947587013244629,2628,0.6815000176429749
100,10000,0,moderate,180,-0.05,-0.05,4,4,3.951409101486206,1.9087753295898438,0.3821895122528076,0.08947587013244629,2628,0.6815000176429749
100,10000,0,moderate,180,-0.1,-0.1,2,6,3.951409101486206,1.9087753295898438,0.3821895122528076,0.08947587013244629,2628,0.6815000176429749
100,10000,0,moderate,180,-0.15,-0.15,2,6,3.951409101486206,1.9087753295898438,0.3821895122528076,0.08947587013244629,2628,0.6815000176429749
100,10000,0,moderate,180,-0.2,-0.2,3,6,3.951409101486206,1.9087753295898438,0.3821895122528076,0.08947587013244629,2628,0.6815000176429749
100,10000,0,moderate,180,-0.3,-0.3,5,6,3.951409101486206,1.9087753295898438,0.3821895122528076,0.08947587013244629,2628,0.6815000176429749
100,10000,0,moderate,180,-0.2,0,19,6,3.951409101486206,1.9087753295898438,0.3821895122528076,0.08947587013244629,2628,0.6815000176429749
100,10000,0,moderate,180,0,-0.2,109,196,3.951409101486206,1.9087753295898438,0.3821895122528076,0.08947587013244629,2628,0.6815000176429749
100,10000,0,moderate,180,0.1,0,115,40,3.951409101486206,1.9087753295898438,0.3821895122528076,0.08947587013244629,2628,0.6815000176429749
100,10000,0,moderate,180,0,0.1,13,6,3.951409101486206,1.9087753295898438,0.3821895122528076,0.08947587013244629,2628,0.6815000176429749
100,10000,1,moderate,180,0,0,5,2,3.917694330215454,2.1096832752227783,0.38895297050476074,0.08840370178222656,2661,0.6776999831199646
100,10000,1,moderate,180,-0.05,-0.05,5,2,3.917694330215454,2.1096832752227783,0.38895297050476074,0.08840370178222656,2661,0.6776999831199646
100,10000,1,moderate,180,-0.1,-0.1,7,2,3.917694330215454,2.1096832752227783,0.38895297050476074,0.08840370178222656,2661,0.6776999831199646
100,10000,1,moderate,180,-0.15,-0.15,5,2,3.917694330215454,2.1096832752227783,0.38895297050476074,0.08840370178222656,2661,0.6776999831199646
100,10000,1,moderate,180,-0.2,-0.2,40,12,3.917694330215454,2.1096832752227783,0.38895297050476074,0.08840370178222656,2661,0.6776999831199646
100,10000,1,moderate,180,-0.3,-0.3,10,2,3.917694330215454,2.1096832752227783,0.38895297050476074,0.08840370178222656,2661,0.6776999831199646
100,10000,1,moderate,180,-0.2,0,9,2,3.917694330215454,2.1096832752227783,0.38895297050476074,0.08840370178222656,2661,0.6776999831199646
100,10000,1,moderate,180,0,-0.2,100,196,3.917694330215454,2.1096832752227783,0.38895297050476074,0.08840370178222656,2661,0.6776999831199646
100,10000,1,moderate,180,0.1,0,112,48,3.917694330215454,2.1096832752227783,0.38895297050476074,0.08840370178222656,2661,0.6776999831199646
100,10000,1,moderate,180,0,0.1,9,2,3.917694330215454,2.1096832752227783,0.38895297050476074,0.08840370178222656,2661,0.6776999831199646
100,10000,2,moderate,180,0,0,3,10,4.030909776687622,3.100627899169922,0.39258289337158203,0.08837270736694336,2662,0.6822899758815766
100,10000,2,moderate,180,-0.05,-0.05,5,10,4.030909776687622,3.100627899169922,0.39258289337158203,0.08837270736694336,2662,0.6822899758815766
100,10000,2,moderate,180,-0.1,-0.1,4,4,4.030909776687622,3.100627899169922,0.39258289337158203,0.08837270736694336,2662,0.6822899758815766
100,10000,2,moderate,180,-0.15,-0.15,5,10,4.030909776687622,3.100627899169922,0.39258289337158203,0.08837270736694336,2662,0.6822899758815766
100,10000,2,moderate,180,-0.2,-0.2,5,10,4.030909776687622,3.100627899169922,0.39258289337158203,0.08837270736694336,2662,0.6822899758815766
100,10000,2,moderate,180,-0.3,-0.3,6,10,4.030909776687622,3.100627899169922,0.39258289337158203,0.08837270736694336,2662,0.6822899758815766
100,10000,2,moderate,180,-0.2,0,24,4,4.030909776687622,3.100627899169922,0.39258289337158203,0.08837270736694336,2662,0.6822899758815766
100,10000,2,moderate,180,0,-0.2,116,196,4.030909776687622,3.100627899169922,0.39258289337158203,0.08837270736694336,2662,0.6822899758815766
100,10000,2,moderate,180,0.1,0,113,16,4.030909776687622,3.100627899169922,0.39258289337158203,0.08837270736694336,2662,0.6822899758815766
100,10000,2,moderate,180,0,0.1,17,4,4.030909776687622,3.100627899169922,0.39258289337158203,0.08837270736694336,2662,0.6822899758815766
100,20000,0,moderate,180,0,0,2,6,15.456307411193848,2.008955717086792,0.8287942409515381,0.09305787086486816,2685,0.687280023097992
100,20000,0,moderate,180,-0.05,-0.05,2,6,15.456307411193848,2.008955717086792,0.8287942409515381,0.09305787086486816,2685,0.687280023097992
100,20000,0,moderate,180,-0.1,-0.1,2,6,15.456307411193848,2.008955717086792,0.8287942409515381,0.09305787086486816,2685,0.687280023097992
100,20000,0,moderate,180,-0.15,-0.15,2,6,15.456307411193848,2.008955717086792,0.8287942409515381,0.09305787086486816,2685,0.687280023097992
100,20000,0,moderate,180,-0.2,-0.2,2,6,15.456307411193848,2.008955717086792,0.8287942409515381,0.09305787086486816,2685,0.687280023097992
100,20000,0,moderate,180,-0.3,-0.3,3,6,15.456307411193848,2.008955717086792,0.8287942409515381,0.09305787086486816,2685,0.687280023097992
