n,S,rep,regime,ncand,beta,gamma,true_rank,top_rf,sim_s,candidate_s,pairdist_s,unit_score_s,unique_units,ref
100,10000,0,wide,180,0,0,41,196,3.842428684234619,2.1372287273406982,0.3954493999481201,0.0913703441619873,2658,0.7441999912261963
100,10000,0,wide,180,-0.1,-0.1,30,196,3.842428684234619,2.1372287273406982,0.3954493999481201,0.0913703441619873,2658,0.7441999912261963
100,10000,0,wide,180,-0.2,-0.2,25,196,3.842428684234619,2.1372287273406982,0.3954493999481201,0.0913703441619873,2658,0.7441999912261963
100,10000,0,wide,180,-0.3,-0.3,25,196,3.842428684234619,2.1372287273406982,0.3954493999481201,0.0913703441619873,2658,0.7441999912261963
100,10000,0,wide,180,-0.2,0,43,196,3.842428684234619,2.1372287273406982,0.3954493999481201,0.0913703441619873,2658,0.7441999912261963
100,10000,0,wide,180,0,-0.2,61,194,3.842428684234619,2.1372287273406982,0.3954493999481201,0.0913703441619873,2658,0.7441999912261963
100,10000,0,wide,180,-0.3,0,46,196,3.842428684234619,2.1372287273406982,0.3954493999481201,0.0913703441619873,2658,0.7441999912261963
100,10000,0,wide,180,0,-0.3,94,194,3.842428684234619,2.1372287273406982,0.3954493999481201,0.0913703441619873,2658,0.7441999912261963
100,10000,0,wide,180,0.1,0,140,36,3.842428684234619,2.1372287273406982,0.3954493999481201,0.0913703441619873,2658,0.7441999912261963
100,10000,0,wide,180,0,0.1,79,196,3.842428684234619,2.1372287273406982,0.3954493999481201,0.0913703441619873,2658,0.7441999912261963
