n,S,rep,ncand,metric,true_rank,top_rf
20,10000,0,250,bottleneck,32,4
20,10000,0,250,q05,45,4
20,10000,0,250,cvar10,44,4
20,10000,0,250,pow:-0.3:-0.3,22,2
20,10000,0,250,pow:-0.3:-0.2,56,4
20,10000,0,250,pow:-0.3:-0.1,37,4
20,10000,0,250,pow:-0.3:0,45,4
20,10000,0,250,pow:-0.3:0.1,52,4
20,10000,0,250,pow:-0.3:0.2,52,4
20,10000,0,250,pow:-0.2:-0.3,79,4
20,10000,0,250,pow:-0.2:-0.2,21,2
20,10000,0,250,pow:-0.2:-0.1,51,4
20,10000,0,250,pow:-0.2:0,47,4
20,10000,0,250,pow:-0.2:0.1,54,4
20,10000,0,250,pow:-0.2:0.2,62,4
20,10000,0,250,pow:-0.1:-0.3,70,4
20,10000,0,250,pow:-0.1:-0.2,62,4
20,10000,0,250,pow:-0.1:-0.1,13,2
20,10000,0,250,pow:-0.1:0,15,2
20,10000,0,250,pow:-0.1:0.1,37,6
20,10000,0,250,pow:-0.1:0.2,63,8
20,10000,0,250,pow:0:-0.3,157,4
20,10000,0,250,pow:0:-0.2,130,4
20,10000,0,250,pow:0:-0.1,97,4
20,10000,0,250,pow:0:0,32,4
20,10000,0,250,pow:0:0.1,68,4
20,10000,0,250,pow:0:0.2,80,4
20,10000,0,250,pow:0.1:-0.3,182,4
20,10000,0,250,pow:0.1:-0.2,180,4
20,10000,0,250,pow:0.1:-0.1,158,4
20,10000,0,250,pow:0.1:0,106,12
20,10000,0,250,pow:0.1:0.1,26,4
20,10000,0,250,pow:0.1:0.2,92,4
20,10000,0,250,ent:-0.2:-0.5,102,2
20,10000,0,250,ent:-0.2:-0.25,67,2
20,10000,0,250,ent:-0.2:0.25,54,4
20,10000,0,250,ent:-0.2:0.5,66,4
20,10000,0,250,ent:-0.1:-0.5,80,4
20,10000,0,250,ent:-0.1:-0.25,66,4
20,10000,0,250,ent:-0.1:0.25,58,6
20,10000,0,250,ent:-0.1:0.5,67,8
20,10000,0,250,ent:0:-0.5,130,4
20,10000,0,250,ent:0:-0.25,96,4
20,10000,0,250,ent:0:0.25,78,4
20,10000,0,250,ent:0:0.5,79,8
20,10000,1,250,bottleneck,6,2
20,10000,1,250,q05,10,6
20,10000,1,250,cvar10,6,6
20,10000,1,250,pow:-0.3:-0.3,1,0
20,10000,1,250,pow:-0.3:-0.2,4,2
20,10000,1,250,pow:-0.3:-0.1,4,2
20,10000,1,250,pow:-0.3:0,4,2
20,10000,1,250,pow:-0.3:0.1,4,2
20,10000,1,250,pow:-0.3:0.2,4,4
20,10000,1,250,pow:-0.2:-0.3,54,4
20,10000,1,250,pow:-0.2:-0.2,1,0
20,10000,1,250,pow:-0.2:-0.1,5,6
20,10000,1,250,pow:-0.2:0,5,6
20,10000,1,250,pow:-0.2:0.1,5,6
20,10000,1,250,pow:-0.2:0.2,5,6
20,10000,1,250,pow:-0.1:-0.3,63,10
20,10000,1,250,pow:-0.1:-0.2,64,4
20,10000,1,250,pow:-0.1:-0.1,9,2
20,10000,1,250,pow:-0.1:0,13,4
20,10000,1,250,pow:-0.1:0.1,7,4
20,10000,1,250,pow:-0.1:0.2,8,6
20,10000,1,250,pow:0:-0.3,53,10
20,10000,1,250,pow:0:-0.2,57,10
20,10000,1,250,pow:0:-0.1,75,10
20,10000,1,250,pow:0:0,6,2
20,10000,1,250,pow:0:0.1,16,2
20,10000,1,250,pow:0:0.2,29,2
20,10000,1,250,pow:0.1:-0.3,40,6
20,10000,1,250,pow:0.1:-0.2,40,6
20,10000,1,250,pow:0.1:-0.1,58,6
20,10000,1,250,pow:0.1:0,73,10
20,10000,1,250,pow:0.1:0.1,11,2
20,10000,1,250,pow:0.1:0.2,16,2
20,10000,1,250,ent:-0.2:-0.5,53,10
20,10000,1,250,ent:-0.2:-0.25,3,2
20,10000,1,250,ent:-0.2:0.25,5,6
20,10000,1,250,ent:-0.2:0.5,5,6
20,10000,1,250,ent:-0.1:-0.5,62,10
20,10000,1,250,ent:-0.1:-0.25,76,4
20,10000,1,250,ent:-0.1:0.25,7,6
20,10000,1,250,ent:-0.1:0.5,8,6
20,10000,1,250,ent:0:-0.5,53,10
20,10000,1,250,ent:0:-0.25,63,10
20,10000,1,250,ent:0:0.25,24,2
20,10000,1,250,ent:0:0.5,31,4
20,10000,2,250,bottleneck,60,2
20,10000,2,250,q05,81,4
20,10000,2,250,cvar10,74,4
20,10000,2,250,pow:-0.3:-0.3,57,2
20,10000,2,250,pow:-0.3:-0.2,50,4
20,10000,2,250,pow:-0.3:-0.1,41,2
20,10000,2,250,pow:-0.3:0,53,8
20,10000,2,250,pow:-0.3:0.1,58,8
20,10000,2,250,pow:-0.3:0.2,66,8
20,10000,2,250,pow:-0.2:-0.3,103,6
20,10000,2,250,pow:-0.2:-0.2,63,6
20,10000,2,250,pow:-0.2:-0.1,54,6
20,10000,2,250,pow:-0.2:0,50,2
20,10000,2,250,pow:-0.2:0.1,61,8
20,10000,2,250,pow:-0.2:0.2,63,8
20,10000,2,250,pow:-0.1:-0.3,132,6
20,10000,2,250,pow:-0.1:-0.2,114,4
20,10000,2,250,pow:-0.1:-0.1,63,2
20,10000,2,250,pow:-0.1:0,54,6
20,10000,2,250,pow:-0.1:0.1,50,6
20,10000,2,250,pow:-0.1:0.2,62,6
20,10000,2,250,pow:0:-0.3,141,4
20,10000,2,250,pow:0:-0.2,131,4
20,10000,2,250,pow:0:-0.1,115,4
20,10000,2,250,pow:0:0,60,2
20,10000,2,250,pow:0:0.1,58,4
20,10000,2,250,pow:0:0.2,75,4
20,10000,2,250,pow:0.1:-0.3,147,12
20,10000,2,250,pow:0.1:-0.2,140,12
20,10000,2,250,pow:0.1:-0.1,131,8
20,10000,2,250,pow:0.1:0,108,4
20,10000,2,250,pow:0.1:0.1,40,4
20,10000,2,250,pow:0.1:0.2,86,10
20,10000,2,250,ent:-0.2:-0.5,119,6
20,10000,2,250,ent:-0.2:-0.25,52,6
20,10000,2,250,ent:-0.2:0.25,61,8
20,10000,2,250,ent:-0.2:0.5,77,6
20,10000,2,250,ent:-0.1:-0.5,118,6
20,10000,2,250,ent:-0.1:-0.25,120,4
20,10000,2,250,ent:-0.1:0.25,55,6
20,10000,2,250,ent:-0.1:0.5,76,6
20,10000,2,250,ent:0:-0.5,133,4
20,10000,2,250,ent:0:-0.25,118,4
20,10000,2,250,ent:0:0.25,64,4
20,10000,2,250,ent:0:0.5,72,4
30,10000,0,220,bottleneck,13,4
30,10000,0,220,q05,8,2
30,10000,0,220,cvar10,12,4
30,10000,0,220,pow:-0.3:-0.3,2,10
30,10000,0,220,pow:-0.3:-0.2,11,2
30,10000,0,220,pow:-0.3:-0.1,35,4
30,10000,0,220,pow:-0.3:0,40,4
30,10000,0,220,pow:-0.3:0.1,41,4
30,10000,0,220,pow:-0.3:0.2,42,4
30,10000,0,220,pow:-0.2:-0.3,161,16
30,10000,0,220,pow:-0.2:-0.2,11,4
30,10000,0,220,pow:-0.2:-0.1,14,8
30,10000,0,220,pow:-0.2:0,7,2
30,10000,0,220,pow:-0.2:0.1,34,4
30,10000,0,220,pow:-0.2:0.2,35,4
30,10000,0,220,pow:-0.1:-0.3,184,12
30,10000,0,220,pow:-0.1:-0.2,162,16
30,10000,0,220,pow:-0.1:-0.1,13,4
30,10000,0,220,pow:-0.1:0,13,2
30,10000,0,220,pow:-0.1:0.1,9,2
30,10000,0,220,pow:-0.1:0.2,36,4
30,10000,0,220,pow:0:-0.3,184,56
30,10000,0,220,pow:0:-0.2,184,12
30,10000,0,220,pow:0:-0.1,182,16
30,10000,0,220,pow:0:0,13,4
30,10000,0,220,pow:0:0.1,11,2
30,10000,0,220,pow:0:0.2,51,4
30,10000,0,220,pow:0.1:-0.3,184,56
30,10000,0,220,pow:0.1:-0.2,184,56
30,10000,0,220,pow:0.1:-0.1,184,16
30,10000,0,220,pow:0.1:0,182,16
30,10000,0,220,pow:0.1:0.1,13,4
30,10000,0,220,pow:0.1:0.2,77,12
30,10000,0,220,ent:-0.2:-0.5,67,18
30,10000,0,220,ent:-0.2:-0.25,7,2
30,10000,0,220,ent:-0.2:0.25,33,4
30,10000,0,220,ent:-0.2:0.5,32,4
30,10000,0,220,ent:-0.1:-0.5,97,16
30,10000,0,220,ent:-0.1:-0.25,80,16
30,10000,0,220,ent:-0.1:0.25,11,2
30,10000,0,220,ent:-0.1:0.5,35,4
30,10000,0,220,ent:0:-0.5,184,12
30,10000,0,220,ent:0:-0.25,179,16
30,10000,0,220,ent:0:0.25,11,2
30,10000,0,220,ent:0:0.5,46,4
30,10000,1,220,bottleneck,8,16
30,10000,1,220,q05,26,2
30,10000,1,220,cvar10,19,2
30,10000,1,220,pow:-0.3:-0.3,10,2
30,10000,1,220,pow:-0.3:-0.2,14,16
30,10000,1,220,pow:-0.3:-0.1,12,16
30,10000,1,220,pow:-0.3:0,11,2
30,10000,1,220,pow:-0.3:0.1,8,2
30,10000,1,220,pow:-0.3:0.2,8,2
30,10000,1,220,pow:-0.2:-0.3,105,14
30,10000,1,220,pow:-0.2:-0.2,10,2
30,10000,1,220,pow:-0.2:-0.1,13,2
30,10000,1,220,pow:-0.2:0,13,2
30,10000,1,220,pow:-0.2:0.1,11,2
30,10000,1,220,pow:-0.2:0.2,15,2
30,10000,1,220,pow:-0.1:-0.3,107,10
30,10000,1,220,pow:-0.1:-0.2,101,14
30,10000,1,220,pow:-0.1:-0.1,9,2
30,10000,1,220,pow:-0.1:0,16,2
30,10000,1,220,pow:-0.1:0.1,18,4
30,10000,1,220,pow:-0.1:0.2,19,4
30,10000,1,220,pow:0:-0.3,119,14
30,10000,1,220,pow:0:-0.2,103,16
30,10000,1,220,pow:0:-0.1,108,16
30,10000,1,220,pow:0:0,8,16
30,10000,1,220,pow:0:0.1,24,16
30,10000,1,220,pow:0:0.2,17,6
30,10000,1,220,pow:0.1:-0.3,122,16
30,10000,1,220,pow:0.1:-0.2,117,16
30,10000,1,220,pow:0.1:-0.1,118,16
30,10000,1,220,pow:0.1:0,62,16
30,10000,1,220,pow:0.1:0.1,26,14
30,10000,1,220,pow:0.1:0.2,51,14
30,10000,1,220,ent:-0.2:-0.5,79,18
30,10000,1,220,ent:-0.2:-0.25,17,2
30,10000,1,220,ent:-0.2:0.25,15,2
30,10000,1,220,ent:-0.2:0.5,14,2
30,10000,1,220,ent:-0.1:-0.5,107,10
30,10000,1,220,ent:-0.1:-0.25,91,14
30,10000,1,220,ent:-0.1:0.25,18,4
30,10000,1,220,ent:-0.1:0.5,19,4
30,10000,1,220,ent:0:-0.5,111,16
30,10000,1,220,ent:0:-0.25,110,16
30,10000,1,220,ent:0:0.25,21,2
30,10000,1,220,ent:0:0.5,63,4
30,10000,2,220,bottleneck,13,12
30,10000,2,220,q05,23,14
30,10000,2,220,cvar10,17,14
30,10000,2,220,pow:-0.3:-0.3,1,0
30,10000,2,220,pow:-0.3:-0.2,64,14
30,10000,2,220,pow:-0.3:-0.1,62,4
30,10000,2,220,pow:-0.3:0,54,4
30,10000,2,220,pow:-0.3:0.1,46,8
30,10000,2,220,pow:-0.3:0.2,40,8
30,10000,2,220,pow:-0.2:-0.3,70,12
30,10000,2,220,pow:-0.2:-0.2,8,12
30,10000,2,220,pow:-0.2:-0.1,75,14
30,10000,2,220,pow:-0.2:0,66,16
