metric,cases,mean_rank,worst_rank,mean_rf,rank_delta,safe_both,safe_rank
bottleneck,6,22.0,60,6.666666666666667,0.0,1.0,1.0
pow:0:0,6,22.0,60,6.666666666666667,0.0,1.0,1.0
pow:-0.3:-0.3,6,15.5,57,2.6666666666666665,-6.5,0.6666666666666666,0.8333333333333334
pow:-0.2:-0.2,6,19.0,63,4.333333333333333,-3.0,0.6666666666666666,0.6666666666666666
pow:-0.1:-0.1,6,19.0,63,3.6666666666666665,-3.0,0.5,0.5
pow:0.1:0.1,6,20.666666666666668,40,5.0,-1.3333333333333333,0.5,0.6666666666666666
pow:-0.1:0,6,29.666666666666668,67,3.3333333333333335,7.666666666666667,0.3333333333333333,0.5
pow:-0.2:0,6,31.333333333333332,66,5.333333333333333,9.333333333333334,0.3333333333333333,0.5
pow:-0.3:-0.1,6,31.833333333333332,62,5.333333333333333,9.833333333333334,0.3333333333333333,0.3333333333333333
pow:-0.3:-0.2,6,33.166666666666664,64,7.0,11.166666666666666,0.3333333333333333,0.5
pow:-0.3:0.1,6,34.833333333333336,58,4.666666666666667,12.833333333333334,0.3333333333333333,0.5
ent:-0.2:-0.25,6,36.666666666666664,74,4.666666666666667,14.666666666666666,0.3333333333333333,0.5
cvar10,6,28.666666666666668,74,5.666666666666667,6.666666666666667,0.16666666666666666,0.3333333333333333
pow:-0.1:0.1,6,30.833333333333332,64,5.333333333333333,8.833333333333334,0.16666666666666666,0.3333333333333333
q05,6,32.166666666666664,81,5.333333333333333,10.166666666666666,0.16666666666666666,0.16666666666666666
ent:-0.1:0.25,6,34.166666666666664,58,5.333333333333333,12.166666666666666,0.16666666666666666,0.3333333333333333
pow:-0.3:0,6,34.5,54,4.0,12.5,0.16666666666666666,0.3333333333333333
pow:-0.3:0.2,6,35.333333333333336,66,5.0,13.333333333333334,0.16666666666666666,0.3333333333333333
pow:0:0.1,6,41.666666666666664,73,6.333333333333333,19.666666666666668,0.16666666666666666,0.3333333333333333
ent:0:0.25,6,46.0,78,2.6666666666666665,24.0,0.16666666666666666,0.16666666666666666
pow:-0.2:-0.1,6,35.333333333333336,75,6.666666666666667,13.333333333333334,0.0,0.3333333333333333
ent:-0.2:0.25,6,35.833333333333336,61,5.333333333333333,13.833333333333334,0.0,0.16666666666666666
pow:-0.2:0.1,6,37.0,61,5.333333333333333,15.0,0.0,0.16666666666666666
pow:-0.2:0.2,6,37.333333333333336,63,4.666666666666667,15.333333333333334,0.0,0.16666666666666666
ent:-0.2:0.5,6,38.5,77,4.333333333333333,16.5,0.0,0.16666666666666666
pow:-0.1:0.2,6,39.666666666666664,63,6.0,17.666666666666668,0.0,0.0
ent:-0.1:0.5,6,44.0,76,5.333333333333333,22.0,0.0,0.0
pow:0:0.2,6,55.833333333333336,83,5.0,33.833333333333336,0.0,0.0
ent:0:0.5,6,63.333333333333336,89,5.333333333333333,41.333333333333336,0.0,0.0
pow:0.1:0.2,6,67.83333333333333,92,9.333333333333334,45.833333333333336,0.0,0.0
ent:-0.2:-0.5,6,77.16666666666667,119,10.666666666666666,55.166666666666664,0.0,0.0
ent:-0.1:-0.25,6,78.33333333333333,120,8.666666666666666,56.333333333333336,0.0,0.0
ent:-0.1:-0.5,6,87.66666666666667,118,10.0,65.66666666666667,0.0,0.0
pow:-0.2:-0.3,6,95.33333333333333,161,9.333333333333334,73.33333333333333,0.0,0.0
pow:-0.1:-0.2,6,95.66666666666667,162,8.666666666666666,73.66666666666667,0.0,0.0
pow:0.1:0,6,97.33333333333333,182,12.0,75.33333333333333,0.0,0.0
ent:0:-0.25,6,106.5,179,8.666666666666666,84.5,0.0,0.0
pow:-0.1:-0.3,6,107.0,184,9.333333333333334,85.0,0.0,0.0
pow:0:-0.1,6,108.66666666666667,182,8.666666666666666,86.66666666666667,0.0,0.0
pow:0:-0.2,6,115.0,184,8.0,93.0,0.0,0.0
ent:0:-0.5,6,115.66666666666667,184,9.666666666666666,93.66666666666667,0.0,0.0
pow:0.1:-0.1,6,122.16666666666667,184,9.666666666666666,100.16666666666667,0.0,0.0
pow:0:-0.3,6,124.5,184,16.666666666666668,102.5,0.0,0.0
pow:0.1:-0.2,6,125.66666666666667,184,16.333333333333332,103.66666666666667,0.0,0.0
pow:0.1:-0.3,6,129.16666666666666,184,17.0,107.16666666666667,0.0,0.0
