n,S,rep,ncand,metric,true_rank,top_rf,corr_neg_rf
20,5000,0,300,bottleneck,1,0,0.8633865836919653
20,5000,0,300,q05,12,4,0.8946406578027105
20,5000,0,300,q10,87,4,0.8969826480654846
20,5000,0,300,cvar10,10,4,0.8943960064001257
20,5000,0,300,cvar20,59,4,0.9224260518724119
20,5000,0,300,soft_0.1,35,8,0.9154588246759893
20,5000,0,300,soft_0.25,56,8,0.9403807666475025
20,5000,0,300,soft_0.5,74,8,0.9451038468305643
20,5000,0,300,wb_b-0.5_g-0.5,6,2,0.9322513858154323
20,5000,0,300,wb_b-0.5_g-0.25,85,8,0.9563319334614073
20,5000,0,300,wb_b-0.5_g0,95,8,0.9489869382226591
20,5000,0,300,wb_b-0.5_g0.25,103,12,0.9387825172575377
20,5000,0,300,wb_b-0.5_g0.5,111,12,0.9211880186583492
20,5000,0,300,wb_b-0.5_g1.0,119,8,0.8538344955646008
20,5000,0,300,wb_b-0.25_g-0.5,26,6,0.5592118795217466
20,5000,0,300,wb_b-0.25_g-0.25,62,2,0.8728903701411463
20,5000,0,300,wb_b-0.25_g0,17,2,0.9508837846091691
20,5000,0,300,wb_b-0.25_g0.25,67,10,0.9464399188886105
20,5000,0,300,wb_b-0.25_g0.5,88,10,0.9343616072411655
20,5000,0,300,wb_b-0.25_g1.0,112,10,0.884810798383967
20,5000,0,300,wb_b0_g-0.5,82,4,0.21289775192371174
20,5000,0,300,wb_b0_g-0.25,88,12,0.3642434346003466
20,5000,0,300,wb_b0_g0,1,0,0.8633865836919653
20,5000,0,300,wb_b0_g0.25,84,6,0.9169692260664954
20,5000,0,300,wb_b0_g0.5,162,6,0.8853659355176126
20,5000,0,300,wb_b0_g1.0,175,10,0.6872914101620218
20,5000,0,300,wb_b0.25_g-0.5,121,36,0.04131972152012406
20,5000,0,300,wb_b0.25_g-0.25,139,36,-0.027082556390556588
20,5000,0,300,wb_b0.25_g0,183,36,-0.3315357460140321
20,5000,0,300,wb_b0.25_g0.25,175,34,-0.7729309647539088
20,5000,0,300,wb_b0.25_g0.5,220,36,-0.7857751536399806
20,5000,0,300,wb_b0.25_g1.0,219,36,-0.688592664647711
20,5000,0,300,wb_b0.5_g-0.5,160,36,-0.06591799200118745
20,5000,0,300,wb_b0.5_g-0.25,166,36,-0.2279728436128425
20,5000,0,300,wb_b0.5_g0,193,36,-0.6401017669286012
20,5000,0,300,wb_b0.5_g0.25,162,36,-0.9180696589764987
20,5000,0,300,wb_b0.5_g0.5,210,36,-0.9441257150261598
20,5000,0,300,wb_b0.5_g1.0,220,36,-0.922040393478177
20,5000,0,300,wb_b0_g0_p0.25,116,12,0.7233481147910731
20,5000,0,300,wb_b0_g0_p0.5,197,12,0.2850493008319624
20,5000,0,300,wb_b-0.25_g0_p0.25,37,4,0.9432434785926301
20,5000,0,300,wb_b-0.25_g0_p0.5,59,8,0.9217733283353609
20,5000,0,300,wb_b-0.5_g0_p0.25,104,4,0.9487568369671826
20,5000,0,300,wb_b-0.5_g0_p0.5,100,4,0.9472310479384384
20,5000,0,300,wb_b0_g0.25_p0.25,150,12,0.8417864233154619
20,5000,0,300,wb_b0_g0.25_p0.5,212,36,0.02818664570268742
20,5000,0,300,wb_b0_g0.5_p0.25,190,10,0.6481253017101483
20,5000,0,300,wb_b0_g0.5_p0.5,217,36,-0.31068680565274315
20,5000,0,300,wb_b-0.25_g0.25_p0.25,44,2,0.9444590610832605
20,5000,0,300,wb_b-0.25_g0.25_p0.5,48,8,0.9357484332268687
20,5000,0,300,wb_b-0.25_g0.5_p0.25,70,4,0.9262228361431234
20,5000,0,300,wb_b-0.25_g0.5_p0.5,129,8,0.9093005682002767
20,5000,1,300,bottleneck,38,4,0.9182321033163147
20,5000,1,300,q05,49,4,0.9048088555020051
20,5000,1,300,q10,96,8,0.8804941244105191
20,5000,1,300,cvar10,49,4,0.9232793055408826
20,5000,1,300,cvar20,64,4,0.9155142589746775
20,5000,1,300,soft_0.1,80,4,0.9251674655979336
20,5000,1,300,soft_0.25,85,4,0.9436984323360276
20,5000,1,300,soft_0.5,84,4,0.9536662872480014
20,5000,1,300,wb_b-0.5_g-0.5,31,4,0.9587738269428566
20,5000,1,300,wb_b-0.5_g-0.25,71,10,0.9434040640766829
20,5000,1,300,wb_b-0.5_g0,80,10,0.9387108163880961
20,5000,1,300,wb_b-0.5_g0.25,90,4,0.9280628789837743
20,5000,1,300,wb_b-0.5_g0.5,103,4,0.9094646247684594
20,5000,1,300,wb_b-0.5_g1.0,112,4,0.8485208192122384
20,5000,1,300,wb_b-0.25_g-0.5,181,8,0.18091800318694745
20,5000,1,300,wb_b-0.25_g-0.25,38,4,0.9358417485256312
20,5000,1,300,wb_b-0.25_g0,65,4,0.9492026820613758
20,5000,1,300,wb_b-0.25_g0.25,101,4,0.9373898624572878
20,5000,1,300,wb_b-0.25_g0.5,117,10,0.9208179323417025
20,5000,1,300,wb_b-0.25_g1.0,132,10,0.8580934500483088
20,5000,1,300,wb_b0_g-0.5,224,8,-0.3337869897543878
20,5000,1,300,wb_b0_g-0.25,203,4,-0.13084691827996364
20,5000,1,300,wb_b0_g0,38,4,0.9182321033163147
20,5000,1,300,wb_b0_g0.25,82,4,0.9348448149072165
20,5000,1,300,wb_b0_g0.5,137,4,0.8929321732933395
20,5000,1,300,wb_b0_g1.0,157,4,0.7088793773311133
20,5000,1,300,wb_b0.25_g-0.5,224,36,-0.3979600868221866
20,5000,1,300,wb_b0.25_g-0.25,224,36,-0.43157048849819496
20,5000,1,300,wb_b0.25_g0,213,36,-0.5842125865218027
20,5000,1,300,wb_b0.25_g0.25,133,36,-0.8557481043504654
20,5000,1,300,wb_b0.25_g0.5,196,36,-0.816809187703914
20,5000,1,300,wb_b0.25_g1.0,186,36,-0.6909796815673672
20,5000,1,300,wb_b0.5_g-0.5,224,36,-0.45427069392803676
20,5000,1,300,wb_b0.5_g-0.25,227,36,-0.5324987872317829
20,5000,1,300,wb_b0.5_g0,230,36,-0.7451759818808115
20,5000,1,300,wb_b0.5_g0.25,176,36,-0.9422951183726485
20,5000,1,300,wb_b0.5_g0.5,108,36,-0.9562305692586092
20,5000,1,300,wb_b0.5_g1.0,183,36,-0.9127849485238431
20,5000,1,300,wb_b0_g0_p0.25,138,4,0.6455424848012541
20,5000,1,300,wb_b0_g0_p0.5,175,4,-0.19133223304393396
20,5000,1,300,wb_b-0.25_g0_p0.25,62,10,0.9542546459718074
20,5000,1,300,wb_b-0.25_g0_p0.5,50,4,0.9584829236391627
20,5000,1,300,wb_b-0.5_g0_p0.25,82,10,0.9339760375633988
20,5000,1,300,wb_b-0.5_g0_p0.5,95,4,0.9326448658638903
20,5000,1,300,wb_b0_g0.25_p0.25,147,6,0.8662463217063485
20,5000,1,300,wb_b0_g0.25_p0.5,179,36,-0.087987710413567
20,5000,1,300,wb_b0_g0.5_p0.25,160,8,0.6492622578091607
20,5000,1,300,wb_b0_g0.5_p0.5,183,36,-0.3024948626669885
20,5000,1,300,wb_b-0.25_g0.25_p0.25,118,4,0.9388689865201275
20,5000,1,300,wb_b-0.25_g0.25_p0.5,108,4,0.9438698738839726
20,5000,1,300,wb_b-0.25_g0.5_p0.25,130,4,0.9157304978407317
20,5000,1,300,wb_b-0.25_g0.5_p0.5,137,4,0.9128245484298085
20,5000,2,300,bottleneck,48,4,0.7654538700790229
20,5000,2,300,q05,67,6,0.7363996537643499
20,5000,2,300,q10,67,2,0.8356829996743766
20,5000,2,300,cvar10,43,4,0.7697420810625974
20,5000,2,300,cvar20,46,4,0.8617168145011612
20,5000,2,300,soft_0.1,79,4,0.8397620954063001
20,5000,2,300,soft_0.25,52,4,0.926223027051975
20,5000,2,300,soft_0.5,46,4,0.9560694802635373
20,5000,2,300,wb_b-0.5_g-0.5,4,2,0.9267297927468136
20,5000,2,300,wb_b-0.5_g-0.25,27,4,0.9567038342860361
20,5000,2,300,wb_b-0.5_g0,28,4,0.9541431480927035
20,5000,2,300,wb_b-0.5_g0.25,34,4,0.9469803597761182
20,5000,2,300,wb_b-0.5_g0.5,35,4,0.938986106139735
20,5000,2,300,wb_b-0.5_g1.0,41,4,0.9105092373819472
20,5000,2,300,wb_b-0.25_g-0.5,119,4,0.2814778360608628
20,5000,2,300,wb_b-0.25_g-0.25,1,0,0.8412474496313124
20,5000,2,300,wb_b-0.25_g0,16,4,0.9580069443001266
20,5000,2,300,wb_b-0.25_g0.25,10,4,0.9636915530650944
20,5000,2,300,wb_b-0.25_g0.5,14,4,0.9611585259382445
20,5000,2,300,wb_b-0.25_g1.0,28,4,0.9348240607964021
20,5000,2,300,wb_b0_g-0.5,163,10,-0.06484773796476506
20,5000,2,300,wb_b0_g-0.25,162,4,-0.005571302929458261
20,5000,2,300,wb_b0_g0,48,4,0.7654538700790229
20,5000,2,300,wb_b0_g0.25,15,10,0.9125484520458111
20,5000,2,300,wb_b0_g0.5,39,10,0.9105237153583856
20,5000,2,300,wb_b0_g1.0,81,10,0.8297031477394662
20,5000,2,300,wb_b0.25_g-0.5,172,4,-0.2081074386898707
20,5000,2,300,wb_b0.25_g-0.25,176,36,-0.28973067802960256
20,5000,2,300,wb_b0.25_g0,237,36,-0.47124212086063455
20,5000,2,300,wb_b0.25_g0.25,139,36,-0.8518653331988868
20,5000,2,300,wb_b0.25_g0.5,72,36,-0.5760948950122693
20,5000,2,300,wb_b0.25_g1.0,85,36,-0.205211399395984
20,5000,2,300,wb_b0.5_g-0.5,185,34,-0.31411196919959106
20,5000,2,300,wb_b0.5_g-0.25,218,36,-0.4466584359384621
20,5000,2,300,wb_b0.5_g0,266,36,-0.7030811506016247
20,5000,2,300,wb_b0.5_g0.25,261,36,-0.93078025040958
20,5000,2,300,wb_b0.5_g0.5,149,36,-0.8991328959790971
20,5000,2,300,wb_b0.5_g1.0,79,36,-0.8377346131035616
20,5000,2,300,wb_b0_g0_p0.25,144,4,0.1917613033771773
20,5000,2,300,wb_b0_g0_p0.5,246,8,-0.20720497596225004
20,5000,2,300,wb_b-0.25_g0_p0.25,18,4,0.9495790229094473
20,5000,2,300,wb_b-0.25_g0_p0.5,19,2,0.9394359771956794
20,5000,2,300,wb_b-0.5_g0_p0.25,28,4,0.9563263185019756
20,5000,2,300,wb_b-0.5_g0_p0.5,10,2,0.9594281321527699
20,5000,2,300,wb_b0_g0.25_p0.25,42,4,0.8536924457670616
20,5000,2,300,wb_b0_g0.25_p0.5,131,4,0.5095736236535638
20,5000,2,300,wb_b0_g0.5_p0.25,59,12,0.8055247519529959
20,5000,2,300,wb_b0_g0.5_p0.5,86,4,0.374099338762503
20,5000,2,300,wb_b-0.25_g0.25_p0.25,24,4,0.9593469118582648
20,5000,2,300,wb_b-0.25_g0.25_p0.5,28,4,0.9414782316587356
20,5000,2,300,wb_b-0.25_g0.5_p0.25,31,4,0.9581595743311423
20,5000,2,300,wb_b-0.25_g0.5_p0.5,41,4,0.9367790636108764
20,5000,3,300,bottleneck,7,2,0.7760865903830058
20,5000,3,300,q05,15,8,0.8548731289863377
20,5000,3,300,q10,16,2,0.9223607543725296
20,5000,3,300,cvar10,13,8,0.8295029306134503
20,5000,3,300,cvar20,15,8,0.9074185487244982
20,5000,3,300,soft_0.1,59,8,0.8705238875965785
20,5000,3,300,soft_0.25,39,8,0.9404885981391211
20,5000,3,300,soft_0.5,34,8,0.9620733736458217
20,5000,3,300,wb_b-0.5_g-0.5,9,4,0.9412165037975759
20,5000,3,300,wb_b-0.5_g-0.25,62,4,0.9311110907267917
20,5000,3,300,wb_b-0.5_g0,44,8,0.9366309105701098
20,5000,3,300,wb_b-0.5_g0.25,46,8,0.9381308175679367
20,5000,3,300,wb_b-0.5_g0.5,43,8,0.9352159595251212
20,5000,3,300,wb_b-0.5_g1.0,47,8,0.9161808839432729
20,5000,3,300,wb_b-0.25_g-0.5,174,10,0.5319989996486498
20,5000,3,300,wb_b-0.25_g-0.25,2,4,0.929720322462241
20,5000,3,300,wb_b-0.25_g0,77,4,0.9350592360128587
20,5000,3,300,wb_b-0.25_g0.25,96,4,0.9340263273162395
20,5000,3,300,wb_b-0.25_g0.5,98,10,0.9314227749899249
20,5000,3,300,wb_b-0.25_g1.0,95,4,0.9141667909471041
20,5000,3,300,wb_b0_g-0.5,184,12,0.11646301860997925
20,5000,3,300,wb_b0_g-0.25,135,8,0.289967289576907
20,5000,3,300,wb_b0_g0,7,2,0.7760865903830058
20,5000,3,300,wb_b0_g0.25,14,8,0.9509665390682017
20,5000,3,300,wb_b0_g0.5,37,4,0.9384684356655688
20,5000,3,300,wb_b0_g1.0,72,6,0.8814955836416088
20,5000,3,300,wb_b0.25_g-0.5,190,36,0.0562493764173037
20,5000,3,300,wb_b0.25_g-0.25,143,36,0.0645100693872338
20,5000,3,300,wb_b0.25_g0,138,36,-0.1261172590098887
20,5000,3,300,wb_b0.25_g0.25,93,36,-0.8567837242323609
20,5000,3,300,wb_b0.25_g0.5,66,36,-0.7758142883100413
20,5000,3,300,wb_b0.25_g1.0,42,34,-0.3830188164770545
20,5000,3,300,wb_b0.5_g-0.5,148,36,0.03817766289264972
20,5000,3,300,wb_b0.5_g-0.25,118,34,-0.03691420217052384
20,5000,3,300,wb_b0.5_g0,226,34,-0.5381987012513647
20,5000,3,300,wb_b0.5_g0.25,265,36,-0.9353592061296672
20,5000,3,300,wb_b0.5_g0.5,63,36,-0.9429413572556681
20,5000,3,300,wb_b0.5_g1.0,73,36,-0.8690030336554053
20,5000,3,300,wb_b0_g0_p0.25,145,4,0.4848176685057737
20,5000,3,300,wb_b0_g0_p0.5,160,4,0.13851351312646948
20,5000,3,300,wb_b-0.25_g0_p0.25,87,4,0.9429940074101872
20,5000,3,300,wb_b-0.25_g0_p0.5,61,4,0.9376401454567754
20,5000,3,300,wb_b-0.5_g0_p0.25,96,4,0.9308882599253507
20,5000,3,300,wb_b-0.5_g0_p0.5,100,4,0.918109575257597
20,5000,3,300,wb_b0_g0.25_p0.25,43,4,0.8848848346516541
20,5000,3,300,wb_b0_g0.25_p0.5,115,36,0.32182772754465355
20,5000,3,300,wb_b0_g0.5_p0.25,34,8,0.8340904599204501
20,5000,3,300,wb_b0_g0.5_p0.5,33,8,0.29633708584867974
20,5000,3,300,wb_b-0.25_g0.25_p0.25,115,4,0.9284621038642006
20,5000,3,300,wb_b-0.25_g0.25_p0.5,117,4,0.9273638217330072
20,5000,3,300,wb_b-0.25_g0.5_p0.25,116,10,0.9242708821565966
20,5000,3,300,wb_b-0.25_g0.5_p0.5,119,4,0.9201614349970646
20,5000,4,300,bottleneck,65,4,0.9034760185079249
20,5000,4,300,q05,77,8,0.9378231714436156
20,5000,4,300,q10,65,8,0.9498879697174177
20,5000,4,300,cvar10,70,4,0.9307835837763487
20,5000,4,300,cvar20,54,4,0.9512456797599841
20,5000,4,300,soft_0.1,55,4,0.9418689307792011
20,5000,4,300,soft_0.25,56,8,0.9569884197289334
20,5000,4,300,soft_0.5,53,4,0.9622486469195265
20,5000,4,300,wb_b-0.5_g-0.5,11,2,0.9516831864322584
20,5000,4,300,wb_b-0.5_g-0.25,21,8,0.933616928197135
20,5000,4,300,wb_b-0.5_g0,16,2,0.9356829869743318
20,5000,4,300,wb_b-0.5_g0.25,19,4,0.9361878121883949
20,5000,4,300,wb_b-0.5_g0.5,25,4,0.9299188487721021
20,5000,4,300,wb_b-0.5_g1.0,33,4,0.8988984193495353
20,5000,4,300,wb_b-0.25_g-0.5,91,6,0.6784802474314822
20,5000,4,300,wb_b-0.25_g-0.25,11,2,0.9386389064485265
20,5000,4,300,wb_b-0.25_g0,18,2,0.9371221261431917
20,5000,4,300,wb_b-0.25_g0.25,18,2,0.9372163548089769
20,5000,4,300,wb_b-0.25_g0.5,22,4,0.9314436380809995
20,5000,4,300,wb_b-0.25_g1.0,44,4,0.8916639594388531
20,5000,4,300,wb_b0_g-0.5,43,4,0.33329734217525875
20,5000,4,300,wb_b0_g-0.25,18,4,0.5080213873084359
20,5000,4,300,wb_b0_g0,65,4,0.9034760185079249
20,5000,4,300,wb_b0_g0.25,94,6,0.9389504579559963
20,5000,4,300,wb_b0_g0.5,41,8,0.912024589043359
20,5000,4,300,wb_b0_g1.0,62,4,0.8424810688979835
20,5000,4,300,wb_b0.25_g-0.5,75,36,0.20919326323436924
20,5000,4,300,wb_b0.25_g-0.25,81,36,0.17576293777237786
20,5000,4,300,wb_b0.25_g0,83,36,0.023807201490304217
20,5000,4,300,wb_b0.25_g0.25,52,36,-0.8162607263509358
20,5000,4,300,wb_b0.25_g0.5,140,34,-0.7830385328375021
20,5000,4,300,wb_b0.25_g1.0,141,10,-0.5362510045486429
20,5000,4,300,wb_b0.5_g-0.5,79,36,0.15414479498527445
20,5000,4,300,wb_b0.5_g-0.25,81,36,0.06676196349217461
20,5000,4,300,wb_b0.5_g0,120,36,-0.4135776112487397
20,5000,4,300,wb_b0.5_g0.25,169,36,-0.9220047023113784
20,5000,4,300,wb_b0.5_g0.5,110,36,-0.9470880600605621
20,5000,4,300,wb_b0.5_g1.0,175,36,-0.8826397565296582
20,5000,4,300,wb_b0_g0_p0.25,71,4,0.7654553811642582
20,5000,4,300,wb_b0_g0_p0.5,90,36,0.3227387870687626
20,5000,4,300,wb_b-0.25_g0_p0.25,77,4,0.9432932985283857
20,5000,4,300,wb_b-0.25_g0_p0.5,112,8,0.944137574239455
20,5000,4,300,wb_b-0.5_g0_p0.25,22,4,0.92710238270594
20,5000,4,300,wb_b-0.5_g0_p0.5,22,4,0.9230183926759628
20,5000,4,300,wb_b0_g0.25_p0.25,85,4,0.8833100371225261
20,5000,4,300,wb_b0_g0.25_p0.5,133,36,0.29341862594297546
20,5000,4,300,wb_b0_g0.5_p0.25,106,4,0.8198539426682638
20,5000,4,300,wb_b0_g0.5_p0.5,134,10,0.0876299797969692
20,5000,4,300,wb_b-0.25_g0.25_p0.25,30,4,0.9382579817558132
20,5000,4,300,wb_b-0.25_g0.25_p0.5,78,8,0.9382113193846849
