n,S,rep,family,method,true_rank,top_rf
20,10000,0,overlap_deficiency,bottleneck,32,4
20,10000,0,overlap_deficiency,pow:-0.3:-0.3,22,2
20,10000,0,overlap_deficiency,pow:-0.2:-0.2,21,2
20,10000,0,overlap_deficiency,pow:-0.1:-0.1,13,2
20,10000,1,overlap_deficiency,bottleneck,6,2
20,10000,1,overlap_deficiency,pow:-0.3:-0.3,1,0
20,10000,1,overlap_deficiency,pow:-0.2:-0.2,1,0
20,10000,1,overlap_deficiency,pow:-0.1:-0.1,9,2
20,10000,2,overlap_deficiency,bottleneck,60,2
20,10000,2,overlap_deficiency,pow:-0.3:-0.3,57,2
20,10000,2,overlap_deficiency,pow:-0.2:-0.2,63,6
20,10000,2,overlap_deficiency,pow:-0.1:-0.1,63,2
30,10000,0,overlap_deficiency,bottleneck,13,4
30,10000,0,overlap_deficiency,pow:-0.3:-0.3,2,10
30,10000,0,overlap_deficiency,pow:-0.2:-0.2,11,4
30,10000,0,overlap_deficiency,pow:-0.1:-0.1,13,4
30,10000,1,overlap_deficiency,bottleneck,8,16
30,10000,1,overlap_deficiency,pow:-0.3:-0.3,10,2
30,10000,1,overlap_deficiency,pow:-0.2:-0.2,10,2
30,10000,1,overlap_deficiency,pow:-0.1:-0.1,9,2
30,10000,2,overlap_deficiency,bottleneck,13,12
30,10000,2,overlap_deficiency,pow:-0.3:-0.3,1,0
30,10000,2,overlap_deficiency,pow:-0.2:-0.2,8,12
30,10000,2,overlap_deficiency,pow:-0.1:-0.1,7,10
20,20000,0,overlap_deficiency,bottleneck,2,8
20,20000,0,overlap_deficiency,pow:-0.3:-0.3,6,2
20,20000,0,overlap_deficiency,pow:-0.2:-0.2,1,0
20,20000,0,overlap_deficiency,pow:-0.1:-0.1,1,0
30,20000,0,overlap_deficiency,bottleneck,11,4
30,20000,0,overlap_deficiency,pow:-0.3:-0.3,1,0
30,20000,0,overlap_deficiency,pow:-0.2:-0.2,11,2
30,20000,0,overlap_deficiency,pow:-0.1:-0.1,15,2
20,10000,0,pairwise,overlap,16,4
20,10000,0,pairwise,pair_sep,16,4
20,10000,0,pairwise,pair_sepmax,11,4
20,10000,0,pairwise,pair_seppool,12,4
20,10000,0,pairwise,pair_ratio,12,4
20,10000,1,pairwise,overlap,2,8
20,10000,1,pairwise,pair_sep,8,4
20,10000,1,pairwise,pair_sepmax,5,4
20,10000,1,pairwise,pair_seppool,6,4
20,10000,1,pairwise,pair_ratio,6,4
20,10000,2,pairwise,overlap,12,4
20,10000,2,pairwise,pair_sep,6,2
20,10000,2,pairwise,pair_sepmax,24,2
20,10000,2,pairwise,pair_seppool,25,2
20,10000,2,pairwise,pair_ratio,25,2
30,10000,0,pairwise,overlap,15,10
30,10000,0,pairwise,pair_sep,20,2
30,10000,0,pairwise,pair_sepmax,7,2
30,10000,0,pairwise,pair_seppool,8,2
30,10000,0,pairwise,pair_ratio,8,2
30,10000,1,pairwise,overlap,57,12
30,10000,1,pairwise,pair_sep,20,2
30,10000,1,pairwise,pair_sepmax,5,2
30,10000,1,pairwise,pair_seppool,8,2
30,10000,1,pairwise,pair_ratio,8,2
30,10000,2,pairwise,overlap,9,12
30,10000,2,pairwise,pair_sep,14,8
30,10000,2,pairwise,pair_sepmax,8,14
30,10000,2,pairwise,pair_seppool,9,14
30,10000,2,pairwise,pair_ratio,10,14
20,20000,0,pairwise,overlap,29,4
20,20000,0,pairwise,pair_sep,6,2
20,20000,0,pairwise,pair_sepmax,33,4
20,20000,0,pairwise,pair_seppool,37,4
20,20000,0,pairwise,pair_ratio,36,4
30,20000,0,pairwise,overlap,3,2
30,20000,0,pairwise,pair_sep,8,8
30,20000,0,pairwise,pair_sepmax,6,2
30,20000,0,pairwise,pair_seppool,6,2
30,20000,0,pairwise,pair_ratio,9,2
