unit_id,activity,long_activity,conditional_long_fraction,short_t,long_t,extrapolated_t
LEAF_0000,1.0,0.0,0.0,0.1,0.2,0.1
LEAF_0001,1.0,0.0,0.0,0.1,0.2,0.1
LEAF_0002,1.0,0.7974595453343832,0.7974595453343832,0.1,0.2,0.17974595453343833
LEAF_0003,1.0,0.0,0.0,0.1,0.2,0.1
LEAF_0004,1.0,0.0,0.0,0.1,0.2,0.1
LEAF_0005,1.0,0.0,0.0,0.1,0.2,0.1
LEAF_0006,1.0,0.0,0.0,0.1,0.2,0.1
LEAF_0007,1.0,0.0,0.0,0.1,0.2,0.1
S_m0002_a0001_j0000,0.31777079825859694,0.0,0.0,0.073,0.146,0.073
S_m0002_a0001_j0001,0.31777079825859694,0.0,0.0,0.073,0.146,0.073
S_m0002_a0001_j0002,0.4087943649366208,0.0,0.0,0.073,0.146,0.073
S_m0002_a0001_j0003,1.0,0.0,0.0,0.073,0.146,0.073
S_m0003_a0001_j0000,0.985279214656586,0.0,0.0,0.08352932501298081,0.16705865002596162,0.08352932501298081
S_m0003_a0001_j0001,0.37917918882622015,0.0,0.0,0.08352932501298081,0.16705865002596162,0.08352932501298081
S_m0004_a0001_j0000,0.985279214656586,0.0,0.0,0.091,0.182,0.091
S_m0004_a0001_j0001,0.37917918882622015,0.0,0.0,0.091,0.182,0.091
S_m0004_a0002_j0000,0.014720785343413985,0.0,0.0,0.091,0.182,0.091
S_m0004_a0002_j0001,0.0010880652922698353,0.0,0.0,0.091,0.182,0.091
S_m0005_a0001_j0000,0.5912056350633792,0.0,0.0,0.09679470570797252,0.19358941141594505,0.09679470570797252
S_m0005_a0002_j0000,0.0,0.0,nan,0.09679470570797252,0.19358941141594505,0.09679470570797252
S_m0006_a0001_j0000,0.5912056350633792,0.0,0.0,0.10152932501298081,0.20305865002596163,0.10152932501298081
S_m0006_a0002_j0000,0.02852711081813097,0.0,0.0,0.10152932501298081,0.20305865002596163,0.10152932501298081
S_m0006_a0003_j0000,-0.0,0.0,nan,0.10152932501298081,0.20305865002596163,0.10152932501298081
S_m0007_a0001_j0000,0.0,0.0,nan,0.10553238859703687,0.21106477719407374,0.10553238859703687
S_m0007_a0002_j0000,0.0,0.0,nan,0.10553238859703687,0.21106477719407374,0.10553238859703687
S_m0007_a0003_j0000,0.0,0.0,nan,0.10553238859703687,0.21106477719407374,0.10553238859703687
