n,S,rep,regime,delta,beta,gamma,eta,alpha,two_point_best,spectral_primary_best,weighted_best,best_union_so_far,best_union_alpha,two_point_candidates,spectral_candidates,weighted_candidates,two_point_true_rank,spectral_true_rank,weighted_true_rank,lp_two_point,lp_spectral,secondary_score,score_vars,score_rows,anchors,pair_median,pair_scale,pair_active
8,40,0,moderate,2,-0.2,-0.2,0.5,0.0,-313.2878247540923,-304.12942219764744,-304.12942219764744,-304.12942219764744,0.0,5,12,12,9999,9999,9999,-221.88710412520362,-103.59623994129534,0.15367025915404844,704,1408,8,-0.024753818494683055,0.2542600671748437,7
8,40,0,moderate,2,-0.2,-0.2,0.5,0.5,-313.2878247540923,-304.12942219764744,-306.67691104039966,-304.12942219764744,0.0,5,12,6,9999,9999,9999,-221.88710412520362,-103.59623994129534,0.15367025915404844,704,1408,8,-0.024753818494683055,0.2542600671748437,7
8,40,0,moderate,2,-0.2,-0.2,0.5,1.0,-313.2878247540923,-304.12942219764744,-306.67691104039966,-304.12942219764744,0.0,5,12,3,9999,9999,9999,-221.88710412520362,-103.59623994129534,0.15367025915404844,704,1408,8,-0.024753818494683055,0.2542600671748437,7
8,40,1,moderate,2,-0.2,-0.2,0.5,0.0,-309.7574981514878,-302.6407559918249,-302.6407559918249,-302.6407559918249,0.0,9,40,40,9999,9999,9999,-205.9003157480018,-92.10627533371749,0.2594187342993255,704,1408,8,-0.011715251070153199,0.21529219141483616,11
8,40,1,moderate,2,-0.2,-0.2,0.5,0.5,-309.7574981514878,-302.6407559918249,-294.0844260546879,-294.0844260546879,0.5,9,40,40,9999,9999,9999,-205.9003157480018,-92.10627533371749,0.2594187342993255,704,1408,8,-0.011715251070153199,0.21529219141483616,11
8,40,1,moderate,2,-0.2,-0.2,0.5,1.0,-309.7574981514878,-302.6407559918249,-303.60724630039266,-294.0844260546879,0.5,9,40,12,9999,9999,9999,-205.9003157480018,-92.10627533371749,0.2594187342993255,704,1408,8,-0.011715251070153199,0.21529219141483616,11
8,40,0,wide,2,-0.2,-0.2,0.5,0.0,-296.2883070817008,-295.6120190586375,-295.6120190586375,-295.6120190586375,0.0,25,12,12,9999,9999,9999,-267.07060893525295,-111.74294948559402,-0.03540519845760094,704,1408,8,0.0066062485094649515,0.2548202683278287,10
8,40,0,wide,2,-0.2,-0.2,0.5,0.5,-296.2883070817008,-295.6120190586375,-295.6120190586375,-295.6120190586375,0.0,25,12,40,9999,9999,9999,-267.07060893525295,-111.74294948559402,-0.03540519845760094,704,1408,8,0.0066062485094649515,0.2548202683278287,10
8,40,0,wide,2,-0.2,-0.2,0.5,1.0,-296.2883070817008,-295.6120190586375,-294.79877848383876,-294.79877848383876,1.0,25,12,40,9999,9999,9999,-267.07060893525295,-111.74294948559402,-0.03540519845760094,704,1408,8,0.0066062485094649515,0.2548202683278287,10
8,40,2,moderate,2,-0.2,-0.2,0.5,0.0,-310.92352329806045,-303.21162292805195,-303.21162292805195,-303.21162292805195,0.0,12,8,8,9999,9999,9999,-228.4057426387103,-102.22374708089583,0.29590566598987034,704,1408,8,0.12167387399646845,0.2153836753796582,9
8,40,2,moderate,2,-0.2,-0.2,0.5,0.5,-310.92352329806045,-303.21162292805195,-303.21162292805195,-303.21162292805195,0.0,12,8,40,9999,9999,9999,-228.4057426387103,-102.22374708089583,0.29590566598987034,704,1408,8,0.12167387399646845,0.2153836753796582,9
8,40,2,moderate,2,-0.2,-0.2,0.5,1.0,-310.92352329806045,-303.21162292805195,-310.88865898230154,-303.21162292805195,0.0,12,8,10,9999,9999,9999,-228.4057426387103,-102.22374708089583,0.29590566598987034,704,1408,8,0.12167387399646845,0.2153836753796582,9
8,40,3,moderate,2,-0.2,-0.2,0.5,0.0,-296.6662207814527,-289.52719412281255,-289.52719412281255,-289.52719412281255,0.0,18,30,30,9999,9999,9999,-211.09349044345277,-98.34499221851036,0.08470929862058175,704,1408,8,0.020675277175251944,0.20593194977619914,12
8,40,3,moderate,2,-0.2,-0.2,0.5,0.5,-296.6662207814527,-289.52719412281255,-303.75592852318465,-289.52719412281255,0.0,18,30,4,9999,9999,9999,-211.09349044345277,-98.34499221851036,0.08470929862058175,704,1408,8,0.020675277175251944,0.20593194977619914,12
8,40,3,moderate,2,-0.2,-0.2,0.5,1.0,-296.6662207814527,-289.52719412281255,-303.75592852318465,-289.52719412281255,0.0,18,30,3,9999,9999,9999,-211.09349044345277,-98.34499221851036,0.08470929862058175,704,1408,8,0.020675277175251944,0.20593194977619914,12
8,40,1,wide,2,-0.2,-0.2,0.5,0.0,-351.84773223268024,-339.70777636566976,-339.70777636566976,-339.70777636566976,0.0,19,20,20,9999,9999,9999,-275.7693273518374,-113.13878248856335,-0.04159758080550441,704,1408,8,-0.07500000000000007,0.4277027387799856,9
8,40,1,wide,2,-0.2,-0.2,0.5,0.5,-351.84773223268024,-339.70777636566976,-339.72055561697,-339.70777636566976,0.0,19,20,40,9999,9999,9999,-275.7693273518374,-113.13878248856335,-0.04159758080550441,704,1408,8,-0.07500000000000007,0.4277027387799856,9
8,40,1,wide,2,-0.2,-0.2,0.5,1.0,-351.84773223268024,-339.70777636566976,-339.84693165249183,-339.70777636566976,0.0,19,20,40,9999,9999,9999,-275.7693273518374,-113.13878248856335,-0.04159758080550441,704,1408,8,-0.07500000000000007,0.4277027387799856,9
