n,S,rep,regime,delta,beta,gamma,eta,alpha,two_point_best,spectral_primary_best,weighted_best,best_union_so_far,best_union_alpha,two_point_candidates,spectral_candidates,weighted_candidates,two_point_true_rank,spectral_true_rank,weighted_true_rank,lp_two_point,lp_spectral,secondary_score,score_vars,score_rows,anchors,pair_median,pair_scale,pair_active
8,40,1,moderate,2,0.0,0.0,0.0,0.0,-309.7575229428332,-302.64079508727565,-302.64079508727565,-302.64079508727565,0.0,9,40,40,9999,9999,9999,-205.9003157480018,-92.10627533371748,0.11220631920064798,704,1408,8,-0.011715251070150756,0.2152921914148363,11
8,40,1,moderate,2,0.0,0.0,0.0,0.5,-309.7575229428332,-302.64079508727565,-299.11446613415404,-299.11446613415404,0.5,9,40,40,9999,9999,9999,-205.9003157480018,-92.10627533371748,0.11220631920064798,704,1408,8,-0.011715251070150756,0.2152921914148363,11
8,40,1,moderate,2,0.0,0.0,0.0,1.0,-309.7575229428332,-302.64079508727565,-300.55863277739303,-299.11446613415404,0.5,9,40,11,9999,9999,9999,-205.9003157480018,-92.10627533371748,0.11220631920064798,704,1408,8,-0.011715251070150756,0.2152921914148363,11
8,40,1,moderate,2,-0.1,-0.1,0.0,0.0,-309.7575229428332,-302.64079508727565,-302.64079508727565,-302.64079508727565,0.0,9,40,40,9999,9999,9999,-205.90031574800182,-92.10627533371749,0.11501265413193436,704,1408,8,-0.011715251070151644,0.2152921914148366,11
8,40,1,moderate,2,-0.1,-0.1,0.0,0.5,-309.7575229428332,-302.64079508727565,-293.11220069243166,-293.11220069243166,0.5,9,40,40,9999,9999,9999,-205.90031574800182,-92.10627533371749,0.11501265413193436,704,1408,8,-0.011715251070151644,0.2152921914148366,11
8,40,1,moderate,2,-0.1,-0.1,0.0,1.0,-309.7575229428332,-302.64079508727565,-293.11217577890636,-293.11217577890636,1.0,9,40,12,9999,9999,9999,-205.90031574800182,-92.10627533371749,0.11501265413193436,704,1408,8,-0.011715251070151644,0.2152921914148366,11
8,40,1,moderate,2,-0.1,-0.1,0.3,0.0,-309.7575229428332,-302.64079508727565,-302.64079508727565,-302.64079508727565,0.0,9,40,40,9999,9999,9999,-205.9003157480018,-92.10627533371743,0.17783026201148777,704,1408,8,-0.011715251070150368,0.2152921914148362,11
8,40,1,moderate,2,-0.1,-0.1,0.3,0.5,-309.7575229428332,-302.64079508727565,-294.08964839717555,-294.08964839717555,0.5,9,40,32,9999,9999,9999,-205.9003157480018,-92.10627533371743,0.17783026201148777,704,1408,8,-0.011715251070150368,0.2152921914148362,11
8,40,1,moderate,2,-0.1,-0.1,0.3,1.0,-309.7575229428332,-302.64079508727565,-303.6072633109144,-294.08964839717555,0.5,9,40,11,9999,9999,9999,-205.9003157480018,-92.10627533371743,0.17783026201148777,704,1408,8,-0.011715251070150368,0.2152921914148362,11
8,40,1,moderate,2,-0.2,-0.2,0.3,0.0,-309.7575229428332,-302.64079508727565,-302.64079508727565,-302.64079508727565,0.0,9,40,40,9999,9999,9999,-205.90031574800182,-92.10627533371749,0.18531503008784067,704,1408,8,-0.011715251070151422,0.21529219141483666,11
8,40,1,moderate,2,-0.2,-0.2,0.3,0.5,-309.7575229428332,-302.64079508727565,-294.08964839717555,-294.08964839717555,0.5,9,40,32,9999,9999,9999,-205.90031574800182,-92.10627533371749,0.18531503008784067,704,1408,8,-0.011715251070151422,0.21529219141483666,11
8,40,1,moderate,2,-0.2,-0.2,0.3,1.0,-309.7575229428332,-302.64079508727565,-303.60726331091433,-294.08964839717555,0.5,9,40,11,9999,9999,9999,-205.90031574800182,-92.10627533371749,0.18531503008784067,704,1408,8,-0.011715251070151422,0.21529219141483666,11
