parent_unit,parent_port,child_unit,option_index,edge_flow,parent_upper_flow,child_upper_flow,connection_kind,router_count,router_stage,switch_id,switch_state
S_m0002_a0001_j0000,left,R_m0001_L001_W00000,0,1,2,1,compact_benes_enter,1,0,R1_S0_P0,straight
S_m0002_a0001_j0000,left,R_m0001_L001_W00001,1,1,2,1,compact_benes_enter,1,0,R1_S0_P0,cross
S_m0002_a0001_j0000,right,R_m0001_L001_W00001,0,1,2,1,compact_benes_enter,1,0,R1_S0_P0,straight
S_m0002_a0001_j0000,right,R_m0001_L001_W00000,1,1,2,1,compact_benes_enter,1,0,R1_S0_P0,cross
S_m0002_a0001_j0001,left,R_m0001_L001_W00002,0,1,2,1,compact_benes_enter,1,0,R1_S0_P2,straight
S_m0002_a0001_j0001,left,R_m0001_L001_W00003,1,1,2,1,compact_benes_enter,1,0,R1_S0_P2,cross
S_m0002_a0001_j0001,right,R_m0001_L001_W00003,0,1,2,1,compact_benes_enter,1,0,R1_S0_P2,straight
S_m0002_a0001_j0001,right,R_m0001_L001_W00002,1,1,2,1,compact_benes_enter,1,0,R1_S0_P2,cross
S_m0002_a0001_j0002,left,R_m0001_L001_W00004,0,1,2,1,compact_benes_enter,1,0,R1_S0_P4,straight
S_m0002_a0001_j0002,left,R_m0001_L001_W00005,1,1,2,1,compact_benes_enter,1,0,R1_S0_P4,cross
S_m0002_a0001_j0002,right,R_m0001_L001_W00005,0,1,2,1,compact_benes_enter,1,0,R1_S0_P4,straight
S_m0002_a0001_j0002,right,R_m0001_L001_W00004,1,1,2,1,compact_benes_enter,1,0,R1_S0_P4,cross
S_m0002_a0001_j0003,left,R_m0001_L001_W00006,0,1,2,1,compact_benes_enter,1,0,R1_S0_P6,straight
S_m0002_a0001_j0003,left,R_m0001_L001_W00007,1,1,2,1,compact_benes_enter,1,0,R1_S0_P6,cross
S_m0002_a0001_j0003,right,R_m0001_L001_W00007,0,1,2,1,compact_benes_enter,1,0,R1_S0_P6,straight
S_m0002_a0001_j0003,right,R_m0001_L001_W00006,1,1,2,1,compact_benes_enter,1,0,R1_S0_P6,cross
S_m0002_a0001_j0004,left,R_m0001_L001_W00008,0,1,2,1,compact_benes_enter,1,0,R1_S0_P8,straight
S_m0002_a0001_j0004,left,R_m0001_L001_W00009,1,1,2,1,compact_benes_enter,1,0,R1_S0_P8,cross
S_m0002_a0001_j0004,right,R_m0001_L001_W00009,0,1,2,1,compact_benes_enter,1,0,R1_S0_P8,straight
S_m0002_a0001_j0004,right,R_m0001_L001_W00008,1,1,2,1,compact_benes_enter,1,0,R1_S0_P8,cross
S_m0002_a0001_j0005,left,R_m0001_L001_W00010,0,1,2,1,compact_benes_enter,1,0,R1_S0_P10,straight
S_m0002_a0001_j0005,left,R_m0001_L001_W00011,1,1,2,1,compact_benes_enter,1,0,R1_S0_P10,cross
S_m0002_a0001_j0005,right,R_m0001_L001_W00011,0,1,2,1,compact_benes_enter,1,0,R1_S0_P10,straight
S_m0002_a0001_j0005,right,R_m0001_L001_W00010,1,1,2,1,compact_benes_enter,1,0,R1_S0_P10,cross
S_m0002_a0001_j0006,left,R_m0001_L001_W00012,0,1,2,1,compact_benes_enter,1,0,R1_S0_P12,straight
S_m0002_a0001_j0006,left,R_m0001_L001_W00013,1,1,2,1,compact_benes_enter,1,0,R1_S0_P12,cross
S_m0002_a0001_j0006,right,R_m0001_L001_W00013,0,1,2,1,compact_benes_enter,1,0,R1_S0_P12,straight
S_m0002_a0001_j0006,right,R_m0001_L001_W00012,1,1,2,1,compact_benes_enter,1,0,R1_S0_P12,cross
S_m0002_a0001_j0007,left,R_m0001_L001_W00014,0,1,2,1,compact_benes_enter,1,0,R1_S0_P14,straight
S_m0002_a0001_j0007,left,R_m0001_L001_W00015,1,1,2,1,compact_benes_enter,1,0,R1_S0_P14,cross
S_m0002_a0001_j0007,right,R_m0001_L001_W00015,0,1,2,1,compact_benes_enter,1,0,R1_S0_P14,straight
S_m0002_a0001_j0007,right,R_m0001_L001_W00014,1,1,2,1,compact_benes_enter,1,0,R1_S0_P14,cross
S_m0002_a0001_j0008,left,R_m0001_L001_W00016,0,1,2,1,compact_benes_enter,1,0,R1_S0_P16,straight
S_m0002_a0001_j0008,left,R_m0001_L001_W00017,1,1,2,1,compact_benes_enter,1,0,R1_S0_P16,cross
S_m0002_a0001_j0008,right,R_m0001_L001_W00017,0,1,2,1,compact_benes_enter,1,0,R1_S0_P16,straight
S_m0002_a0001_j0008,right,R_m0001_L001_W00016,1,1,2,1,compact_benes_enter,1,0,R1_S0_P16,cross
S_m0002_a0001_j0009,left,R_m0001_L001_W00018,0,1,2,1,compact_benes_enter,1,0,R1_S0_P18,straight
S_m0002_a0001_j0009,left,R_m0001_L001_W00019,1,1,2,1,compact_benes_enter,1,0,R1_S0_P18,cross
S_m0002_a0001_j0009,right,R_m0001_L001_W00019,0,1,2,1,compact_benes_enter,1,0,R1_S0_P18,straight
S_m0002_a0001_j0009,right,R_m0001_L001_W00018,1,1,2,1,compact_benes_enter,1,0,R1_S0_P18,cross
S_m0002_a0001_j0010,left,R_m0001_L001_W00020,0,1,2,1,compact_benes_enter,1,0,R1_S0_P20,straight
S_m0002_a0001_j0010,left,R_m0001_L001_W00021,1,1,2,1,compact_benes_enter,1,0,R1_S0_P20,cross
S_m0002_a0001_j0010,right,R_m0001_L001_W00021,0,1,2,1,compact_benes_enter,1,0,R1_S0_P20,straight
S_m0002_a0001_j0010,right,R_m0001_L001_W00020,1,1,2,1,compact_benes_enter,1,0,R1_S0_P20,cross
S_m0002_a0001_j0011,left,R_m0001_L001_W00022,0,1,2,1,compact_benes_enter,1,0,R1_S0_P22,straight
S_m0002_a0001_j0011,left,R_m0001_L001_W00023,1,1,2,1,compact_benes_enter,1,0,R1_S0_P22,cross
S_m0002_a0001_j0011,right,R_m0001_L001_W00023,0,1,2,1,compact_benes_enter,1,0,R1_S0_P22,straight
S_m0002_a0001_j0011,right,R_m0001_L001_W00022,1,1,2,1,compact_benes_enter,1,0,R1_S0_P22,cross
S_m0002_a0001_j0012,left,R_m0001_L001_W00024,0,1,2,1,compact_benes_enter,1,0,R1_S0_P24,straight
S_m0002_a0001_j0012,left,R_m0001_L001_W00025,1,1,2,1,compact_benes_enter,1,0,R1_S0_P24,cross
S_m0002_a0001_j0012,right,R_m0001_L001_W00025,0,1,2,1,compact_benes_enter,1,0,R1_S0_P24,straight
S_m0002_a0001_j0012,right,R_m0001_L001_W00024,1,1,2,1,compact_benes_enter,1,0,R1_S0_P24,cross
S_m0002_a0001_j0013,left,R_m0001_L001_W00026,0,1,2,1,compact_benes_enter,1,0,R1_S0_P26,straight
S_m0002_a0001_j0013,left,R_m0001_L001_W00027,1,1,2,1,compact_benes_enter,1,0,R1_S0_P26,cross
S_m0002_a0001_j0013,right,R_m0001_L001_W00027,0,1,2,1,compact_benes_enter,1,0,R1_S0_P26,straight
S_m0002_a0001_j0013,right,R_m0001_L001_W00026,1,1,2,1,compact_benes_enter,1,0,R1_S0_P26,cross
S_m0002_a0001_j0014,left,R_m0001_L001_W00028,0,1,2,1,compact_benes_enter,1,0,R1_S0_P28,straight
S_m0002_a0001_j0014,left,R_m0001_L001_W00029,1,1,2,1,compact_benes_enter,1,0,R1_S0_P28,cross
S_m0002_a0001_j0014,right,R_m0001_L001_W00029,0,1,2,1,compact_benes_enter,1,0,R1_S0_P28,straight
S_m0002_a0001_j0014,right,R_m0001_L001_W00028,1,1,2,1,compact_benes_enter,1,0,R1_S0_P28,cross
S_m0003_a0001_j0000,left,R_m0001_L001_W00030,0,1,3,1,compact_benes_enter,1,0,R1_S0_P30,straight
S_m0003_a0001_j0000,left,R_m0001_L001_W00031,1,1,3,1,compact_benes_enter,1,0,R1_S0_P30,cross
S_m0003_a0001_j0001,left,R_m0001_L001_W00031,0,1,3,1,compact_benes_enter,1,0,R1_S0_P30,straight
S_m0003_a0001_j0001,left,R_m0001_L001_W00030,1,1,3,1,compact_benes_enter,1,0,R1_S0_P30,cross
