unit_id,logical_edge_id,hybrid_group,path_option,segment_index,segment_from,segment_to,edge_flow
LEAF_0000,taxon_edge,LEAF_0000:taxon_edge,short,0,upper,taxon:leaf_1,1
LEAF_0000,taxon_edge,LEAF_0000:taxon_edge,long,0,upper,taxon_edge__H1,1
LEAF_0000,taxon_edge,LEAF_0000:taxon_edge,long,1,taxon_edge__H1,taxon:leaf_1,1
LEAF_0001,taxon_edge,LEAF_0001:taxon_edge,short,0,upper,taxon:leaf_2,1
LEAF_0001,taxon_edge,LEAF_0001:taxon_edge,long,0,upper,taxon_edge__H1,1
LEAF_0001,taxon_edge,LEAF_0001:taxon_edge,long,1,taxon_edge__H1,taxon:leaf_2,1
LEAF_0002,taxon_edge,LEAF_0002:taxon_edge,short,0,upper,taxon:leaf_3,1
LEAF_0002,taxon_edge,LEAF_0002:taxon_edge,long,0,upper,taxon_edge__H1,1
LEAF_0002,taxon_edge,LEAF_0002:taxon_edge,long,1,taxon_edge__H1,taxon:leaf_3,1
LEAF_0003,taxon_edge,LEAF_0003:taxon_edge,short,0,upper,taxon:leaf_4,1
LEAF_0003,taxon_edge,LEAF_0003:taxon_edge,long,0,upper,taxon_edge__H1,1
LEAF_0003,taxon_edge,LEAF_0003:taxon_edge,long,1,taxon_edge__H1,taxon:leaf_4,1
LEAF_0004,taxon_edge,LEAF_0004:taxon_edge,short,0,upper,taxon:leaf_5,1
LEAF_0004,taxon_edge,LEAF_0004:taxon_edge,long,0,upper,taxon_edge__H1,1
LEAF_0004,taxon_edge,LEAF_0004:taxon_edge,long,1,taxon_edge__H1,taxon:leaf_5,1
LEAF_0005,taxon_edge,LEAF_0005:taxon_edge,short,0,upper,taxon:leaf_6,1
LEAF_0005,taxon_edge,LEAF_0005:taxon_edge,long,0,upper,taxon_edge__H1,1
LEAF_0005,taxon_edge,LEAF_0005:taxon_edge,long,1,taxon_edge__H1,taxon:leaf_6,1
LEAF_0006,taxon_edge,LEAF_0006:taxon_edge,short,0,upper,taxon:leaf_7,1
LEAF_0006,taxon_edge,LEAF_0006:taxon_edge,long,0,upper,taxon_edge__H1,1
LEAF_0006,taxon_edge,LEAF_0006:taxon_edge,long,1,taxon_edge__H1,taxon:leaf_7,1
LEAF_0007,taxon_edge,LEAF_0007:taxon_edge,short,0,upper,taxon:leaf_8,1
LEAF_0007,taxon_edge,LEAF_0007:taxon_edge,long,0,upper,taxon_edge__H1,1
LEAF_0007,taxon_edge,LEAF_0007:taxon_edge,long,1,taxon_edge__H1,taxon:leaf_8,1
LEAF_0008,taxon_edge,LEAF_0008:taxon_edge,short,0,upper,taxon:leaf_9,1
LEAF_0008,taxon_edge,LEAF_0008:taxon_edge,long,0,upper,taxon_edge__H1,1
LEAF_0008,taxon_edge,LEAF_0008:taxon_edge,long,1,taxon_edge__H1,taxon:leaf_9,1
LEAF_0009,taxon_edge,LEAF_0009:taxon_edge,short,0,upper,taxon:leaf_10,1
LEAF_0009,taxon_edge,LEAF_0009:taxon_edge,long,0,upper,taxon_edge__H1,1
LEAF_0009,taxon_edge,LEAF_0009:taxon_edge,long,1,taxon_edge__H1,taxon:leaf_10,1
LEAF_0010,taxon_edge,LEAF_0010:taxon_edge,short,0,upper,taxon:leaf_11,1
LEAF_0010,taxon_edge,LEAF_0010:taxon_edge,long,0,upper,taxon_edge__H1,1
LEAF_0010,taxon_edge,LEAF_0010:taxon_edge,long,1,taxon_edge__H1,taxon:leaf_11,1
LEAF_0011,taxon_edge,LEAF_0011:taxon_edge,short,0,upper,taxon:leaf_12,1
LEAF_0011,taxon_edge,LEAF_0011:taxon_edge,long,0,upper,taxon_edge__H1,1
LEAF_0011,taxon_edge,LEAF_0011:taxon_edge,long,1,taxon_edge__H1,taxon:leaf_12,1
LEAF_0012,taxon_edge,LEAF_0012:taxon_edge,short,0,upper,taxon:leaf_13,1
LEAF_0012,taxon_edge,LEAF_0012:taxon_edge,long,0,upper,taxon_edge__H1,1
LEAF_0012,taxon_edge,LEAF_0012:taxon_edge,long,1,taxon_edge__H1,taxon:leaf_13,1
LEAF_0013,taxon_edge,LEAF_0013:taxon_edge,short,0,upper,taxon:leaf_14,1
LEAF_0013,taxon_edge,LEAF_0013:taxon_edge,long,0,upper,taxon_edge__H1,1
LEAF_0013,taxon_edge,LEAF_0013:taxon_edge,long,1,taxon_edge__H1,taxon:leaf_14,1
LEAF_0014,taxon_edge,LEAF_0014:taxon_edge,short,0,upper,taxon:leaf_15,1
LEAF_0014,taxon_edge,LEAF_0014:taxon_edge,long,0,upper,taxon_edge__H1,1
LEAF_0014,taxon_edge,LEAF_0014:taxon_edge,long,1,taxon_edge__H1,taxon:leaf_15,1
LEAF_0015,taxon_edge,LEAF_0015:taxon_edge,short,0,upper,taxon:leaf_16,1
LEAF_0015,taxon_edge,LEAF_0015:taxon_edge,long,0,upper,taxon_edge__H1,1
LEAF_0015,taxon_edge,LEAF_0015:taxon_edge,long,1,taxon_edge__H1,taxon:leaf_16,1
LEAF_0016,taxon_edge,LEAF_0016:taxon_edge,short,0,upper,taxon:leaf_17,1
LEAF_0016,taxon_edge,LEAF_0016:taxon_edge,long,0,upper,taxon_edge__H1,1
LEAF_0016,taxon_edge,LEAF_0016:taxon_edge,long,1,taxon_edge__H1,taxon:leaf_17,1
LEAF_0017,taxon_edge,LEAF_0017:taxon_edge,short,0,upper,taxon:leaf_18,1
LEAF_0017,taxon_edge,LEAF_0017:taxon_edge,long,0,upper,taxon_edge__H1,1
LEAF_0017,taxon_edge,LEAF_0017:taxon_edge,long,1,taxon_edge__H1,taxon:leaf_18,1
LEAF_0018,taxon_edge,LEAF_0018:taxon_edge,short,0,upper,taxon:leaf_19,1
LEAF_0018,taxon_edge,LEAF_0018:taxon_edge,long,0,upper,taxon_edge__H1,1
LEAF_0018,taxon_edge,LEAF_0018:taxon_edge,long,1,taxon_edge__H1,taxon:leaf_19,1
LEAF_0019,taxon_edge,LEAF_0019:taxon_edge,short,0,upper,taxon:leaf_20,1
LEAF_0019,taxon_edge,LEAF_0019:taxon_edge,long,0,upper,taxon_edge__H1,1
LEAF_0019,taxon_edge,LEAF_0019:taxon_edge,long,1,taxon_edge__H1,taxon:leaf_20,1
LEAF_0020,taxon_edge,LEAF_0020:taxon_edge,short,0,upper,taxon:leaf_21,1
LEAF_0020,taxon_edge,LEAF_0020:taxon_edge,long,0,upper,taxon_edge__H1,1
LEAF_0020,taxon_edge,LEAF_0020:taxon_edge,long,1,taxon_edge__H1,taxon:leaf_21,1
LEAF_0021,taxon_edge,LEAF_0021:taxon_edge,short,0,upper,taxon:leaf_22,1
LEAF_0021,taxon_edge,LEAF_0021:taxon_edge,long,0,upper,taxon_edge__H1,1
LEAF_0021,taxon_edge,LEAF_0021:taxon_edge,long,1,taxon_edge__H1,taxon:leaf_22,1
LEAF_0022,taxon_edge,LEAF_0022:taxon_edge,short,0,upper,taxon:leaf_23,1
LEAF_0022,taxon_edge,LEAF_0022:taxon_edge,long,0,upper,taxon_edge__H1,1
LEAF_0022,taxon_edge,LEAF_0022:taxon_edge,long,1,taxon_edge__H1,taxon:leaf_23,1
LEAF_0023,taxon_edge,LEAF_0023:taxon_edge,short,0,upper,taxon:leaf_24,1
LEAF_0023,taxon_edge,LEAF_0023:taxon_edge,long,0,upper,taxon_edge__H1,1
LEAF_0023,taxon_edge,LEAF_0023:taxon_edge,long,1,taxon_edge__H1,taxon:leaf_24,1
LEAF_0024,taxon_edge,LEAF_0024:taxon_edge,short,0,upper,taxon:leaf_25,1
LEAF_0024,taxon_edge,LEAF_0024:taxon_edge,long,0,upper,taxon_edge__H1,1
LEAF_0024,taxon_edge,LEAF_0024:taxon_edge,long,1,taxon_edge__H1,taxon:leaf_25,1
LEAF_0025,taxon_edge,LEAF_0025:taxon_edge,short,0,upper,taxon:leaf_26,1
LEAF_0025,taxon_edge,LEAF_0025:taxon_edge,long,0,upper,taxon_edge__H1,1
LEAF_0025,taxon_edge,LEAF_0025:taxon_edge,long,1,taxon_edge__H1,taxon:leaf_26,1
LEAF_0026,taxon_edge,LEAF_0026:taxon_edge,short,0,upper,taxon:leaf_27,1
LEAF_0026,taxon_edge,LEAF_0026:taxon_edge,long,0,upper,taxon_edge__H1,1
LEAF_0026,taxon_edge,LEAF_0026:taxon_edge,long,1,taxon_edge__H1,taxon:leaf_27,1
LEAF_0027,taxon_edge,LEAF_0027:taxon_edge,short,0,upper,taxon:leaf_28,1
LEAF_0027,taxon_edge,LEAF_0027:taxon_edge,long,0,upper,taxon_edge__H1,1
LEAF_0027,taxon_edge,LEAF_0027:taxon_edge,long,1,taxon_edge__H1,taxon:leaf_28,1
LEAF_0028,taxon_edge,LEAF_0028:taxon_edge,short,0,upper,taxon:leaf_29,1
LEAF_0028,taxon_edge,LEAF_0028:taxon_edge,long,0,upper,taxon_edge__H1,1
LEAF_0028,taxon_edge,LEAF_0028:taxon_edge,long,1,taxon_edge__H1,taxon:leaf_29,1
LEAF_0029,taxon_edge,LEAF_0029:taxon_edge,short,0,upper,taxon:leaf_30,1
LEAF_0029,taxon_edge,LEAF_0029:taxon_edge,long,0,upper,taxon_edge__H1,1
LEAF_0029,taxon_edge,LEAF_0029:taxon_edge,long,1,taxon_edge__H1,taxon:leaf_30,1
S_m0002_a0001_j0000,upper_arm,S_m0002_a0001_j0000:upper_arm,short,0,upper,branch,2
S_m0002_a0001_j0000,upper_arm,S_m0002_a0001_j0000:upper_arm,long,0,upper,upper_arm__H1,2
S_m0002_a0001_j0000,upper_arm,S_m0002_a0001_j0000:upper_arm,long,1,upper_arm__H1,branch,2
S_m0002_a0001_j0000,left_arm,S_m0002_a0001_j0000:left_arm,base,0,branch,left,1
S_m0002_a0001_j0000,right_arm,S_m0002_a0001_j0000:right_arm,base,0,branch,right,1
