unit_id,logical_edge_id,endpoint_a,endpoint_b,edge_flow
LEAF_0000,taxon_edge,upper,taxon:leaf_1,1
LEAF_0001,taxon_edge,upper,taxon:leaf_2,1
LEAF_0002,taxon_edge,upper,taxon:leaf_3,1
LEAF_0003,taxon_edge,upper,taxon:leaf_4,1
LEAF_0004,taxon_edge,upper,taxon:leaf_5,1
LEAF_0005,taxon_edge,upper,taxon:leaf_6,1
LEAF_0006,taxon_edge,upper,taxon:leaf_7,1
LEAF_0007,taxon_edge,upper,taxon:leaf_8,1
LEAF_0008,taxon_edge,upper,taxon:leaf_9,1
LEAF_0009,taxon_edge,upper,taxon:leaf_10,1
LEAF_0010,taxon_edge,upper,taxon:leaf_11,1
LEAF_0011,taxon_edge,upper,taxon:leaf_12,1
LEAF_0012,taxon_edge,upper,taxon:leaf_13,1
LEAF_0013,taxon_edge,upper,taxon:leaf_14,1
LEAF_0014,taxon_edge,upper,taxon:leaf_15,1
LEAF_0015,taxon_edge,upper,taxon:leaf_16,1
LEAF_0016,taxon_edge,upper,taxon:leaf_17,1
LEAF_0017,taxon_edge,upper,taxon:leaf_18,1
LEAF_0018,taxon_edge,upper,taxon:leaf_19,1
LEAF_0019,taxon_edge,upper,taxon:leaf_20,1
LEAF_0020,taxon_edge,upper,taxon:leaf_21,1
LEAF_0021,taxon_edge,upper,taxon:leaf_22,1
LEAF_0022,taxon_edge,upper,taxon:leaf_23,1
LEAF_0023,taxon_edge,upper,taxon:leaf_24,1
LEAF_0024,taxon_edge,upper,taxon:leaf_25,1
LEAF_0025,taxon_edge,upper,taxon:leaf_26,1
LEAF_0026,taxon_edge,upper,taxon:leaf_27,1
LEAF_0027,taxon_edge,upper,taxon:leaf_28,1
LEAF_0028,taxon_edge,upper,taxon:leaf_29,1
LEAF_0029,taxon_edge,upper,taxon:leaf_30,1
S_m0002_a0001_j0000,upper_arm,upper,branch,2
S_m0002_a0001_j0000,left_arm,branch,left,1
S_m0002_a0001_j0000,right_arm,branch,right,1
S_m0002_a0001_j0001,upper_arm,upper,branch,2
S_m0002_a0001_j0001,left_arm,branch,left,1
S_m0002_a0001_j0001,right_arm,branch,right,1
S_m0002_a0001_j0002,upper_arm,upper,branch,2
S_m0002_a0001_j0002,left_arm,branch,left,1
S_m0002_a0001_j0002,right_arm,branch,right,1
S_m0002_a0001_j0003,upper_arm,upper,branch,2
S_m0002_a0001_j0003,left_arm,branch,left,1
S_m0002_a0001_j0003,right_arm,branch,right,1
S_m0002_a0001_j0004,upper_arm,upper,branch,2
S_m0002_a0001_j0004,left_arm,branch,left,1
S_m0002_a0001_j0004,right_arm,branch,right,1
S_m0002_a0001_j0005,upper_arm,upper,branch,2
S_m0002_a0001_j0005,left_arm,branch,left,1
S_m0002_a0001_j0005,right_arm,branch,right,1
S_m0002_a0001_j0006,upper_arm,upper,branch,2
S_m0002_a0001_j0006,left_arm,branch,left,1
S_m0002_a0001_j0006,right_arm,branch,right,1
S_m0002_a0001_j0007,upper_arm,upper,branch,2
S_m0002_a0001_j0007,left_arm,branch,left,1
S_m0002_a0001_j0007,right_arm,branch,right,1
S_m0002_a0001_j0008,upper_arm,upper,branch,2
S_m0002_a0001_j0008,left_arm,branch,left,1
S_m0002_a0001_j0008,right_arm,branch,right,1
S_m0002_a0001_j0009,upper_arm,upper,branch,2
S_m0002_a0001_j0009,left_arm,branch,left,1
S_m0002_a0001_j0009,right_arm,branch,right,1
S_m0002_a0001_j0010,upper_arm,upper,branch,2
S_m0002_a0001_j0010,left_arm,branch,left,1
S_m0002_a0001_j0010,right_arm,branch,right,1
S_m0002_a0001_j0011,upper_arm,upper,branch,2
S_m0002_a0001_j0011,left_arm,branch,left,1
S_m0002_a0001_j0011,right_arm,branch,right,1
S_m0002_a0001_j0012,upper_arm,upper,branch,2
S_m0002_a0001_j0012,left_arm,branch,left,1
S_m0002_a0001_j0012,right_arm,branch,right,1
S_m0002_a0001_j0013,upper_arm,upper,branch,2
S_m0002_a0001_j0013,left_arm,branch,left,1
S_m0002_a0001_j0013,right_arm,branch,right,1
S_m0002_a0001_j0014,upper_arm,upper,branch,2
S_m0002_a0001_j0014,left_arm,branch,left,1
S_m0002_a0001_j0014,right_arm,branch,right,1
S_m0003_a0001_j0000,upper_arm,upper,branch,3
S_m0003_a0001_j0000,left_arm,branch,left,1
S_m0003_a0001_j0000,right_arm,branch,right,2
S_m0003_a0001_j0001,upper_arm,upper,branch,3
S_m0003_a0001_j0001,left_arm,branch,left,1
S_m0003_a0001_j0001,right_arm,branch,right,2
S_m0003_a0001_j0002,upper_arm,upper,branch,3
S_m0003_a0001_j0002,left_arm,branch,left,1
S_m0003_a0001_j0002,right_arm,branch,right,2
S_m0003_a0001_j0003,upper_arm,upper,branch,3
S_m0003_a0001_j0003,left_arm,branch,left,1
S_m0003_a0001_j0003,right_arm,branch,right,2
S_m0003_a0001_j0004,upper_arm,upper,branch,3
S_m0003_a0001_j0004,left_arm,branch,left,1
S_m0003_a0001_j0004,right_arm,branch,right,2
S_m0003_a0001_j0005,upper_arm,upper,branch,3
S_m0003_a0001_j0005,left_arm,branch,left,1
S_m0003_a0001_j0005,right_arm,branch,right,2
S_m0003_a0001_j0006,upper_arm,upper,branch,3
S_m0003_a0001_j0006,left_arm,branch,left,1
S_m0003_a0001_j0006,right_arm,branch,right,2
S_m0003_a0001_j0007,upper_arm,upper,branch,3
S_m0003_a0001_j0007,left_arm,branch,left,1
S_m0003_a0001_j0007,right_arm,branch,right,2
S_m0003_a0001_j0008,upper_arm,upper,branch,3
S_m0003_a0001_j0008,left_arm,branch,left,1
S_m0003_a0001_j0008,right_arm,branch,right,2
S_m0003_a0001_j0009,upper_arm,upper,branch,3
S_m0003_a0001_j0009,left_arm,branch,left,1
S_m0003_a0001_j0009,right_arm,branch,right,2
S_m0004_a0001_j0000,upper_arm,upper,branch,4
S_m0004_a0001_j0000,left_arm,branch,left,1
S_m0004_a0001_j0000,right_arm,branch,right,3
S_m0004_a0001_j0001,upper_arm,upper,branch,4
S_m0004_a0001_j0001,left_arm,branch,left,1
S_m0004_a0001_j0001,right_arm,branch,right,3
S_m0004_a0001_j0002,upper_arm,upper,branch,4
S_m0004_a0001_j0002,left_arm,branch,left,1
S_m0004_a0001_j0002,right_arm,branch,right,3
S_m0004_a0001_j0003,upper_arm,upper,branch,4
S_m0004_a0001_j0003,left_arm,branch,left,1
S_m0004_a0001_j0003,right_arm,branch,right,3
S_m0004_a0001_j0004,upper_arm,upper,branch,4
S_m0004_a0001_j0004,left_arm,branch,left,1
S_m0004_a0001_j0004,right_arm,branch,right,3
S_m0004_a0001_j0005,upper_arm,upper,branch,4
S_m0004_a0001_j0005,left_arm,branch,left,1
S_m0004_a0001_j0005,right_arm,branch,right,3
S_m0004_a0001_j0006,upper_arm,upper,branch,4
S_m0004_a0001_j0006,left_arm,branch,left,1
S_m0004_a0001_j0006,right_arm,branch,right,3
S_m0004_a0002_j0000,upper_arm,upper,branch,4
S_m0004_a0002_j0000,left_arm,branch,left,2
S_m0004_a0002_j0000,right_arm,branch,right,2
S_m0004_a0002_j0001,upper_arm,upper,branch,4
S_m0004_a0002_j0001,left_arm,branch,left,2
S_m0004_a0002_j0001,right_arm,branch,right,2
S_m0004_a0002_j0002,upper_arm,upper,branch,4
S_m0004_a0002_j0002,left_arm,branch,left,2
S_m0004_a0002_j0002,right_arm,branch,right,2
S_m0004_a0002_j0003,upper_arm,upper,branch,4
S_m0004_a0002_j0003,left_arm,branch,left,2
S_m0004_a0002_j0003,right_arm,branch,right,2
S_m0004_a0002_j0004,upper_arm,upper,branch,4
S_m0004_a0002_j0004,left_arm,branch,left,2
S_m0004_a0002_j0004,right_arm,branch,right,2
S_m0004_a0002_j0005,upper_arm,upper,branch,4
S_m0004_a0002_j0005,left_arm,branch,left,2
S_m0004_a0002_j0005,right_arm,branch,right,2
S_m0004_a0002_j0006,upper_arm,upper,branch,4
S_m0004_a0002_j0006,left_arm,branch,left,2
S_m0004_a0002_j0006,right_arm,branch,right,2
S_m0005_a0001_j0000,upper_arm,upper,branch,5
S_m0005_a0001_j0000,left_arm,branch,left,1
S_m0005_a0001_j0000,right_arm,branch,right,4
S_m0005_a0001_j0001,upper_arm,upper,branch,5
S_m0005_a0001_j0001,left_arm,branch,left,1
S_m0005_a0001_j0001,right_arm,branch,right,4
S_m0005_a0001_j0002,upper_arm,upper,branch,5
S_m0005_a0001_j0002,left_arm,branch,left,1
S_m0005_a0001_j0002,right_arm,branch,right,4
S_m0005_a0001_j0003,upper_arm,upper,branch,5
S_m0005_a0001_j0003,left_arm,branch,left,1
S_m0005_a0001_j0003,right_arm,branch,right,4
S_m0005_a0001_j0004,upper_arm,upper,branch,5
S_m0005_a0001_j0004,left_arm,branch,left,1
S_m0005_a0001_j0004,right_arm,branch,right,4
S_m0005_a0001_j0005,upper_arm,upper,branch,5
S_m0005_a0001_j0005,left_arm,branch,left,1
S_m0005_a0001_j0005,right_arm,branch,right,4
S_m0005_a0002_j0000,upper_arm,upper,branch,5
S_m0005_a0002_j0000,left_arm,branch,left,2
S_m0005_a0002_j0000,right_arm,branch,right,3
S_m0005_a0002_j0001,upper_arm,upper,branch,5
S_m0005_a0002_j0001,left_arm,branch,left,2
S_m0005_a0002_j0001,right_arm,branch,right,3
S_m0005_a0002_j0002,upper_arm,upper,branch,5
S_m0005_a0002_j0002,left_arm,branch,left,2
S_m0005_a0002_j0002,right_arm,branch,right,3
S_m0005_a0002_j0003,upper_arm,upper,branch,5
S_m0005_a0002_j0003,left_arm,branch,left,2
S_m0005_a0002_j0003,right_arm,branch,right,3
S_m0005_a0002_j0004,upper_arm,upper,branch,5
S_m0005_a0002_j0004,left_arm,branch,left,2
S_m0005_a0002_j0004,right_arm,branch,right,3
S_m0005_a0002_j0005,upper_arm,upper,branch,5
S_m0005_a0002_j0005,left_arm,branch,left,2
S_m0005_a0002_j0005,right_arm,branch,right,3
S_m0006_a0001_j0000,upper_arm,upper,branch,6
S_m0006_a0001_j0000,left_arm,branch,left,1
S_m0006_a0001_j0000,right_arm,branch,right,5
S_m0006_a0001_j0001,upper_arm,upper,branch,6
S_m0006_a0001_j0001,left_arm,branch,left,1
S_m0006_a0001_j0001,right_arm,branch,right,5
S_m0006_a0001_j0002,upper_arm,upper,branch,6
S_m0006_a0001_j0002,left_arm,branch,left,1
S_m0006_a0001_j0002,right_arm,branch,right,5
S_m0006_a0001_j0003,upper_arm,upper,branch,6
S_m0006_a0001_j0003,left_arm,branch,left,1
S_m0006_a0001_j0003,right_arm,branch,right,5
S_m0006_a0001_j0004,upper_arm,upper,branch,6
S_m0006_a0001_j0004,left_arm,branch,left,1
S_m0006_a0001_j0004,right_arm,branch,right,5
S_m0006_a0002_j0000,upper_arm,upper,branch,6
S_m0006_a0002_j0000,left_arm,branch,left,2
S_m0006_a0002_j0000,right_arm,branch,right,4
S_m0006_a0002_j0001,upper_arm,upper,branch,6
S_m0006_a0002_j0001,left_arm,branch,left,2
S_m0006_a0002_j0001,right_arm,branch,right,4
S_m0006_a0002_j0002,upper_arm,upper,branch,6
S_m0006_a0002_j0002,left_arm,branch,left,2
S_m0006_a0002_j0002,right_arm,branch,right,4
S_m0006_a0002_j0003,upper_arm,upper,branch,6
S_m0006_a0002_j0003,left_arm,branch,left,2
S_m0006_a0002_j0003,right_arm,branch,right,4
S_m0006_a0002_j0004,upper_arm,upper,branch,6
S_m0006_a0002_j0004,left_arm,branch,left,2
S_m0006_a0002_j0004,right_arm,branch,right,4
S_m0006_a0003_j0000,upper_arm,upper,branch,6
S_m0006_a0003_j0000,left_arm,branch,left,3
S_m0006_a0003_j0000,right_arm,branch,right,3
S_m0006_a0003_j0001,upper_arm,upper,branch,6
S_m0006_a0003_j0001,left_arm,branch,left,3
S_m0006_a0003_j0001,right_arm,branch,right,3
S_m0006_a0003_j0002,upper_arm,upper,branch,6
S_m0006_a0003_j0002,left_arm,branch,left,3
S_m0006_a0003_j0002,right_arm,branch,right,3
S_m0006_a0003_j0003,upper_arm,upper,branch,6
S_m0006_a0003_j0003,left_arm,branch,left,3
S_m0006_a0003_j0003,right_arm,branch,right,3
S_m0006_a0003_j0004,upper_arm,upper,branch,6
S_m0006_a0003_j0004,left_arm,branch,left,3
S_m0006_a0003_j0004,right_arm,branch,right,3
S_m0007_a0001_j0000,upper_arm,upper,branch,7
S_m0007_a0001_j0000,left_arm,branch,left,1
S_m0007_a0001_j0000,right_arm,branch,right,6
S_m0007_a0001_j0001,upper_arm,upper,branch,7
S_m0007_a0001_j0001,left_arm,branch,left,1
S_m0007_a0001_j0001,right_arm,branch,right,6
S_m0007_a0001_j0002,upper_arm,upper,branch,7
S_m0007_a0001_j0002,left_arm,branch,left,1
S_m0007_a0001_j0002,right_arm,branch,right,6
S_m0007_a0001_j0003,upper_arm,upper,branch,7
S_m0007_a0001_j0003,left_arm,branch,left,1
S_m0007_a0001_j0003,right_arm,branch,right,6
S_m0007_a0002_j0000,upper_arm,upper,branch,7
S_m0007_a0002_j0000,left_arm,branch,left,2
S_m0007_a0002_j0000,right_arm,branch,right,5
S_m0007_a0002_j0001,upper_arm,upper,branch,7
S_m0007_a0002_j0001,left_arm,branch,left,2
S_m0007_a0002_j0001,right_arm,branch,right,5
S_m0007_a0002_j0002,upper_arm,upper,branch,7
S_m0007_a0002_j0002,left_arm,branch,left,2
S_m0007_a0002_j0002,right_arm,branch,right,5
S_m0007_a0002_j0003,upper_arm,upper,branch,7
S_m0007_a0002_j0003,left_arm,branch,left,2
S_m0007_a0002_j0003,right_arm,branch,right,5
S_m0007_a0003_j0000,upper_arm,upper,branch,7
S_m0007_a0003_j0000,left_arm,branch,left,3
S_m0007_a0003_j0000,right_arm,branch,right,4
S_m0007_a0003_j0001,upper_arm,upper,branch,7
S_m0007_a0003_j0001,left_arm,branch,left,3
S_m0007_a0003_j0001,right_arm,branch,right,4
S_m0007_a0003_j0002,upper_arm,upper,branch,7
