unit_id,kind,descendant_count,upper_flow,label,subtree_size,split_a,split_b,copy_index,left_flow,right_flow,down_flow,router_count,router_layer,router_wire,router_width,notes
LEAF_0000,taxon,1,1,leaf_1,1,,,,,,,,,,,Unique physical taxon unit; exactly one unit for this label.
LEAF_0001,taxon,1,1,leaf_2,1,,,,,,,,,,,Unique physical taxon unit; exactly one unit for this label.
LEAF_0002,taxon,1,1,leaf_3,1,,,,,,,,,,,Unique physical taxon unit; exactly one unit for this label.
LEAF_0003,taxon,1,1,leaf_4,1,,,,,,,,,,,Unique physical taxon unit; exactly one unit for this label.
LEAF_0004,taxon,1,1,leaf_5,1,,,,,,,,,,,Unique physical taxon unit; exactly one unit for this label.
LEAF_0005,taxon,1,1,leaf_6,1,,,,,,,,,,,Unique physical taxon unit; exactly one unit for this label.
LEAF_0006,taxon,1,1,leaf_7,1,,,,,,,,,,,Unique physical taxon unit; exactly one unit for this label.
LEAF_0007,taxon,1,1,leaf_8,1,,,,,,,,,,,Unique physical taxon unit; exactly one unit for this label.
LEAF_0008,taxon,1,1,leaf_9,1,,,,,,,,,,,Unique physical taxon unit; exactly one unit for this label.
LEAF_0009,taxon,1,1,leaf_10,1,,,,,,,,,,,Unique physical taxon unit; exactly one unit for this label.
LEAF_0010,taxon,1,1,leaf_11,1,,,,,,,,,,,Unique physical taxon unit; exactly one unit for this label.
LEAF_0011,taxon,1,1,leaf_12,1,,,,,,,,,,,Unique physical taxon unit; exactly one unit for this label.
LEAF_0012,taxon,1,1,leaf_13,1,,,,,,,,,,,Unique physical taxon unit; exactly one unit for this label.
LEAF_0013,taxon,1,1,leaf_14,1,,,,,,,,,,,Unique physical taxon unit; exactly one unit for this label.
LEAF_0014,taxon,1,1,leaf_15,1,,,,,,,,,,,Unique physical taxon unit; exactly one unit for this label.
LEAF_0015,taxon,1,1,leaf_16,1,,,,,,,,,,,Unique physical taxon unit; exactly one unit for this label.
LEAF_0016,taxon,1,1,leaf_17,1,,,,,,,,,,,Unique physical taxon unit; exactly one unit for this label.
LEAF_0017,taxon,1,1,leaf_18,1,,,,,,,,,,,Unique physical taxon unit; exactly one unit for this label.
LEAF_0018,taxon,1,1,leaf_19,1,,,,,,,,,,,Unique physical taxon unit; exactly one unit for this label.
LEAF_0019,taxon,1,1,leaf_20,1,,,,,,,,,,,Unique physical taxon unit; exactly one unit for this label.
LEAF_0020,taxon,1,1,leaf_21,1,,,,,,,,,,,Unique physical taxon unit; exactly one unit for this label.
LEAF_0021,taxon,1,1,leaf_22,1,,,,,,,,,,,Unique physical taxon unit; exactly one unit for this label.
