step,logl_before_a,logl_after_a,logl_diff_a,logl_before_b,logl_after_b,logl_diff_b,logl_before_c,logl_after_c,logl_diff_c,logl_before_d,logl_after_d,logl_diff_d
1,-1.1057e+06,-1.10591e+06,-214.753,-1.1057e+06,-1.10577e+06,-65.3573,-1.1057e+06,-1.10576e+06,-64.165,-1.1057e+06,-1.10576e+06,-59.5297
2,-1.10591e+06,-1.10642e+06,-501.163,-1.10577e+06,-1.10618e+06,-413.796,-1.10576e+06,-1.10608e+06,-315.869,-1.10576e+06,-1.10608e+06,-316.894
3,-1.10642e+06,-1.10642e+06,-8.55784,-1.10618e+06,-1.10619e+06,-8.55453,-1.10608e+06,-1.10607e+06,8.96639,-1.10608e+06,-1.10607e+06,5.54671
4,-1.10642e+06,-1.1066e+06,-171.43,-1.10619e+06,-1.10625e+06,-61.7936,-1.10607e+06,-1.10613e+06,-59.7833,-1.10607e+06,-1.10606e+06,11.6254
5,-1.1066e+06,-1.10759e+06,-989.589,-1.10625e+06,-1.10632e+06,-74.5614,-1.10613e+06,-1.10615e+06,-21.9739,-1.10606e+06,-1.10607e+06,-6.47174
6,-1.10759e+06,-1.10746e+06,125.812,-1.10632e+06,-1.1062e+06,127.174,-1.10615e+06,-1.10588e+06,272.118,-1.10607e+06,-1.10587e+06,193.372
7,-1.10746e+06,-1.10873e+06,-1273.41,-1.1062e+06,-1.10628e+06,-81.8164,-1.10588e+06,-1.10555e+06,331.087,-1.10587e+06,-1.10543e+06,444.411
8,-1.10873e+06,-1.10875e+06,-16.2038,-1.10628e+06,-1.10629e+06,-6.92108,-1.10555e+06,-1.10548e+06,66.9848,-1.10543e+06,-1.10543e+06,-1.72109
9,-1.10875e+06,-1.11234e+06,-3591.06,-1.10629e+06,-1.10957e+06,-3287.39,-1.10548e+06,-1.10759e+06,-2104.99,-1.10543e+06,-1.10749e+06,-2065.47
10,-1.11234e+06,-1.11327e+06,-927.927,-1.10957e+06,-1.10956e+06,8.34752,-1.10759e+06,-1.10763e+06,-42.6025,-1.10749e+06,-1.10748e+06,13.1613
11,-1.11327e+06,-1.11338e+06,-113.551,-1.10956e+06,-1.10961e+06,-46.9261,-1.10763e+06,-1.10762e+06,11.0586,-1.10748e+06,-1.10745e+06,29.7201
12,-1.11338e+06,-1.11055e+06,2829.1,-1.10961e+06,-1.10544e+06,4176.35,-1.10762e+06,-1.10164e+06,5979.53,-1.10745e+06,-1.10142e+06,6028.43
13,-1.11055e+06,-1.11178e+06,-1227.87,-1.10544e+06,-1.1052e+06,239.863,-1.10164e+06,-1.10066e+06,976.499,-1.10142e+06,-1.10038e+06,1043.67
14,-1.11178e+06,-1.11203e+06,-248.02,-1.1052e+06,-1.10538e+06,-186.134,-1.10066e+06,-1.10054e+06,125.54,-1.10038e+06,-1.10048e+06,-97.1807
15,-1.11203e+06,-1.11294e+06,-915.867,-1.10538e+06,-1.10631e+06,-927.853,-1.10054e+06,-1.10097e+06,-437.44,-1.10048e+06,-1.10096e+06,-486.484
16,-1.11294e+06,-1.11383e+06,-881.727,-1.10631e+06,-1.10618e+06,127.557,-1.10097e+06,-1.10096e+06,11.1883,-1.10096e+06,-1.10094e+06,28.5268
17,-1.11383e+06,-1.11433e+06,-508.29,-1.10618e+06,-1.1059e+06,280.115,-1.10096e+06,-1.10056e+06,403.664,-1.10094e+06,-1.10045e+06,487.552
18,-1.11433e+06,-1.1147e+06,-365.211,-1.1059e+06,-1.10566e+06,239.983,-1.10056e+06,-1.10006e+06,499.232,-1.10045e+06,-1.0992e+06,1250.26
19,-1.1147e+06,-1.11467e+06,26.8863,-1.10566e+06,-1.10563e+06,32.2159,-1.10006e+06,-1.09975e+06,306.048,-1.0992e+06,-1.09914e+06,53.1324
20,-1.11467e+06,-1.1139e+06,771.842,-1.10563e+06,-1.10475e+06,876.735,-1.09975e+06,-1.09834e+06,1413.98,-1.09914e+06,-1.09789e+06,1249.26
21,-1.1139e+06,-1.11375e+06,149.694,-1.10475e+06,-1.10466e+06,89.1524,-1.09834e+06,-1.0978e+06,540.3,-1.09789e+06,-1.09747e+06,427.499
22,-1.11375e+06,-1.1134e+06,349.335,-1.10466e+06,-1.10474e+06,-79.5052,-1.0978e+06,-1.09779e+06,5.59961,-1.09747e+06,-1.09766e+06,-197.487
23,-1.1134e+06,-1.11452e+06,-1120.36,-1.10474e+06,-1.10571e+06,-965.093,-1.09779e+06,-1.09862e+06,-825.145,-1.09766e+06,-1.09859e+06,-929.678
24,-1.11452e+06,-1.1145e+06,19.4894,-1.10571e+06,-1.10548e+06,224.435,-1.09862e+06,-1.09859e+06,27.6103,-1.09859e+06,-1.09857e+06,23.0021
25,-1.1145e+06,-1.11058e+06,3917.99,-1.10548e+06,-1.10265e+06,2836.38,-1.09859e+06,-1.09427e+06,4327.03,-1.09857e+06,-1.09399e+06,4583.56
26,-1.11058e+06,-1.11261e+06,-2022.07,-1.10265e+06,-1.10264e+06,6.06195,-1.09427e+06,-1.09404e+06,229.716,-1.09399e+06,-1.09397e+06,17.6089
27,-1.11261e+06,-1.11351e+06,-900.605,-1.10264e+06,-1.10259e+06,46.6764,-1.09404e+06,-1.0943e+06,-266.274,-1.09397e+06,-1.09412e+06,-151.314
28,-1.11351e+06,-1.11378e+06,-270.835,-1.10259e+06,-1.1026e+06,-8.49671,-1.0943e+06,-1.0954e+06,-1095.9,-1.09412e+06,-1.0945e+06,-379.419
29,-1.11378e+06,-1.11415e+06,-372.846,-1.1026e+06,-1.10259e+06,12.3232,-1.0954e+06,-1.09481e+06,584.49,-1.0945e+06,-1.0945e+06,-3.59247
30,-1.11415e+06,-1.11822e+06,-4072.16,-1.10259e+06,-1.10372e+06,-1133.82,-1.09481e+06,-1.09626e+06,-1442.77,-1.0945e+06,-1.09583e+06,-1322.99
31,-1.11822e+06,-1.1198e+06,-1579.47,-1.10372e+06,-1.10455e+06,-829.017,-1.09626e+06,-1.09557e+06,688.164,-1.09583e+06,-1.09542e+06,410.967
32,-1.1198e+06,-1.12216e+06,-2354.39,-1.10455e+06,-1.10517e+06,-615.474,-1.09557e+06,-1.09636e+06,-791.062,-1.09542e+06,-1.09597e+06,-553.73
33,-1.12216e+06,-1.12369e+06,-1537.81,-1.10517e+06,-1.105e+06,165.408,-1.09636e+06,-1.09603e+06,326.386,-1.09597e+06,-1.09599e+06,-16.4072
