step,parsimony_before,parsimony_after,parsimony_diff,logl_before,logl_after,logl_diff,rf_before,rf_after,rf_diff
1,111513,111388,-125,-458697,-457827,870.782,194,194,0
2,111388,111275,-113,-457827,-457696,130.703,194,194,0
4,111275,111190,-85,-457696,-457374,321.642,194,194,0
5,111190,111192,2,-457374,-457392,-18.0649,194,194,0
6,111192,111273,81,-457392,-455431,1961.12,194,194,0
7,111273,111362,89,-455431,-454585,846.569,194,194,0
8,111362,111318,-44,-454585,-454293,291.858,194,194,0
9,111318,111480,162,-454293,-453750,543.208,194,194,0
11,111480,111489,9,-453750,-454580,-829.9,194,194,0
12,111489,111587,98,-454580,-455622,-1042.44,194,194,0
14,111587,111746,159,-455622,-456816,-1194.26,194,194,0
15,111746,111949,203,-456816,-459134,-2318.03,194,194,0
16,111949,111931,-18,-459134,-458266,868.002,194,194,0
17,111931,111933,2,-458266,-458787,-521.081,194,194,0
18,111933,112082,149,-458787,-458336,451.75,194,194,0
19,112082,112159,77,-458336,-458759,-423.4,194,194,0
20,112159,111949,-210,-458759,-458551,207.647,194,194,0
21,111949,111852,-97,-458551,-458606,-54.8416,194,194,0
22,111852,111894,42,-458606,-459001,-394.314,194,194,0
23,111894,111887,-7,-459001,-459212,-211.063,194,194,0
24,111887,111855,-32,-459212,-458953,258.476,194,194,0
25,111855,111970,115,-458953,-459825,-871.666,194,194,0
26,111970,112034,64,-459825,-459359,465.388,194,194,0
27,112034,112134,100,-459359,-457756,1603.01,194,194,0
28,112134,112053,-81,-457756,-457570,186.067,194,194,0
29,112053,112026,-27,-457570,-458345,-774.902,194,194,0
31,112026,111953,-73,-458345,-458507,-162.174,194,194,0
32,111953,112285,332,-458507,-458241,266.482,194,194,0
33,112285,111951,-334,-458241,-455907,2333.75,194,194,0
34,111951,111916,-35,-455907,-455887,19.9284,194,194,0
35,111916,112034,118,-455887,-456050,-163.077,194,194,0
36,112034,112129,95,-456050,-457480,-1430.05,194,194,0
37,112129,112240,111,-457480,-458101,-620.363,194,194,0
38,112240,112275,35,-458101,-459877,-1776.54,194,194,0
39,112275,112226,-49,-459877,-459674,203.047,194,194,0
40,112226,112394,168,-459674,-460386,-711.835,194,194,0
41,112394,112379,-15,-460386,-460257,128.715,194,194,0
42,112379,112332,-47,-460257,-459666,591.781,194,194,0
43,112332,112329,-3,-459666,-459437,228.911,194,194,0
44,112329,112328,-1,-459437,-458887,549.485,194,194,0
45,112328,112291,-37,-458887,-458749,137.81,194,194,0
46,112291,112243,-48,-458749,-458559,190.026,194,194,0
47,112243,112222,-21,-458559,-458257,302.208,194,194,0
48,112222,112318,96,-458257,-456346,1910.72,194,194,0
49,112318,112188,-130,-456346,-455375,971.083,194,194,0
50,112188,112415,227,-455375,-457064,-1688.86,194,194,0
51,112415,112436,21,-457064,-456251,812.706,194,194,0
52,112436,112507,71,-456251,-456394,-142.379,194,194,0
53,112507,112333,-174,-456394,-454468,1925.4,194,194,0
54,112333,112274,-59,-454468,-454694,-225.751,194,194,0
55,112274,112251,-23,-454694,-455089,-394.832,194,194,0
56,112251,112381,130,-455089,-455838,-748.959,194,194,0
57,112381,112438,57,-455838,-455452,386.113,194,194,0
58,112438,111941,-497,-455452,-453164,2288.21,194,194,0
59,111941,111968,27,-453164,-453596,-432.478,194,194,0
60,111968,111939,-29,-453596,-454205,-609.02,194,194,0
61,111939,112218,279,-454205,-455278,-1072.67,194,194,0
62,112218,112035,-183,-455278,-455504,-226.291,194,194,0
63,112035,112458,423,-455504,-456085,-580.415,194,194,0
64,112458,112461,3,-456085,-456166,-81.7362,194,194,0
65,112461,112177,-284,-456166,-454633,1532.92,194,194,0
66,112177,112130,-47,-454633,-453287,1345.87,194,194,0
67,112130,112183,53,-453287,-453282,5.42208,194,194,0
68,112183,112203,20,-453282,-454302,-1019.9,194,194,0
69,112203,112242,39,-454302,-454223,78.9463,194,194,0
70,112242,112301,59,-454223,-453726,497.396,194,194,0
71,112301,112235,-66,-453726,-454677,-951.133,194,194,0
72,112235,112240,5,-454677,-454629,47.4844,194,194,0
73,112240,112276,36,-454629,-454905,-275.777,194,194,0
74,112276,112231,-45,-454905,-455573,-668.134,194,194,0
75,112231,112350,119,-455573,-455299,273.851,194,194,0
76,112350,112436,86,-455299,-455365,-65.6026,194,194,0
77,112436,112533,97,-455365,-454661,704.438,194,194,0
78,112533,112519,-14,-454661,-453985,675.487,194,194,0
79,112519,112365,-154,-453985,-452189,1796.19,194,194,0
80,112365,112460,95,-452189,-453398,-1209.22,194,194,0
81,112460,112204,-256,-453398,-452068,1329.94,194,194,0
82,112204,111959,-245,-452068,-452023,45.3289,194,194,0
83,111959,111993,34,-452023,-452464,-441.357,194,194,0
84,111993,111751,-242,-452464,-452505,-40.4811,194,194,0
86,111751,111638,-113,-452505,-453241,-736.309,194,194,0
87,111638,111870,232,-453241,-454289,-1047.76,194,194,0
88,111870,111872,2,-454289,-454307,-17.8707,194,194,0
89,111872,111875,3,-454307,-454920,-613.565,194,194,0
90,111875,111717,-158,-454920,-454482,437.77,194,194,0
91,111717,111559,-158,-454482,-453913,569.437,194,194,0
92,111559,111755,196,-453913,-453385,527.887,194,194,0
93,111755,111722,-33,-453385,-453645,-259.845,194,194,0
94,111722,111804,82,-453645,-454023,-378.454,194,194,0
95,111804,111874,70,-454023,-453364,659.708,194,194,0
96,111874,111840,-34,-453364,-453157,206.169,194,194,0
97,111840,111804,-36,-453157,-452946,211.525,194,194,0
99,111804,112046,242,-452946,-454091,-1145.33,194,194,0
100,112046,112033,-13,-454091,-454884,-792.325,194,194,0
101,112033,112090,57,-454884,-454875,8.08584,194,194,0
102,112090,112118,28,-454875,-455075,-199.385,194,194,0
103,112118,112239,121,-455075,-455110,-35.4303,194,194,0
104,112239,112229,-10,-455110,-454611,499.274,194,194,0
105,112229,112187,-42,-454611,-454289,322.146,194,194,0
106,112187,112121,-66,-454289,-454687,-397.911,194,194,0
107,112121,112245,124,-454687,-454957,-270.017,194,194,0
108,112245,112218,-27,-454957,-453634,1322.5,194,194,0
109,112218,112324,106,-453634,-454057,-422.218,194,194,0
110,112324,112275,-49,-454057,-453003,1053.62,194,194,0
111,112275,112426,151,-453003,-453032,-28.7918,194,194,0
112,112426,112486,60,-453032,-453046,-14.2754,194,194,0
113,112486,112535,49,-453046,-453423,-377.054,194,194,0
114,112535,112469,-66,-453423,-453444,-20.9388,194,194,0
115,112469,112432,-37,-453444,-453453,-8.94738,194,194,0
116,112432,112346,-86,-453453,-453449,3.68058,194,194,0
117,112346,112288,-58,-453449,-453423,26.3127,194,194,0
118,112288,112437,149,-453423,-453927,-503.942,194,194,0
119,112437,112379,-58,-453927,-453745,181.463,194,194,0
120,112379,112472,93,-453745,-454021,-275.226,194,194,0
121,112472,112456,-16,-454021,-453662,358.362,194,194,0
122,112456,112674,218,-453662,-454639,-976.936,194,194,0
123,112674,112554,-120,-454639,-454377,261.881,194,194,0
124,112554,112525,-29,-454377,-454355,21.9402,194,194,0
125,112525,112663,138,-454355,-454100,255.086,194,194,0
126,112663,112748,85,-454100,-454358,-258.143,194,194,0
127,112748,112909,161,-454358,-455509,-1150.77,194,194,0
128,112909,112859,-50,-455509,-453853,1656.51,194,194,0
129,112859,112835,-24,-453853,-453208,644.745,194,194,0
130,112835,112993,158,-453208,-453994,-786.119,194,194,0
131,112993,112958,-35,-453994,-453675,319.253,194,194,0
132,112958,112973,15,-453675,-453329,345.509,194,194,0
133,112973,112992,19,-453329,-453250,78.8427,194,194,0
134,112992,112988,-4,-453250,-453323,-72.7009,194,194,0
135,112988,112981,-7,-453323,-453635,-311.76,194,194,0
