run_id,candidates,time_elapsed,logL,true_minus_current
20260813-154600_r10_s10000_fast_gtr_investigate3_learnradius50_findopt500,0,3.84375,-722502.707262,64647.4475715
20260813-154600_r10_s10000_fast_gtr_investigate3_learnradius50_findopt500,24,3.9375,-722427.371943,64572.1122523
20260813-154600_r10_s10000_fast_gtr_investigate3_learnradius50_findopt500,28,3.96875,-721381.034732,63525.7750412
20260813-154600_r10_s10000_fast_gtr_investigate3_learnradius50_findopt500,131,4.10938,-720720.523139,62865.2634487
20260813-154600_r10_s10000_fast_gtr_investigate3_learnradius50_findopt500,136,4.14062,-720655.670896,62800.4112057
20260813-154600_r10_s10000_fast_gtr_investigate3_learnradius50_findopt500,141,4.17188,-720004.300803,62149.0411128
20260813-154600_r10_s10000_fast_gtr_investigate3_learnradius50_findopt500,151,4.20312,-718546.176468,60690.916778
20260813-154600_r10_s10000_fast_gtr_investigate3_learnradius50_findopt500,179,4.26562,-718211.256723,60355.9970326
20260813-154600_r10_s10000_fast_gtr_investigate3_learnradius50_findopt500,183,4.29688,-717704.521777,59849.2620865
20260813-154600_r10_s10000_fast_gtr_investigate3_learnradius50_findopt500,243,4.40625,-717160.403773,59305.1440828
20260813-154600_r10_s10000_fast_gtr_investigate3_learnradius50_findopt500,256,4.45312,-716934.447266,59079.1875752
20260813-154600_r10_s10000_fast_gtr_investigate3_learnradius50_findopt500,264,4.48438,-716713.403908,58858.144218
20260813-154600_r10_s10000_fast_gtr_investigate3_learnradius50_findopt500,279,4.51562,-716663.188421,58807.9287307
20260813-154600_r10_s10000_fast_gtr_investigate3_learnradius50_findopt500,305,4.54688,-716653.129483,58797.8697931
20260813-154600_r10_s10000_fast_gtr_investigate3_learnradius50_findopt500,342,4.60938,-716395.578622,58540.3189317
20260813-154600_r10_s10000_fast_gtr_investigate3_learnradius50_findopt500,403,4.75,-716233.691989,58378.4322987
20260813-154600_r10_s10000_fast_gtr_investigate3_learnradius50_findopt500,531,5,-715980.820348,58125.5606573
20260813-154600_r10_s10000_fast_gtr_investigate3_learnradius50_findopt500,551,5.04688,-715436.486615,57581.226925
