run_id,candidates,time_elapsed,logL,true_minus_current
20260804-195339_r10_s10000_fast_gtr_findopt500,0,3.43,-722502.707262,64647.4475715
20260804-195339_r10_s10000_fast_gtr_findopt500,8,3.611,-722312.309663,64457.0499726
20260804-195339_r10_s10000_fast_gtr_findopt500,11,3.674,-721660.849349,63805.5896591
20260804-195339_r10_s10000_fast_gtr_findopt500,21,3.868,-720935.476458,63080.216768
20260804-195339_r10_s10000_fast_gtr_findopt500,63,4.846,-720730.638022,62875.3783318
20260804-195339_r10_s10000_fast_gtr_findopt500,72,5.117,-720721.364672,62866.1049814
20260804-195339_r10_s10000_fast_gtr_findopt500,77,5.249,-720579.783789,62724.5240988
20260804-195339_r10_s10000_fast_gtr_findopt500,129,6.313,-720532.60963,62677.3499398
20260804-195339_r10_s10000_fast_gtr_findopt500,133,6.393,-720087.32189,62232.0622001
20260804-195339_r10_s10000_fast_gtr_findopt500,145,6.651,-719792.435916,61937.1762258
20260804-195339_r10_s10000_fast_gtr_findopt500,149,6.73,-719428.553152,61573.2934619
20260804-195339_r10_s10000_fast_gtr_findopt500,156,6.89,-719065.430682,61210.1709911
20260804-195339_r10_s10000_fast_gtr_findopt500,162,7.04,-719055.393914,61200.134224
20260804-195339_r10_s10000_fast_gtr_findopt500,178,7.391,-718410.354988,60555.0952972
20260804-195339_r10_s10000_fast_gtr_findopt500,193,7.726,-718329.356039,60474.096349
20260804-195339_r10_s10000_fast_gtr_findopt500,219,8.266,-718301.639947,60446.380257
20260804-195339_r10_s10000_fast_gtr_findopt500,220,8.288,-718004.926968,60149.6672776
20260804-195339_r10_s10000_fast_gtr_findopt500,225,8.389,-717840.627149,59985.3674591
20260804-195339_r10_s10000_fast_gtr_findopt500,270,9.259,-717458.689449,59603.4297591
20260804-195339_r10_s10000_fast_gtr_findopt500,318,10.244,-717269.115569,59413.8558791
20260804-195339_r10_s10000_fast_gtr_findopt500,372,11.288,-717027.590869,59172.3311787
20260804-195339_r10_s10000_fast_gtr_findopt500,382,11.479,-716860.531121,59005.2714303
20260804-195339_r10_s10000_fast_gtr_findopt500,485,13.691,-716707.338211,58852.0785211
20260804-195339_r10_s10000_fast_gtr_findopt500,500,13.986,-668084.976424,10229.7167341
20260804-195339_r10_s10000_fast_gtr_findopt500,508,14.303,-716678.7711,58823.51141
20260804-195339_r10_s10000_fast_gtr_findopt500,569,16.79,-716392.101172,58536.8414815
20260804-195339_r10_s10000_fast_gtr_findopt500,575,17.013,-716360.928128,58505.6684381
20260804-195339_r10_s10000_fast_gtr_findopt500,589,17.563,-716043.662757,58188.4030664
20260804-195339_r10_s10000_fast_gtr_findopt500,610,18.362,-715456.286131,57601.0264403
20260804-195339_r10_s10000_fast_gtr_findopt500,652,19.921,-715095.8228,57240.5631093
20260804-195339_r10_s10000_fast_gtr_findopt500,717,22.356,-714954.120099,57098.860409
20260804-195339_r10_s10000_fast_gtr_findopt500,761,24.092,-713945.844184,56090.5844936
20260804-195339_r10_s10000_fast_gtr_findopt500,785,25.087,-713887.182857,56031.9231667
20260804-195339_r10_s10000_fast_gtr_findopt500,823,26.617,-713070.372716,55215.113026
20260804-195339_r10_s10000_fast_gtr_findopt500,865,28.237,-712951.754483,55096.4947925
20260804-195339_r10_s10000_fast_gtr_findopt500,885,28.979,-712873.246509,55017.9868183
20260804-195339_r10_s10000_fast_gtr_findopt500,887,29.058,-712768.947729,54913.6880383
20260804-195339_r10_s10000_fast_gtr_findopt500,899,29.533,-712709.012166,54853.7524759
