run_id,candidates,time_elapsed,logL,true_minus_current
20260813-161917_r10_s10000_fast_fullreopt1x200_gtr_findopt10000,0,3.14062,-722502.707262,64647.4475715
20260813-161917_r10_s10000_fast_fullreopt1x200_gtr_findopt10000,9,3.1875,-722416.497986,64561.2382953
20260813-161917_r10_s10000_fast_fullreopt1x200_gtr_findopt10000,10,3.21875,-722387.796879,64532.5371886
20260813-161917_r10_s10000_fast_fullreopt1x200_gtr_findopt10000,52,3.25,-721662.598804,63807.3391138
20260813-161917_r10_s10000_fast_fullreopt1x200_gtr_findopt10000,64,3.29688,-721499.774911,63644.5152206
20260813-161917_r10_s10000_fast_fullreopt1x200_gtr_findopt10000,67,3.3125,-721383.743248,63528.4835573
20260813-161917_r10_s10000_fast_fullreopt1x200_gtr_findopt10000,78,3.34375,-721122.584826,63267.3251353
20260813-161917_r10_s10000_fast_fullreopt1x200_gtr_findopt10000,86,3.39062,-721003.037259,63147.7775688
20260813-161917_r10_s10000_fast_fullreopt1x200_gtr_findopt10000,87,3.40625,-720905.67327,63050.4135792
20260813-161917_r10_s10000_fast_fullreopt1x200_gtr_findopt10000,129,3.45312,-720360.129131,62504.869441
20260813-161917_r10_s10000_fast_fullreopt1x200_gtr_findopt10000,133,3.48438,-719840.608977,61985.3492868
20260813-161917_r10_s10000_fast_fullreopt1x200_gtr_findopt10000,134,3.48438,-719785.808098,61930.5484079
20260813-161917_r10_s10000_fast_fullreopt1x200_gtr_findopt10000,155,3.53125,-719183.255482,61327.9957916
20260813-161917_r10_s10000_fast_fullreopt1x200_gtr_findopt10000,156,3.5625,-719005.366819,61150.107129
20260813-161917_r10_s10000_fast_fullreopt1x200_gtr_findopt10000,166,3.57812,-718918.75967,61063.4999797
20260813-161917_r10_s10000_fast_fullreopt1x200_gtr_findopt10000,169,3.59375,-718024.598941,60169.3392508
20260813-161917_r10_s10000_fast_fullreopt1x200_gtr_findopt10000,200,12.6406,-668311.008375,10455.7486844
20260813-161917_r10_s10000_fast_fullreopt1x200_gtr_findopt10000,235,12.7031,-668311.008375,10455.7486844
20260813-161917_r10_s10000_fast_fullreopt1x200_gtr_findopt10000,236,12.7344,-667995.69684,10140.4371498
20260813-161917_r10_s10000_fast_fullreopt1x200_gtr_findopt10000,243,12.75,-667750.607877,9895.34818654
20260813-161917_r10_s10000_fast_fullreopt1x200_gtr_findopt10000,259,12.7812,-667722.989917,9867.73022673
20260813-161917_r10_s10000_fast_fullreopt1x200_gtr_findopt10000,298,12.8594,-667287.484984,9432.22529365
20260813-161917_r10_s10000_fast_fullreopt1x200_gtr_findopt10000,304,12.8906,-667132.022226,9276.76253552
20260813-161917_r10_s10000_fast_fullreopt1x200_gtr_findopt10000,323,12.9375,-666561.269656,8706.00996535
20260813-161917_r10_s10000_fast_fullreopt1x200_gtr_findopt10000,343,12.9531,-666214.061704,8358.80201376
20260813-161917_r10_s10000_fast_fullreopt1x200_gtr_findopt10000,354,12.9688,-666189.866379,8334.60668863
