run_id,candidates,time_elapsed,logL,true_minus_current
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,0,3.65625,-722502.707262,64647.4475715
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,9,3.70312,-722306.194216,64450.9345254
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,17,3.73438,-722246.748911,64391.4892205
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,21,3.75,-722184.308675,64329.0489849
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,95,3.85938,-722152.461484,64297.2017935
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,96,3.89062,-721871.599113,64016.3394228
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,107,3.92188,-721808.624575,63953.3648848
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,111,3.95312,-721492.478825,63637.2191348
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,142,4.01562,-720956.38701,63101.1273196
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,165,4.0625,-720571.847219,62716.5875282
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,200,13.6875,-670546.765685,12691.5059947
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,205,13.7188,-669968.272822,12113.0131315
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,236,13.7812,-669784.436398,11929.1767076
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,240,13.8125,-669218.984396,11363.7247055
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,252,13.8281,-669075.344364,11220.0846738
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,256,13.8594,-668854.040519,10998.7808285
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,273,13.8906,-668820.641872,10965.3821815
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,274,13.9062,-668800.7721,10945.5124092
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,275,13.9219,-668791.027926,10935.7682356
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,333,14,-668367.271039,10512.0113487
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,361,14.0469,-668251.640585,10396.3808944
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,384,14.125,-668179.209712,10323.950022
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,400,18.4688,-666877.115363,9021.85567292
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,417,18.5312,-666422.006376,8566.74668541
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,472,18.625,-665750.955922,7895.696232
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,504,18.7031,-665739.517417,7884.25772654
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,587,18.8281,-665165.500564,7310.2408735
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,596,18.875,-665158.353904,7303.09421342
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,597,18.8906,-665082.931999,7227.6723086
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,600,23.5469,-664024.179792,6168.92010151
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,684,23.6875,-663807.974047,5952.71435653
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,800,27.5156,-663608.986221,5753.72653113
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,854,27.625,-663420.816542,5565.55685193
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,1000,31.1719,-663371.377709,5516.11801825
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,1200,32.4844,-663371.373144,5516.11345405
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,1250,32.5469,-662177.809112,4322.549422
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,1351,32.6719,-661693.756234,3838.49654376
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,1400,36.3438,-660665.833997,2810.57430645
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,1469,36.4531,-660665.833997,2810.57430645
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,1510,36.5156,-660628.364544,2773.10485315
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,1574,36.5938,-660224.60282,2369.34313001
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,1600,39.8594,-660034.276139,2179.01644843
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,1688,40.0156,-659868.797355,2013.53766469
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,1800,44.125,-659597.350909,1742.09121861
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,2000,45.4688,-659597.347727,1742.0880363
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,2017,45.5156,-659501.984121,1646.72443016
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,2200,48.7812,-659465.136218,1609.87652721
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,2400,50.1406,-659465.133492,1609.87380208
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,2502,50.3594,-658900.525262,1045.26557196
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,2600,54.375,-658410.978554,555.718863144
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,2800,55.9062,-658410.975366,555.715675796
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,3000,57.2812,-658410.972333,555.712642532
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,3200,58.6719,-658410.969575,555.709884617
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,3351,58.8906,-658211.36317,356.103479714
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,3400,62.4531,-658115.331397,260.071706179
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,3600,63.8906,-658115.329267,260.069576461
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,3800,65.2656,-658115.327188,260.067497696
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,4000,66.7812,-658115.325129,260.065438434
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,4200,68.1562,-658115.323122,260.063431558
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,4400,69.5156,-658115.321114,260.061423349
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,4600,70.8906,-658115.319153,260.059462746
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,4800,72.375,-658115.317178,260.057487883
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,5000,73.9531,-658115.315247,260.055556217
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,5109,74.125,-657979.394183,124.134492445
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,5200,77.5781,-657939.790669,84.5309791053
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,5400,78.875,-657939.788898,84.5292078223
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,5600,80.1719,-657939.786933,84.5272431299
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,5800,81.5781,-657939.785228,84.5255377053
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,6000,82.8594,-657939.783436,84.523745234
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,6200,84.2188,-657939.781734,84.5220438176
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,6400,85.5156,-657939.780003,84.5203130875
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,6600,86.9844,-657939.778323,84.5186324387
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,6800,88.3906,-657939.77663,84.5169395931
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,7000,89.7812,-657939.774976,84.5152857715
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,7200,91.125,-657939.773313,84.5136226346
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,7400,92.5,-657939.771685,84.511995006
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,7600,93.7969,-657939.770048,84.5103572502
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,7800,95.2344,-657939.768444,84.5087535869
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,7852,95.3125,-657840.020844,-15.2388459255
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,8000,98.7656,-657797.12573,-58.13396077
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,8200,100.172,-657797.123137,-58.1365535454
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,8400,101.641,-657797.120596,-58.1390941795
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,8600,103.078,-657797.118003,-58.1416874016
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,8800,104.438,-657797.115454,-58.1442359813
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,9000,106.844,-657796.946285,-58.313405505
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,9200,108.219,-657796.940325,-58.319365108
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,9400,109.484,-657796.934958,-58.3247328472
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,9600,110.875,-657796.930201,-58.3294897673
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,9800,112.344,-657796.925912,-58.3337788201
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,10000,113.75,-657796.922076,-58.3376148379
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,10000,113.75,-657796.851979,-58.407711082
20260813-161659_r10_s10000_fast_fullreopt1x200_gtr_findopt10000_weightprune,10000,113.75,-657796.922076,-58.3376148379
