run_id,candidates,time_elapsed,logL,true_minus_current
20260813-151009_r10_s10000_fast_gtr_investigate3_findopt500,0,3.67188,-722502.707262,64647.4475715
20260813-151009_r10_s10000_fast_gtr_investigate3_findopt500,19,3.73438,-721842.197213,63986.9375223
20260813-151009_r10_s10000_fast_gtr_investigate3_findopt500,22,3.78125,-721808.927461,63953.6677706
20260813-151009_r10_s10000_fast_gtr_investigate3_findopt500,52,3.84375,-721157.57742,63302.3177301
20260813-151009_r10_s10000_fast_gtr_investigate3_findopt500,69,3.89062,-721027.488589,63172.2288989
20260813-151009_r10_s10000_fast_gtr_investigate3_findopt500,95,3.92188,-719968.67016,62113.41047
20260813-151009_r10_s10000_fast_gtr_investigate3_findopt500,130,3.96875,-719911.815259,62056.5555681
20260813-151009_r10_s10000_fast_gtr_investigate3_findopt500,150,4,-719805.650396,61950.3907054
20260813-151009_r10_s10000_fast_gtr_investigate3_findopt500,175,4.04688,-719689.397585,61834.1378951
20260813-151009_r10_s10000_fast_gtr_investigate3_findopt500,191,4.07812,-719563.579718,61708.3200281
20260813-151009_r10_s10000_fast_gtr_investigate3_findopt500,261,4.17188,-719276.351197,61421.0915068
20260813-151009_r10_s10000_fast_gtr_investigate3_findopt500,281,4.21875,-718310.525271,60455.265581
20260813-151009_r10_s10000_fast_gtr_investigate3_findopt500,316,4.29688,-717903.117092,60047.857402
20260813-151009_r10_s10000_fast_gtr_investigate3_findopt500,336,4.34375,-717514.356973,59659.0972824
20260813-151009_r10_s10000_fast_gtr_investigate3_findopt500,372,4.40625,-716702.005079,58846.7453889
20260813-151009_r10_s10000_fast_gtr_investigate3_findopt500,378,4.4375,-716669.327464,58814.0677735
20260813-151009_r10_s10000_fast_gtr_investigate3_findopt500,394,4.48438,-716073.014398,58217.754708
20260813-151009_r10_s10000_fast_gtr_investigate3_findopt500,411,4.51562,-715347.165288,57491.9055976
20260813-151009_r10_s10000_fast_gtr_investigate3_findopt500,465,4.60938,-715258.788444,57403.5287536
20260813-151009_r10_s10000_fast_gtr_investigate3_findopt500,519,4.70312,-715120.477475,57265.2177847
20260813-151009_r10_s10000_fast_gtr_investigate3_findopt500,527,4.71875,-715017.379861,57162.120171
20260813-151009_r10_s10000_fast_gtr_investigate3_findopt500,615,4.85938,-714180.814116,56325.5544259
20260813-151009_r10_s10000_fast_gtr_investigate3_findopt500,622,4.89062,-714139.781804,56284.5221131
20260813-151009_r10_s10000_fast_gtr_investigate3_findopt500,630,4.92188,-713949.598051,56094.3383605
20260813-151009_r10_s10000_fast_gtr_investigate3_findopt500,679,5,-712951.9176,55096.6579095
20260813-151009_r10_s10000_fast_gtr_investigate3_findopt500,695,5.01562,-712473.338533,54618.0788425
20260813-151009_r10_s10000_fast_gtr_investigate3_findopt500,793,5.125,-664026.087233,6170.82754225
20260813-151009_r10_s10000_fast_gtr_investigate3_findopt500,812,5.1875,-712061.308478,54206.048788
20260813-151009_r10_s10000_fast_gtr_investigate3_findopt500,824,5.20312,-711774.816775,53919.5570849
20260813-151009_r10_s10000_fast_gtr_investigate3_findopt500,832,5.21875,-711044.631742,53189.3720521
20260813-151009_r10_s10000_fast_gtr_investigate3_findopt500,906,5.34375,-710934.744588,53079.4848981
20260813-151009_r10_s10000_fast_gtr_investigate3_findopt500,916,5.375,-710724.40107,52869.1413801
20260813-151009_r10_s10000_fast_gtr_investigate3_findopt500,953,5.4375,-710398.752851,52543.4931605
20260813-151009_r10_s10000_fast_gtr_investigate3_findopt500,1042,5.57812,-710124.951868,52269.6921781
20260813-151009_r10_s10000_fast_gtr_investigate3_findopt500,1060,5.60938,-709665.503821,51810.2441309
20260813-151009_r10_s10000_fast_gtr_investigate3_findopt500,1079,5.65625,-709597.466778,51742.2070876
20260813-151009_r10_s10000_fast_gtr_investigate3_findopt500,1107,5.70312,-709508.353654,51653.0939637
20260813-151009_r10_s10000_fast_gtr_investigate3_findopt500,1115,5.71875,-709074.452854,51219.1931638
20260813-151009_r10_s10000_fast_gtr_investigate3_findopt500,1149,5.78125,-708574.670925,50719.4112346
20260813-151009_r10_s10000_fast_gtr_investigate3_findopt500,1165,5.8125,-708060.100068,50204.8403774
20260813-151009_r10_s10000_fast_gtr_investigate3_findopt500,1245,5.90625,-707919.338663,50064.0789725
20260813-151009_r10_s10000_fast_gtr_investigate3_findopt500,1271,5.9375,-707620.192123,49764.9324321
20260813-151009_r10_s10000_fast_gtr_investigate3_findopt500,1279,5.96875,-707499.36031,49644.1006197
