run_id,candidates,time_elapsed,logL,true_minus_current
20260813-143738_r50_s10000_fast_gtr_investigate3_learnradius50_findopt500_distradius,0,3.53125,-722502.707262,64647.4475715
20260813-143738_r50_s10000_fast_gtr_investigate3_learnradius50_findopt500_distradius,70,3.65625,-722368.845292,64513.5856012
20260813-143738_r50_s10000_fast_gtr_investigate3_learnradius50_findopt500_distradius,128,3.73438,-721707.981191,63852.7215009
20260813-143738_r50_s10000_fast_gtr_investigate3_learnradius50_findopt500_distradius,136,3.75,-721539.972644,63684.7129541
20260813-143738_r50_s10000_fast_gtr_investigate3_learnradius50_findopt500_distradius,160,3.8125,-720729.591165,62874.3314745
20260813-143738_r50_s10000_fast_gtr_investigate3_learnradius50_findopt500_distradius,226,3.90625,-719611.784267,61756.5245762
20260813-143738_r50_s10000_fast_gtr_investigate3_learnradius50_findopt500_distradius,274,3.98438,-719392.598578,61537.3388876
20260813-143738_r50_s10000_fast_gtr_investigate3_learnradius50_findopt500_distradius,284,4,-718709.69752,60854.4378293
20260813-143738_r50_s10000_fast_gtr_investigate3_learnradius50_findopt500_distradius,314,4.0625,-718200.839808,60345.5801172
20260813-143738_r50_s10000_fast_gtr_investigate3_learnradius50_findopt500_distradius,384,4.1875,-717654.077302,59798.817612
20260813-143738_r50_s10000_fast_gtr_investigate3_learnradius50_findopt500_distradius,393,4.23438,-717002.827184,59147.5674937
20260813-143738_r50_s10000_fast_gtr_investigate3_learnradius50_findopt500_distradius,405,4.26562,-716575.745178,58720.485488
20260813-143738_r50_s10000_fast_gtr_investigate3_learnradius50_findopt500_distradius,428,4.32812,-716422.757173,58567.4974829
20260813-143738_r50_s10000_fast_gtr_investigate3_learnradius50_findopt500_distradius,436,4.35938,-716313.089547,58457.8298562
20260813-143738_r50_s10000_fast_gtr_investigate3_learnradius50_findopt500_distradius,474,4.40625,-715720.585114,57865.3254234
20260813-143738_r50_s10000_fast_gtr_investigate3_learnradius50_findopt500_distradius,484,4.4375,-713999.18736,56143.9276693
20260813-143738_r50_s10000_fast_gtr_investigate3_learnradius50_findopt500_distradius,492,4.45312,-713630.991428,55775.7317378
