run_id,candidates,time_elapsed,logL,true_minus_current
20260804-203307_r10_s3000_fast_reopt_gtr_findopt50,0,28.215,-671814.105498,13958.8458079
20260804-203307_r10_s3000_fast_reopt_gtr_findopt50,2,28.592,-671711.661666,13856.4019761
20260804-203307_r10_s3000_fast_reopt_gtr_findopt50,11,30.154,-671706.692665,13851.4329749
20260804-203307_r10_s3000_fast_reopt_gtr_findopt50,30,33.891,-671662.471325,13807.2116344
20260804-203307_r10_s3000_fast_reopt_gtr_findopt50,50,37.952,-671630.720696,13775.4610053
20260804-203307_r10_s3000_fast_reopt_gtr_findopt50,55,39.071,-671662.423508,13807.1638176
20260804-203307_r10_s3000_fast_reopt_gtr_findopt50,76,43.428,-671578.362764,13723.1030734
20260804-203307_r10_s3000_fast_reopt_gtr_findopt50,87,45.721,-671367.044545,13511.7848542
20260804-203307_r10_s3000_fast_reopt_gtr_findopt50,100,48.331,-671251.621857,13396.362167
20260804-203307_r10_s3000_fast_reopt_gtr_findopt50,105,49.38,-671085.85567,13230.5959793
20260804-203307_r10_s3000_fast_reopt_gtr_findopt50,110,50.482,-670902.751607,13047.4919161
20260804-203307_r10_s3000_fast_reopt_gtr_findopt50,150,58.684,-670634.726259,12779.4665687
20260804-203307_r10_s3000_fast_reopt_gtr_findopt50,154,59.593,-670621.414879,12766.1551886
20260804-203307_r10_s3000_fast_reopt_gtr_findopt50,155,59.808,-670211.557954,12356.2982634
20260804-203307_r10_s3000_fast_reopt_gtr_findopt50,174,63.67,-670118.358212,12263.0985217
20260804-203307_r10_s3000_fast_reopt_gtr_findopt50,176,64.069,-670116.986942,12261.7272515
20260804-203307_r10_s3000_fast_reopt_gtr_findopt50,178,64.395,-670055.499549,12200.2398585
20260804-203307_r10_s3000_fast_reopt_gtr_findopt50,186,65.938,-669943.949834,12088.6901441
20260804-203307_r10_s3000_fast_reopt_gtr_findopt50,189,66.473,-669890.091843,12034.8321529
20260804-203307_r10_s3000_fast_reopt_gtr_findopt50,200,68.103,-669261.70612,11406.4464299
