run_id,candidates,time_elapsed,logL,true_minus_current
20260814-114550_iqtree_nni_ownstart_nstop100,1,35.146,-657756.521,-98.738690
20260814-114550_iqtree_nni_ownstart_nstop100,2,37.146,-657756.521,-98.738690
20260814-114550_iqtree_nni_ownstart_nstop100,3,39.146,-657760.884,-94.375690
20260814-114550_iqtree_nni_ownstart_nstop100,4,41.146,-657756.595,-98.664690
20260814-114550_iqtree_nni_ownstart_nstop100,5,43.146,-657756.702,-98.557690
20260814-114550_iqtree_nni_ownstart_nstop100,6,45.146,-657756.572,-98.687690
20260814-114550_iqtree_nni_ownstart_nstop100,7,47.146,-657756.697,-98.562690
20260814-114550_iqtree_nni_ownstart_nstop100,8,49.146,-657756.565,-98.694690
20260814-114550_iqtree_nni_ownstart_nstop100,9,51.146,-657756.558,-98.701690
20260814-114550_iqtree_nni_ownstart_nstop100,10,53.146,-657756.693,-98.566690
20260814-114550_iqtree_nni_ownstart_nstop100,11,55.146,-657756.556,-98.703690
20260814-114550_iqtree_nni_ownstart_nstop100,12,57.146,-657756.524,-98.735690
20260814-114550_iqtree_nni_ownstart_nstop100,13,60.146,-657756.582,-98.677690
20260814-114550_iqtree_nni_ownstart_nstop100,14,62.146,-657756.521,-98.738690
20260814-114550_iqtree_nni_ownstart_nstop100,15,64.146,-657756.541,-98.718690
20260814-114550_iqtree_nni_ownstart_nstop100,16,66.146,-657756.524,-98.735690
20260814-114550_iqtree_nni_ownstart_nstop100,17,69.146,-657756.522,-98.737690
20260814-114550_iqtree_nni_ownstart_nstop100,18,71.146,-657756.556,-98.703690
20260814-114550_iqtree_nni_ownstart_nstop100,19,73.146,-657758.844,-96.415690
20260814-114550_iqtree_nni_ownstart_nstop100,20,75.146,-657756.548,-98.711690
20260814-114550_iqtree_nni_ownstart_nstop100,21,78.146,-657756.521,-98.738690
20260814-114550_iqtree_nni_ownstart_nstop100,22,81.146,-657756.680,-98.579690
20260814-114550_iqtree_nni_ownstart_nstop100,23,83.146,-657756.521,-98.738690
20260814-114550_iqtree_nni_ownstart_nstop100,24,85.146,-657756.618,-98.641690
20260814-114550_iqtree_nni_ownstart_nstop100,25,87.146,-657756.521,-98.738690
20260814-114550_iqtree_nni_ownstart_nstop100,26,90.146,-657756.549,-98.710690
20260814-114550_iqtree_nni_ownstart_nstop100,27,92.146,-657756.585,-98.674690
20260814-114550_iqtree_nni_ownstart_nstop100,28,94.146,-657756.543,-98.716690
20260814-114550_iqtree_nni_ownstart_nstop100,29,96.146,-657756.521,-98.738690
20260814-114550_iqtree_nni_ownstart_nstop100,30,99.146,-657756.523,-98.736690
20260814-114550_iqtree_nni_ownstart_nstop100,31,101.146,-657756.529,-98.730690
20260814-114550_iqtree_nni_ownstart_nstop100,32,104.146,-657756.537,-98.722690
20260814-114550_iqtree_nni_ownstart_nstop100,33,106.146,-657756.523,-98.736690
20260814-114550_iqtree_nni_ownstart_nstop100,34,109.146,-657756.536,-98.723690
20260814-114550_iqtree_nni_ownstart_nstop100,35,111.146,-657756.607,-98.652690
20260814-114550_iqtree_nni_ownstart_nstop100,36,113.146,-657756.523,-98.736690
20260814-114550_iqtree_nni_ownstart_nstop100,37,116.146,-657756.677,-98.582690
20260814-114550_iqtree_nni_ownstart_nstop100,38,118.146,-657756.521,-98.738690
20260814-114550_iqtree_nni_ownstart_nstop100,39,120.146,-657756.760,-98.499690
20260814-114550_iqtree_nni_ownstart_nstop100,40,123.146,-657757.593,-97.666690
20260814-114550_iqtree_nni_ownstart_nstop100,41,125.146,-657756.568,-98.691690
20260814-114550_iqtree_nni_ownstart_nstop100,42,127.146,-657756.745,-98.514690
20260814-114550_iqtree_nni_ownstart_nstop100,43,129.146,-657756.521,-98.738690
20260814-114550_iqtree_nni_ownstart_nstop100,44,131.146,-657756.563,-98.696690
20260814-114550_iqtree_nni_ownstart_nstop100,45,134.146,-657756.992,-98.267690
20260814-114550_iqtree_nni_ownstart_nstop100,46,136.146,-657756.523,-98.736690
20260814-114550_iqtree_nni_ownstart_nstop100,47,138.146,-657756.521,-98.738690
