run_id,candidates,time_elapsed,logL,true_minus_current
20260730-161512_r1_s10000_fast,0,0.383,-751050.986033,48428.3029653
20260730-161512_r1_s10000_fast,2,0.425,-750822.319306,48199.6362382
20260730-161512_r1_s10000_fast,16,0.728,-750783.200907,48160.5178388
20260730-161512_r1_s10000_fast,27,1.003,-750354.751395,47732.0683275
20260730-161512_r1_s10000_fast,29,1.056,-750254.548251,47631.8651827
20260730-161512_r1_s10000_fast,52,1.66,-749955.445189,47332.762121
20260730-161512_r1_s10000_fast,53,1.685,-749377.21311,46754.5300418
20260730-161512_r1_s10000_fast,57,1.793,-749235.226014,46612.5429458
20260730-161512_r1_s10000_fast,63,1.934,-748985.032011,46362.3489433
20260730-161512_r1_s10000_fast,67,2.024,-748961.768041,46339.0849735
20260730-161512_r1_s10000_fast,83,2.341,-748463.107132,45840.424064
20260730-161512_r1_s10000_fast,92,2.516,-748352.871757,45730.1886887
20260730-161512_r1_s10000_fast,106,2.791,-748007.966651,45385.2835829
20260730-161512_r1_s10000_fast,110,2.868,-747630.374697,45007.691629
20260730-161512_r1_s10000_fast,131,3.276,-747235.365036,44612.6819677
20260730-161512_r1_s10000_fast,153,3.71,-746962.475546,44339.7924782
20260730-161512_r1_s10000_fast,161,3.868,-746931.598227,44308.9151592
20260730-161512_r1_s10000_fast,169,4.037,-746276.764914,43654.0818463
20260730-161512_r1_s10000_fast,175,4.148,-746070.97784,43448.2947725
20260730-161512_r1_s10000_fast,176,4.163,-746059.743832,43437.0607641
20260730-161512_r1_s10000_fast,216,4.917,-745937.892955,43315.2098874
20260730-161512_r1_s10000_fast,232,5.242,-745709.236251,43086.5531829
20260730-161512_r1_s10000_fast,240,5.399,-745564.645403,42941.9623352
20260730-161512_r1_s10000_fast,250,5.597,-745447.336692,42824.6536238
20260730-161512_r1_s10000_fast,260,5.789,-744853.210609,42230.5275409
20260730-161512_r1_s10000_fast,261,5.809,-744826.076762,42203.3936945
20260730-161512_r1_s10000_fast,291,6.368,-744749.688349,42127.0052807
20260730-161512_r1_s10000_fast,303,6.58,-744541.293413,41918.6103451
20260730-161512_r1_s10000_fast,308,6.686,-744375.731774,41753.0487058
20260730-161512_r1_s10000_fast,334,7.175,-744206.991595,41584.3085274
20260730-161512_r1_s10000_fast,371,7.873,-743359.072647,40736.3895785
20260730-161512_r1_s10000_fast,375,7.948,-743347.159928,40724.4768602
20260730-161512_r1_s10000_fast,397,8.351,-743105.729548,40483.0464797
20260730-161512_r1_s10000_fast,401,8.43,-742935.349515,40312.666447
20260730-161512_r1_s10000_fast,407,8.548,-742639.196737,40016.5136692
20260730-161512_r1_s10000_fast,420,8.804,-742599.85653,39977.1734621
20260730-161512_r1_s10000_fast,423,8.864,-742497.21685,39874.5337817
20260730-161512_r1_s10000_fast,461,9.573,-742434.002317,39811.3192493
20260730-161512_r1_s10000_fast,482,9.977,-742309.275672,39686.5926043
20260730-161512_r1_s10000_fast,504,10.39,-742228.411606,39605.7285383
20260730-161512_r1_s10000_fast,518,10.661,-742224.898452,39602.2153845
20260730-161512_r1_s10000_fast,552,11.313,-740586.609212,37963.926144
20260730-161512_r1_s10000_fast,565,11.556,-740091.466022,37468.7829544
20260730-161512_r1_s10000_fast,587,11.977,-739756.145882,37133.4628136
20260730-161512_r1_s10000_fast,591,12.054,-739729.275467,37106.5923988
20260730-161512_r1_s10000_fast,653,13.279,-739493.938813,36871.2557451
