run_id,candidates,time_elapsed,logL,true_minus_current
20260731-132243_r10_s10000_fast_alternate,0,0.589,-751050.986033,48428.3029653
20260731-132243_r10_s10000_fast_alternate,5,0.814,-750906.170051,48283.4869834
20260731-132243_r10_s10000_fast_alternate,30,1.601,-750892.648209,48269.965141
20260731-132243_r10_s10000_fast_alternate,34,1.712,-750507.904702,47885.2216337
20260731-132243_r10_s10000_fast_alternate,50,2.194,-750238.866655,47616.183587
20260731-132243_r10_s10000_fast_alternate,67,2.724,-750032.606084,47409.923016
20260731-132243_r10_s10000_fast_alternate,121,4.288,-749499.905867,46877.2227992
20260731-132243_r10_s10000_fast_alternate,124,4.388,-749090.57799,46467.8949218
20260731-132243_r10_s10000_fast_alternate,130,4.561,-748930.862963,46308.1798948
20260731-132243_r10_s10000_fast_alternate,190,6.3,-748671.02655,46048.3434816
20260731-132243_r10_s10000_fast_alternate,195,6.459,-748578.698819,45956.0157509
20260731-132243_r10_s10000_fast_alternate,196,6.487,-748311.326304,45688.6432361
20260731-132243_r10_s10000_fast_alternate,201,6.643,-747420.967844,44798.2847765
20260731-132243_r10_s10000_fast_alternate,222,7.224,-746819.860183,44197.177115
20260731-132243_r10_s10000_fast_alternate,229,7.409,-746395.020318,43772.3372502
20260731-132243_r10_s10000_fast_alternate,252,8.006,-746384.191959,43761.508891
20260731-132243_r10_s10000_fast_alternate,255,8.119,-746112.541871,43489.8588035
20260731-132243_r10_s10000_fast_alternate,355,10.937,-745717.032782,43094.3497139
20260731-132243_r10_s10000_fast_alternate,360,11.068,-745550.269805,42927.5867373
20260731-132243_r10_s10000_fast_alternate,363,11.149,-745253.182271,42630.4992033
20260731-132243_r10_s10000_fast_alternate,369,11.317,-745247.517905,42624.8348373
20260731-132243_r10_s10000_fast_alternate,391,11.951,-744534.260911,41911.5778434
20260731-132243_r10_s10000_fast_alternate,403,12.296,-743867.522832,41244.8397645
20260731-132243_r10_s10000_fast_alternate,423,12.952,-743783.280749,41160.5976807
20260731-132243_r10_s10000_fast_alternate,460,14.185,-743584.059744,40961.3766758
20260731-132243_r10_s10000_fast_alternate,477,14.633,-743250.416406,40627.7333381
20260731-132243_r10_s10000_fast_alternate,478,14.686,-743167.131827,40544.4487593
20260731-132243_r10_s10000_fast_alternate,496,15.305,-742598.678709,39975.9956407
20260731-132243_r10_s10000_fast_alternate,501,15.435,-742381.756595,39759.0735271
20260731-132243_r10_s10000_fast_alternate,502,15.462,-742284.439879,39661.7568115
20260731-132243_r10_s10000_fast_alternate,508,15.622,-742038.275751,39415.5926833
20260731-132243_r10_s10000_fast_alternate,534,16.368,-741974.613006,39351.9299376
20260731-132243_r10_s10000_fast_alternate,539,16.545,-741931.098865,39308.4157965
20260731-132243_r10_s10000_fast_alternate,545,16.711,-740974.998844,38352.3157756
20260731-132243_r10_s10000_fast_alternate,563,17.208,-740861.204333,38238.521265
20260731-132243_r10_s10000_fast_alternate,564,17.233,-740755.611497,38132.928429
20260731-132243_r10_s10000_fast_alternate,579,17.696,-740752.219112,38129.5360438
20260731-132243_r10_s10000_fast_alternate,596,18.236,-740647.366359,38024.6832908
20260731-132243_r10_s10000_fast_alternate,610,18.627,-739791.93905,37169.2559817
20260731-132243_r10_s10000_fast_alternate,644,19.774,-739760.931585,37138.2485174
20260731-132243_r10_s10000_fast_alternate,658,20.261,-739128.007626,36505.3245582
20260731-132243_r10_s10000_fast_alternate,693,21.371,-738775.323606,36152.6405378
20260731-132243_r10_s10000_fast_alternate,741,22.619,-738190.970166,35568.2870981
20260731-132243_r10_s10000_fast_alternate,768,23.497,-737746.73691,35124.0538419
20260731-132243_r10_s10000_fast_alternate,800,24.43,-737167.031787,34544.3487187
20260731-132243_r10_s10000_fast_alternate,803,24.579,-737118.411472,34495.7284038
20260731-132243_r10_s10000_fast_alternate,821,25.094,-737038.207283,34415.5242155
20260731-132243_r10_s10000_fast_alternate,890,27.226,-736799.530587,34176.8475195
20260731-132243_r10_s10000_fast_alternate,1014,31.351,-736354.111389,33731.4283208
20260731-132243_r10_s10000_fast_alternate,1033,31.84,-736220.473022,33597.7899538
20260731-132243_r10_s10000_fast_alternate,1060,32.691,-736209.124113,33586.4410447
20260731-132243_r10_s10000_fast_alternate,1063,32.811,-736202.917969,33580.2349006
20260731-132243_r10_s10000_fast_alternate,1076,33.22,-736082.224385,33459.541317
20260731-132243_r10_s10000_fast_alternate,1091,33.631,-735963.425548,33340.7424802
20260731-132243_r10_s10000_fast_alternate,1142,34.87,-735941.285741,33318.6026735
20260731-132243_r10_s10000_fast_alternate,1143,34.898,-735720.559331,33097.8762631
20260731-132243_r10_s10000_fast_alternate,1150,35.079,-734916.708348,32294.0252799
20260731-132243_r10_s10000_fast_alternate,1160,35.3,-734729.3744,32106.6913317
20260731-132243_r10_s10000_fast_alternate,1226,36.972,-734185.373117,31562.6900492
20260731-132243_r10_s10000_fast_alternate,1252,37.582,-733931.192883,31308.5098146
20260731-132243_r10_s10000_fast_alternate,1280,38.247,-733926.951324,31304.2682555
20260731-132243_r10_s10000_fast_alternate,1281,38.275,-733884.457483,31261.7744151
20260731-132243_r10_s10000_fast_alternate,1295,38.668,-733663.443924,31040.7608556
20260731-132243_r10_s10000_fast_alternate,1313,39.103,-733143.639623,30520.9565546
20260731-132243_r10_s10000_fast_alternate,1348,39.914,-732902.908459,30280.2253905
20260731-132243_r10_s10000_fast_alternate,1374,40.53,-732776.88948,30154.2064124
20260731-132243_r10_s10000_fast_alternate,1376,40.585,-732474.922166,29852.2390981
20260731-132243_r10_s10000_fast_alternate,1487,43.344,-732356.182679,29733.499611
20260731-132243_r10_s10000_fast_alternate,1524,44.231,-732213.672763,29590.9896954
20260731-132243_r10_s10000_fast_alternate,1614,46.775,-732081.22361,29458.5405423
20260731-132243_r10_s10000_fast_alternate,1633,47.293,-731341.465566,28718.7824979
20260731-132243_r10_s10000_fast_alternate,1704,49.158,-731218.293909,28595.6108406
20260731-132243_r10_s10000_fast_alternate,1711,49.315,-731087.851152,28465.1680837
20260731-132243_r10_s10000_fast_alternate,1728,49.783,-730936.044653,28313.3615846
20260731-132243_r10_s10000_fast_alternate,1846,53.037,-730922.495958,28299.8128896
20260731-132243_r10_s10000_fast_alternate,1880,53.925,-730661.395764,28038.712696
20260731-132243_r10_s10000_fast_alternate,2054,58.46,-730471.372923,27848.6898551
20260731-132243_r10_s10000_fast_alternate,2251,63.166,-729903.938538,27281.2554698
20260731-132243_r10_s10000_fast_alternate,2496,69.057,-729574.357499,26951.6744312
20260731-132243_r10_s10000_fast_alternate,2576,71.056,-729497.078762,26874.3956936
20260731-132243_r10_s10000_fast_alternate,2705,74.179,-729463.399046,26840.7159782
20260731-132243_r10_s10000_fast_alternate,2711,74.33,-729459.035153,26836.3520845
20260731-132243_r10_s10000_fast_alternate,2909,79.113,-729431.713184,26809.0301161
20260731-132243_r10_s10000_fast_alternate,3234,88.817,-728978.809057,26356.1259891
20260731-132243_r10_s10000_fast_alternate,3258,89.582,-728920.443268,26297.7602001
20260731-132243_r10_s10000_fast_alternate,3562,99.221,-728831.867175,26209.1841073
20260731-132243_r10_s10000_fast_alternate,3937,112.436,-728831.403688,26208.7206204
20260731-132243_r10_s10000_fast_alternate,4363,125.781,-728581.565597,25958.882529
20260731-132243_r10_s10000_fast_alternate,4981,141.282,-728504.61469,25881.9316225
20260731-132243_r10_s10000_fast_alternate,5993,174.83,-728389.960494,25767.2774261
20260731-132243_r10_s10000_fast_alternate,6680,197.982,-728380.916136,25758.2330684
20260731-132243_r10_s10000_fast_alternate,8013,230.752,-728372.458532,25749.775464
20260731-132243_r10_s10000_fast_alternate,8452,241.761,-728364.804371,25742.1213028
20260731-132243_r10_s10000_fast_alternate,8903,254.896,-728364.28027,25741.5972024
20260731-132820_r10_s10000_fast_alternate,0,0.748,-751050.986033,48428.3029653
20260731-132820_r10_s10000_fast_alternate,7,1.119,-750675.445309,48052.7622407
20260731-132820_r10_s10000_fast_alternate,19,1.607,-750029.514621,47406.8315531
20260731-132820_r10_s10000_fast_alternate,31,2.18,-750018.109476,47395.4264083
20260731-132820_r10_s10000_fast_alternate,56,3.266,-750001.234457,47378.5513893
20260731-132820_r10_s10000_fast_alternate,89,4.224,-749915.090209,47292.4071414
20260731-132820_r10_s10000_fast_alternate,92,4.39,-749803.885341,47181.2022729
20260731-132820_r10_s10000_fast_alternate,98,4.535,-749780.323312,47157.6402442
20260731-132820_r10_s10000_fast_alternate,120,5.14,-749778.638998,47155.9559299
20260731-132820_r10_s10000_fast_alternate,135,5.496,-749348.100931,46725.4178632
20260731-132820_r10_s10000_fast_alternate,137,5.544,-748936.97526,46314.2921923
20260731-132820_r10_s10000_fast_alternate,157,6.043,-748795.502518,46172.8194501
20260731-132820_r10_s10000_fast_alternate,165,6.243,-748716.658376,46093.9753079
20260731-132820_r10_s10000_fast_alternate,189,6.818,-748609.56355,45986.8804819
20260731-132820_r10_s10000_fast_alternate,198,7.034,-748587.276468,45964.5934004
20260731-132820_r10_s10000_fast_alternate,199,7.066,-747690.641736,45067.9586685
20260731-132820_r10_s10000_fast_alternate,211,7.359,-747272.508238,44649.8251698
20260731-132820_r10_s10000_fast_alternate,255,8.471,-746645.866075,44023.1830067
20260731-132820_r10_s10000_fast_alternate,258,8.568,-746630.858855,44008.1757871
20260731-132820_r10_s10000_fast_alternate,260,8.649,-745852.060149,43229.3770814
20260731-132820_r10_s10000_fast_alternate,311,9.958,-745232.044596,42609.3615278
20260731-132820_r10_s10000_fast_alternate,362,11.269,-745155.746491,42533.0634235
20260731-132820_r10_s10000_fast_alternate,422,12.841,-745106.348761,42483.6656926
20260731-132820_r10_s10000_fast_alternate,466,14.048,-745080.405081,42457.722013
20260731-132820_r10_s10000_fast_alternate,496,14.829,-744883.540547,42260.8574793
20260731-132820_r10_s10000_fast_alternate,503,15,-744320.082912,41697.399844
20260731-132820_r10_s10000_fast_alternate,514,15.29,-744063.912698,41441.2296302
20260731-132820_r10_s10000_fast_alternate,520,15.43,-743984.025528,41361.3424597
20260731-132820_r10_s10000_fast_alternate,529,15.683,-743908.0278,41285.3447319
20260731-132820_r10_s10000_fast_alternate,532,15.79,-743864.459609,41241.7765407
20260731-132820_r10_s10000_fast_alternate,533,15.855,-743147.42789,40524.7448219
20260731-132820_r10_s10000_fast_alternate,534,15.902,-743133.660278,40510.9772103
20260731-132820_r10_s10000_fast_alternate,539,16.128,-743050.750378,40428.06731
20260731-132820_r10_s10000_fast_alternate,545,16.355,-743024.43518,40401.7521125
20260731-132820_r10_s10000_fast_alternate,555,16.762,-743002.606016,40379.9229484
20260731-132820_r10_s10000_fast_alternate,556,16.813,-742936.698538,40314.0154697
20260731-132820_r10_s10000_fast_alternate,564,17.112,-742638.041688,40015.3586202
20260731-132820_r10_s10000_fast_alternate,572,17.423,-742455.660922,39832.9778545
20260731-132820_r10_s10000_fast_alternate,617,19.317,-742404.3954,39781.712332
20260731-132820_r10_s10000_fast_alternate,630,19.822,-741515.391135,38892.7080674
20260731-132820_r10_s10000_fast_alternate,668,21.251,-741493.166744,38870.4836765
20260731-132820_r10_s10000_fast_alternate,715,22.959,-741435.583878,38812.90081
20260731-132820_r10_s10000_fast_alternate,730,23.489,-739542.164879,36919.4818107
