run_id,candidates,time_elapsed,logL,true_minus_current
20260805-112600_r10_s10000_fast_findopt500,0,4.959,-722870.906708,45669.7801867
20260805-112600_r10_s10000_fast_findopt500,2,5.047,-722482.93154,45281.8050191
20260805-112600_r10_s10000_fast_findopt500,21,5.538,-722357.134787,45156.0082663
20260805-112600_r10_s10000_fast_findopt500,51,6.275,-722336.438513,45135.3119926
20260805-112600_r10_s10000_fast_findopt500,52,6.304,-722310.270078,45109.143557
20260805-112600_r10_s10000_fast_findopt500,90,7.244,-722173.613758,44972.4872373
20260805-112600_r10_s10000_fast_findopt500,91,7.286,-721891.93404,44690.8075194
20260805-112600_r10_s10000_fast_findopt500,92,7.37,-721164.967155,43963.8406343
20260805-112600_r10_s10000_fast_findopt500,98,7.638,-721071.22007,43870.0935489
20260805-112600_r10_s10000_fast_findopt500,120,8.4,-720753.946177,43552.8196565
20260805-112600_r10_s10000_fast_findopt500,152,9.681,-720616.756637,43415.6301165
20260805-112600_r10_s10000_fast_findopt500,170,10.488,-720508.69834,43307.5718188
20260805-112600_r10_s10000_fast_findopt500,186,11.184,-720363.951016,43162.8244951
20260805-112600_r10_s10000_fast_findopt500,221,12.83,-719941.962143,42740.835622
20260805-112600_r10_s10000_fast_findopt500,234,13.447,-719361.289065,42160.1625443
20260805-112600_r10_s10000_fast_findopt500,246,14.009,-718374.464641,41173.3381203
20260805-112600_r10_s10000_fast_findopt500,268,14.933,-718050.914919,40849.788398
20260805-112600_r10_s10000_fast_findopt500,289,15.872,-717503.231371,40302.1048499
20260805-112600_r10_s10000_fast_findopt500,331,17.733,-717289.667737,40088.5412158
20260805-112600_r10_s10000_fast_findopt500,341,18.176,-716565.793691,39364.6671705
20260805-112600_r10_s10000_fast_findopt500,384,19.933,-715983.066082,38781.9395613
20260805-112600_r10_s10000_fast_findopt500,392,20.265,-714896.148069,37695.0215483
20260805-112600_r10_s10000_fast_findopt500,435,22.3,-714880.280604,37679.1540835
20260805-112600_r10_s10000_fast_findopt500,482,24.358,-714866.930826,37665.8043053
20260805-112600_r10_s10000_fast_findopt500,484,24.453,-714317.207612,37116.0810908
20260805-112600_r10_s10000_fast_findopt500,500,25.158,-665848.3012,7993.04150957
20260805-112600_r10_s10000_fast_findopt500,509,25.475,-714067.981189,36866.8546678
20260805-112600_r10_s10000_fast_findopt500,512,25.576,-713994.894851,36793.7683302
20260805-112600_r10_s10000_fast_findopt500,558,27.259,-713975.946083,36774.8195618
20260805-112600_r10_s10000_fast_findopt500,562,27.442,-712949.004943,35747.8784225
20260805-112600_r10_s10000_fast_findopt500,669,31.358,-712851.055447,35649.9289264
20260805-112600_r10_s10000_fast_findopt500,933,42.969,-712684.934537,35483.8080159
20260805-112600_r10_s10000_fast_findopt500,1000,45.348,-664889.28211,7034.02241947
20260805-112600_r10_s10000_fast_findopt500,1008,45.681,-711312.435838,34111.3093174
20260805-112600_r10_s10000_fast_findopt500,1058,47.63,-711218.454815,34017.3282943
20260805-112600_r10_s10000_fast_findopt500,1078,48.43,-711110.169962,33909.0434407
20260805-112600_r10_s10000_fast_findopt500,1083,48.604,-711001.99698,33800.8704596
20260805-112600_r10_s10000_fast_findopt500,1348,57.739,-710545.070713,33343.9441923
20260805-112600_r10_s10000_fast_findopt500,1415,59.943,-710422.647391,33221.5208705
20260805-112600_r10_s10000_fast_findopt500,1419,60.092,-710284.294436,33083.1679154
20260805-112600_r10_s10000_fast_findopt500,1446,60.99,-709939.381618,32738.2550975
20260805-112600_r10_s10000_fast_findopt500,1480,62.099,-709571.305323,32370.1788019
20260805-112600_r10_s10000_fast_findopt500,1500,62.758,-663689.064982,5833.80529142
20260805-112600_r10_s10000_fast_findopt500,1620,68.216,-709491.27618,32290.1496588
20260805-112600_r10_s10000_fast_findopt500,1961,80.97,-709456.064775,32254.938254
20260805-112600_r10_s10000_fast_findopt500,2000,82.294,-663689.064717,5833.80502659
20260805-112600_r10_s10000_fast_findopt500,2156,87.907,-709286.377326,32085.2508057
20260805-112600_r10_s10000_fast_findopt500,2174,88.645,-708667.294314,31466.1677931
20260805-112600_r10_s10000_fast_findopt500,2257,92.163,-708365.513594,31164.3870734
20260805-112600_r10_s10000_fast_findopt500,2268,92.584,-708267.259538,31066.1330176
20260805-112600_r10_s10000_fast_findopt500,2322,94.444,-708066.324795,30865.1982741
20260805-112600_r10_s10000_fast_findopt500,2450,98.814,-707822.730063,30621.6035423
20260805-112600_r10_s10000_fast_findopt500,2500,100.941,-663281.076232,5425.81654168
20260805-112600_r10_s10000_fast_findopt500,2642,105.421,-707635.611419,30434.4848981
20260805-112600_r10_s10000_fast_findopt500,2694,106.709,-707250.656243,30049.5297222
20260805-112600_r10_s10000_fast_findopt500,2953,113.863,-707228.387467,30027.2609463
20260805-112600_r10_s10000_fast_findopt500,3000,114.981,-663000.24831,5144.98861947
