run_id,candidates,time_elapsed,logL,true_minus_current
20260805-003348_r10_s10000_fast_fullreopt100x2000init_findopt500,0,8.646,-691585.549427,14384.4229061
20260805-003348_r10_s10000_fast_fullreopt100x2000init_findopt500,2,8.801,-691529.359809,14328.2332877
20260805-003348_r10_s10000_fast_fullreopt100x2000init_findopt500,9,9.056,-690526.371883,13325.2453623
20260805-003348_r10_s10000_fast_fullreopt100x2000init_findopt500,40,10.195,-690502.817272,13301.6907513
20260805-003348_r10_s10000_fast_fullreopt100x2000init_findopt500,97,11.859,-690399.884873,13198.7583524
20260805-003348_r10_s10000_fast_fullreopt100x2000init_findopt500,125,12.839,-690277.268011,13076.1414905
20260805-003348_r10_s10000_fast_fullreopt100x2000init_findopt500,167,14.096,-689143.127526,11942.001005
20260805-003348_r10_s10000_fast_fullreopt100x2000init_findopt500,196,15.119,-688882.821932,11681.695411
20260805-003348_r10_s10000_fast_fullreopt100x2000init_findopt500,233,16.071,-688539.842972,11338.7164516
20260805-003348_r10_s10000_fast_fullreopt100x2000init_findopt500,240,16.258,-688516.298084,11315.1715631
20260805-003348_r10_s10000_fast_fullreopt100x2000init_findopt500,306,18.291,-688109.770096,10908.6435753
20260805-003348_r10_s10000_fast_fullreopt100x2000init_findopt500,341,19.128,-688100.664621,10899.5380997
20260805-003348_r10_s10000_fast_fullreopt100x2000init_findopt500,387,20.224,-687896.090595,10694.9640739
20260805-003348_r10_s10000_fast_fullreopt100x2000init_findopt500,500,22.946,-665476.190383,7620.93069287
20260805-003348_r10_s10000_fast_fullreopt100x2000init_findopt500,536,23.8,-686996.530069,9795.40354825
20260805-003348_r10_s10000_fast_fullreopt100x2000init_findopt500,560,24.404,-686960.693784,9759.56726358
20260805-003348_r10_s10000_fast_fullreopt100x2000init_findopt500,613,25.595,-686785.300386,9584.17386477
20260805-003348_r10_s10000_fast_fullreopt100x2000init_findopt500,695,27.444,-686780.674617,9579.54809582
20260805-003348_r10_s10000_fast_fullreopt100x2000init_findopt500,697,27.477,-686351.517272,9150.39075123
20260805-003348_r10_s10000_fast_fullreopt100x2000init_findopt500,747,28.535,-686301.954617,9100.82809628
20260805-003348_r10_s10000_fast_fullreopt100x2000init_findopt500,840,30.5,-686230.98331,9029.85678876
20260805-003348_r10_s10000_fast_fullreopt100x2000init_findopt500,876,31.246,-685886.90918,8685.78265878
20260805-003348_r10_s10000_fast_fullreopt100x2000init_findopt500,904,31.85,-685852.009674,8650.88315324
20260805-003348_r10_s10000_fast_fullreopt100x2000init_findopt500,998,34.052,-685828.367895,8627.24137454
20260805-003348_r10_s10000_fast_fullreopt100x2000init_findopt500,1000,34.113,-662536.929915,4681.67022466
20260805-003348_r10_s10000_fast_fullreopt100x2000init_findopt500,1147,37.364,-685793.65206,8592.52553872
20260805-003348_r10_s10000_fast_fullreopt100x2000init_findopt500,1500,44.706,-662480.9707,4625.71100934
