run_id,candidates,time_elapsed,logL,true_minus_current
20260730-163420_r10_s5000_fast_investigate,0,0.379,-751050.986033,48428.3029653
20260730-163420_r10_s5000_fast_investigate,12,0.646,-750858.640639,48235.957571
20260730-163420_r10_s5000_fast_investigate,16,0.725,-750738.92037,48116.2373021
20260730-163420_r10_s5000_fast_investigate,54,1.451,-750130.914657,47508.231589
20260730-163420_r10_s5000_fast_investigate,62,1.594,-749753.852492,47131.1694237
20260730-163420_r10_s5000_fast_investigate,78,1.917,-749704.7941,47082.111032
20260730-163420_r10_s5000_fast_investigate,80,1.949,-749097.779762,46475.0966944
20260730-163420_r10_s5000_fast_investigate,83,2.012,-749049.789669,46427.1066006
20260730-163420_r10_s5000_fast_investigate,87,2.092,-749023.621707,46400.9386394
20260730-163420_r10_s5000_fast_investigate,110,2.538,-748580.777254,45958.0941856
20260730-163420_r10_s5000_fast_investigate,114,2.618,-748352.363253,45729.6801848
20260730-163420_r10_s5000_fast_investigate,140,3.101,-747977.259472,45354.5764037
20260730-163420_r10_s5000_fast_investigate,144,3.179,-747285.336472,44662.6534043
20260730-163420_r10_s5000_fast_investigate,181,3.887,-747260.029564,44637.346496
20260730-163420_r10_s5000_fast_investigate,210,4.501,-747143.19015,44520.5070819
20260730-163420_r10_s5000_fast_investigate,214,4.594,-746493.850393,43871.1673253
20260730-163420_r10_s5000_fast_investigate,217,4.653,-746257.541435,43634.8583671
20260730-163420_r10_s5000_fast_investigate,223,4.764,-746209.926754,43587.2436863
20260730-163420_r10_s5000_fast_investigate,227,4.843,-746015.986506,43393.3034377
20260730-163420_r10_s5000_fast_investigate,237,5.016,-745955.617383,43332.9343147
20260730-163420_r10_s5000_fast_investigate,240,5.079,-745642.692504,43020.0094358
20260730-163420_r10_s5000_fast_investigate,308,6.573,-745641.72382,43019.0407522
20260730-163420_r10_s5000_fast_investigate,312,6.656,-745639.545085,43016.8620175
20260730-163420_r10_s5000_fast_investigate,337,7.165,-745557.926106,42935.2430379
20260730-163420_r10_s5000_fast_investigate,343,7.304,-745480.167464,42857.484396
20260730-163420_r10_s5000_fast_investigate,362,7.731,-745250.131345,42627.4482766
20260730-163420_r10_s5000_fast_investigate,375,7.987,-745126.529984,42503.8469157
20260730-163420_r10_s5000_fast_investigate,390,8.268,-744552.089582,41929.4065137
20260730-163420_r10_s5000_fast_investigate,394,8.346,-744387.106404,41764.4233357
20260730-163420_r10_s5000_fast_investigate,428,8.976,-744268.203198,41645.5201301
20260730-163420_r10_s5000_fast_investigate,504,10.412,-744232.180062,41609.4969936
20260730-163420_r10_s5000_fast_investigate,549,11.395,-744016.096402,41393.4133345
20260730-163420_r10_s5000_fast_investigate,553,11.511,-742838.095691,40215.4126229
20260730-163420_r10_s5000_fast_investigate,565,11.793,-742306.984715,39684.3016469
20260730-163420_r10_s5000_fast_investigate,569,11.878,-742101.11377,39478.4307024
20260730-163420_r10_s5000_fast_investigate,574,11.976,-741790.331373,39167.6483051
20260730-163420_r10_s5000_fast_investigate,652,13.835,-741367.32375,38744.6406816
20260730-163420_r10_s5000_fast_investigate,722,15.4,-741180.824481,38558.1414132
20260730-163420_r10_s5000_fast_investigate,724,15.443,-741068.249685,38445.5666174
20260730-163420_r10_s5000_fast_investigate,747,16.028,-740963.626647,38340.943579
20260730-163420_r10_s5000_fast_investigate,845,18.158,-740471.471091,37848.7880231
20260730-163420_r10_s5000_fast_investigate,883,18.935,-739871.71992,37249.0368524
20260730-163420_r10_s5000_fast_investigate,926,19.745,-739315.665566,36692.9824982
20260730-163420_r10_s5000_fast_investigate,948,20.159,-739087.586804,36464.9037359
20260730-163420_r10_s5000_fast_investigate,1040,21.916,-739056.863855,36434.180787
20260730-163420_r10_s5000_fast_investigate,1042,21.964,-738937.110323,36314.4272547
20260730-163420_r10_s5000_fast_investigate,1090,22.885,-738917.03829,36294.3552218
20260730-163420_r10_s5000_fast_investigate,1092,22.924,-738651.428536,36028.7454681
20260730-163420_r10_s5000_fast_investigate,1125,23.555,-737759.003346,35136.320278
20260730-163420_r10_s5000_fast_investigate,1309,27.088,-737246.531244,34623.8481761
20260730-163420_r10_s5000_fast_investigate,1385,28.558,-737109.721467,34487.0383991
20260730-163420_r10_s5000_fast_investigate,1428,29.376,-736691.696036,34069.0129681
20260730-163420_r10_s5000_fast_investigate,1465,30.088,-736560.533909,33937.8508408
20260730-163420_r10_s5000_fast_investigate,1469,30.168,-736511.397357,33888.7142892
20260730-163420_r10_s5000_fast_investigate,1812,36.711,-736495.503474,33872.820406
20260730-163420_r10_s5000_fast_investigate,1820,36.854,-736118.666094,33495.9830259
20260730-163420_r10_s5000_fast_investigate,1824,36.934,-736094.185176,33471.5021079
20260730-163420_r10_s5000_fast_investigate,1831,37.061,-735897.977148,33275.2940801
20260730-163420_r10_s5000_fast_investigate,1835,37.14,-735692.159877,33069.4768093
20260730-163420_r10_s5000_fast_investigate,1838,37.204,-735625.917329,33003.2342608
20260730-163420_r10_s5000_fast_investigate,1842,37.279,-735595.482474,32972.7994062
20260730-163420_r10_s5000_fast_investigate,1934,39.08,-735587.587886,32964.9048179
20260730-163420_r10_s5000_fast_investigate,1938,39.159,-735569.369246,32946.6861782
20260730-163420_r10_s5000_fast_investigate,2053,41.382,-735459.468178,32836.78511
20260730-163420_r10_s5000_fast_investigate,2165,43.503,-735087.920832,32465.2377639
20260730-163420_r10_s5000_fast_investigate,2272,45.61,-735074.136327,32451.4532591
20260730-163420_r10_s5000_fast_investigate,2298,46.117,-734647.722896,32025.0398283
20260730-163420_r10_s5000_fast_investigate,2300,46.149,-734570.688989,31948.0059215
20260730-163420_r10_s5000_fast_investigate,2697,53.714,-734251.949795,31629.2667265
20260730-163420_r10_s5000_fast_investigate,2716,54.072,-734117.315405,31494.6323368
20260730-163420_r10_s5000_fast_investigate,3024,60.227,-733803.684314,31181.0012462
20260730-163420_r10_s5000_fast_investigate,3028,60.306,-733494.817092,30872.1340237
20260730-163420_r10_s5000_fast_investigate,3160,62.868,-733454.051766,30831.3686978
20260730-163420_r10_s5000_fast_investigate,3226,64.117,-733361.930671,30739.247603
20260730-163420_r10_s5000_fast_investigate,3339,66.338,-733144.243084,30521.5600164
20260730-163420_r10_s5000_fast_investigate,3343,66.409,-732962.73288,30340.0498117
20260730-163420_r10_s5000_fast_investigate,3417,67.848,-732867.209282,30244.5262137
20260730-163420_r10_s5000_fast_investigate,4109,82.077,-732752.211786,30129.5287181
20260730-163420_r10_s5000_fast_investigate,4138,82.619,-732403.003867,29780.3207995
20260730-163420_r10_s5000_fast_investigate,4207,84.063,-732368.279394,29745.5963265
20260730-163420_r10_s5000_fast_investigate,4501,90.411,-732148.017057,29525.3339893
20260731-130800_r10_s5000_fast_investigate1,0,0.871,-751050.986033,48428.3029653
