run_id,candidates,time_elapsed,logL,true_minus_current
20260731-135816_r10_s10000_fast_investigate1_shrink200,0,0.893,-751050.986033,48428.3029653
20260731-135816_r10_s10000_fast_investigate1_shrink200,27,2.166,-750706.670727,48083.9876587
20260731-135816_r10_s10000_fast_investigate1_shrink200,34,2.423,-750523.598696,47900.9156282
20260731-135816_r10_s10000_fast_investigate1_shrink200,56,3.127,-750317.344267,47694.6611995
20260731-135816_r10_s10000_fast_investigate1_shrink200,60,3.211,-750224.192558,47601.5094901
20260731-135816_r10_s10000_fast_investigate1_shrink200,72,3.508,-750176.075805,47553.392737
20260731-135816_r10_s10000_fast_investigate1_shrink200,74,3.609,-749568.662796,46945.9797281
20260731-135816_r10_s10000_fast_investigate1_shrink200,81,3.771,-749453.202351,46830.5192832
20260731-135816_r10_s10000_fast_investigate1_shrink200,106,4.332,-749243.366553,46620.6834849
20260731-135816_r10_s10000_fast_investigate1_shrink200,110,4.424,-748071.872549,45449.1894814
20260731-135816_r10_s10000_fast_investigate1_shrink200,115,4.536,-747964.916754,45342.2336858
20260731-135816_r10_s10000_fast_investigate1_shrink200,154,5.427,-747749.588904,45126.9058358
20260731-135816_r10_s10000_fast_investigate1_shrink200,166,5.697,-747072.314003,44449.6309347
20260731-135816_r10_s10000_fast_investigate1_shrink200,186,6.15,-746736.466803,44113.7837353
20260731-135816_r10_s10000_fast_investigate1_shrink200,198,6.428,-746087.222893,43464.5398255
20260731-135816_r10_s10000_fast_investigate1_shrink200,203,6.545,-746025.427166,43402.7440981
20260731-135816_r10_s10000_fast_investigate1_shrink200,229,7.131,-745923.213543,43300.530475
20260731-135816_r10_s10000_fast_investigate1_shrink200,231,7.179,-745772.566246,43149.8831775
20260731-135816_r10_s10000_fast_investigate1_shrink200,290,8.609,-745768.334279,43145.6512107
20260731-135816_r10_s10000_fast_investigate1_shrink200,350,10.033,-745677.781132,43055.0980642
20260731-135816_r10_s10000_fast_investigate1_shrink200,389,10.965,-745054.092512,42431.4094437
20260731-135816_r10_s10000_fast_investigate1_shrink200,412,11.493,-744952.754914,42330.0718456
20260731-135816_r10_s10000_fast_investigate1_shrink200,416,11.593,-744840.614101,42217.9310332
20260731-135816_r10_s10000_fast_investigate1_shrink200,425,11.787,-744766.178214,42143.4951458
20260731-135816_r10_s10000_fast_investigate1_shrink200,429,11.882,-744231.721983,41609.0389148
20260731-135816_r10_s10000_fast_investigate1_shrink200,433,11.985,-741871.131022,39248.4479539
20260731-135816_r10_s10000_fast_investigate1_shrink200,503,13.681,-741678.766259,39056.0831915
20260731-135816_r10_s10000_fast_investigate1_shrink200,507,13.779,-739850.896734,37228.2136661
20260731-135816_r10_s10000_fast_investigate1_shrink200,538,14.516,-739801.940748,37179.2576796
20260731-135816_r10_s10000_fast_investigate1_shrink200,542,14.61,-739745.779853,37123.0967855
20260731-135816_r10_s10000_fast_investigate1_shrink200,613,16.255,-739703.580598,37080.89753
20260731-135816_r10_s10000_fast_investigate1_shrink200,615,16.303,-739593.519334,36970.8362656
20260731-135816_r10_s10000_fast_investigate1_shrink200,648,17.05,-739496.660742,36873.9776743
20260731-135816_r10_s10000_fast_investigate1_shrink200,676,17.724,-739239.747006,36617.063938
20260731-135816_r10_s10000_fast_investigate1_shrink200,707,18.415,-739104.857522,36482.1744544
20260731-135816_r10_s10000_fast_investigate1_shrink200,711,18.523,-738581.58809,35958.9050218
20260731-135816_r10_s10000_fast_investigate1_shrink200,753,19.742,-738567.261555,35944.5784866
20260731-135816_r10_s10000_fast_investigate1_shrink200,757,19.858,-738351.744844,35729.0617756
20260731-135816_r10_s10000_fast_investigate1_shrink200,775,20.471,-738296.499329,35673.8162607
20260731-135816_r10_s10000_fast_investigate1_shrink200,892,23.926,-738083.249541,35460.5664733
20260731-135816_r10_s10000_fast_investigate1_shrink200,911,24.432,-737720.421478,35097.7384097
20260731-135816_r10_s10000_fast_investigate1_shrink200,978,26.555,-737686.630374,35063.9473062
20260731-135816_r10_s10000_fast_investigate1_shrink200,1037,28.212,-737564.550729,34941.8676607
20260731-135816_r10_s10000_fast_investigate1_shrink200,1060,28.745,-737532.717878,34910.0348102
20260731-135816_r10_s10000_fast_investigate1_shrink200,1062,28.795,-737170.846421,34548.1633534
20260731-135816_r10_s10000_fast_investigate1_shrink200,1136,30.633,-736873.865517,34251.1824494
20260731-135816_r10_s10000_fast_investigate1_shrink200,1241,33.046,-736486.479839,33863.7967709
20260731-135816_r10_s10000_fast_investigate1_shrink200,1488,38.716,-735998.310978,33375.6279104
20260731-135816_r10_s10000_fast_investigate1_shrink200,1492,38.813,-735575.474925,32952.7918567
20260731-135816_r10_s10000_fast_investigate1_shrink200,1496,38.908,-735217.306537,32594.6234688
20260731-135816_r10_s10000_fast_investigate1_shrink200,1529,39.689,-735156.060201,32533.3771331
20260731-135816_r10_s10000_fast_investigate1_shrink200,1531,39.731,-734714.236554,32091.5534862
20260731-135816_r10_s10000_fast_investigate1_shrink200,1657,42.614,-734668.888598,32046.2055304
20260731-135816_r10_s10000_fast_investigate1_shrink200,1935,49.054,-734418.573254,31795.8901857
20260731-135816_r10_s10000_fast_investigate1_shrink200,1937,49.102,-734212.340168,31589.6570998
20260731-135816_r10_s10000_fast_investigate1_shrink200,1958,49.595,-734154.453093,31531.7700251
20260731-135816_r10_s10000_fast_investigate1_shrink200,1961,49.67,-733833.408647,31210.7255788
20260731-135816_r10_s10000_fast_investigate1_shrink200,2257,56.646,-733543.14818,30920.465112
20260731-135816_r10_s10000_fast_investigate1_shrink200,2508,63.07,-733494.425805,30871.7427372
20260731-135816_r10_s10000_fast_investigate1_shrink200,2534,63.741,-732957.916331,30335.2332628
20260731-135816_r10_s10000_fast_investigate1_shrink200,2771,70.951,-732850.476942,30227.7938736
20260731-135816_r10_s10000_fast_investigate1_shrink200,2823,72.369,-732688.501679,30065.8186105
20260731-135816_r10_s10000_fast_investigate1_shrink200,2876,74.086,-731615.793631,28993.1105634
20260731-135816_r10_s10000_fast_investigate1_shrink200,2880,74.25,-731486.585999,28863.9029308
20260731-135816_r10_s10000_fast_investigate1_shrink200,2938,76.402,-731233.468776,28610.7857082
20260731-135816_r10_s10000_fast_investigate1_shrink200,2942,76.588,-730669.983021,28047.2999531
20260731-135816_r10_s10000_fast_investigate1_shrink200,2951,76.82,-730516.060786,27893.3777176
20260731-135816_r10_s10000_fast_investigate1_shrink200,2972,77.477,-730432.045793,27809.3627249
20260731-135816_r10_s10000_fast_investigate1_shrink200,3109,82.114,-730373.770801,27751.0877328
20260731-135816_r10_s10000_fast_investigate1_shrink200,3268,86.552,-729985.870183,27363.1871155
20260731-135816_r10_s10000_fast_investigate1_shrink200,3493,92.047,-729874.169272,27251.4862037
20260731-135816_r10_s10000_fast_investigate1_shrink200,3722,97.442,-729828.309145,27205.626077
20260731-135816_r10_s10000_fast_investigate1_shrink200,3740,97.857,-729823.846949,27201.1638814
20260731-135816_r10_s10000_fast_investigate1_shrink200,3744,97.952,-729819.102602,27196.4195344
20260731-135816_r10_s10000_fast_investigate1_shrink200,3748,98.053,-729813.950902,27191.2678343
20260731-135816_r10_s10000_fast_investigate1_shrink200,3893,102.34,-729626.275807,27003.5927393
20260731-135816_r10_s10000_fast_investigate1_shrink200,3897,102.481,-729583.467237,26960.7841686
20260731-135816_r10_s10000_fast_investigate1_shrink200,3990,105.644,-729554.881281,26932.1982126
20260731-135816_r10_s10000_fast_investigate1_shrink200,4007,106.064,-729538.480979,26915.7979109
20260731-135816_r10_s10000_fast_investigate1_shrink200,4011,106.153,-729527.707411,26905.0243426
20260731-135816_r10_s10000_fast_investigate1_shrink200,4015,106.297,-729513.349678,26890.6666098
20260731-135816_r10_s10000_fast_investigate1_shrink200,4019,106.406,-729504.763627,26882.080559
20260731-135816_r10_s10000_fast_investigate1_shrink200,4047,107.065,-729415.188365,26792.5052968
20260731-135816_r10_s10000_fast_investigate1_shrink200,4049,107.112,-729242.052032,26619.3689643
20260731-135816_r10_s10000_fast_investigate1_shrink200,4134,109.62,-728796.846783,26174.163715
20260731-135816_r10_s10000_fast_investigate1_shrink200,4163,110.347,-728557.49027,25934.8072018
20260731-135816_r10_s10000_fast_investigate1_shrink200,4236,112.662,-728537.570549,25914.8874811
20260731-135816_r10_s10000_fast_investigate1_shrink200,4240,112.778,-728531.120529,25908.4374614
20260731-135816_r10_s10000_fast_investigate1_shrink200,4244,112.916,-728529.161327,25906.4782589
20260731-135816_r10_s10000_fast_investigate1_shrink200,4389,117.294,-728431.401383,25808.7183151
20260731-135816_r10_s10000_fast_investigate1_shrink200,4398,117.557,-728410.154415,25787.4713465
20260731-135816_r10_s10000_fast_investigate1_shrink200,4590,123.611,-727888.375231,25265.692163
20260731-135816_r10_s10000_fast_investigate1_shrink200,4757,129.132,-727863.127584,25240.4445165
20260731-135816_r10_s10000_fast_investigate1_shrink200,4871,132.85,-727860.655477,25237.9724092
20260731-135816_r10_s10000_fast_investigate1_shrink200,5031,137.42,-727675.861857,25053.1787888
20260731-135816_r10_s10000_fast_investigate1_shrink200,5408,146.667,-727283.84077,24661.1577025
20260731-135816_r10_s10000_fast_investigate1_shrink200,5904,158.128,-727269.726784,24647.0437162
20260731-135816_r10_s10000_fast_investigate1_shrink200,5908,158.22,-727192.396269,24569.713201
20260731-135816_r10_s10000_fast_investigate1_shrink200,6261,166.321,-727140.500841,24517.8177727
20260731-135816_r10_s10000_fast_investigate1_shrink200,6596,174.075,-727136.850732,24514.1676635
20260731-135816_r10_s10000_fast_investigate1_shrink200,8781,226.806,-727131.586397,24508.903329
20260731-135816_r10_s10000_fast_investigate1_shrink200,8835,228.22,-727131.445541,24508.7624727
20260731-135816_r10_s10000_fast_investigate1_shrink200,9467,243.852,-727131.445541,24508.7624727
20260731-140927_r10_s10000_fast_investigate1_shrink200,0,0.763,-751050.986033,48428.3029653
20260731-140927_r10_s10000_fast_investigate1_shrink200,20,1.7,-750609.521163,47986.8380952
20260731-140927_r10_s10000_fast_investigate1_shrink200,24,1.892,-749477.976326,46855.2932584
20260731-140927_r10_s10000_fast_investigate1_shrink200,31,2.21,-749428.494417,46805.8113485
20260731-140927_r10_s10000_fast_investigate1_shrink200,33,2.292,-748821.082564,46198.3994961
20260731-140927_r10_s10000_fast_investigate1_shrink200,61,3.309,-748197.488877,45574.8058095
20260731-140927_r10_s10000_fast_investigate1_shrink200,67,3.492,-748091.537806,45468.8547385
20260731-140927_r10_s10000_fast_investigate1_shrink200,194,7.625,-747558.394118,44935.7110497
20260731-140927_r10_s10000_fast_investigate1_shrink200,213,8.226,-747542.802052,44920.1189845
20260731-140927_r10_s10000_fast_investigate1_shrink200,215,8.286,-747096.365208,44473.6821399
20260731-140927_r10_s10000_fast_investigate1_shrink200,219,8.385,-746605.992831,43983.3097634
20260731-140927_r10_s10000_fast_investigate1_shrink200,231,8.956,-746510.779539,43888.0964709
20260731-140927_r10_s10000_fast_investigate1_shrink200,235,9.142,-745726.652804,43103.9697362
20260731-140927_r10_s10000_fast_investigate1_shrink200,276,10.72,-745521.763033,42899.0799648
20260731-140927_r10_s10000_fast_investigate1_shrink200,280,10.886,-744631.704672,42009.0216041
20260731-140927_r10_s10000_fast_investigate1_shrink200,297,11.508,-744013.1592,41390.4761322
20260731-140927_r10_s10000_fast_investigate1_shrink200,301,11.671,-744008.362524,41385.6794557
20260731-140927_r10_s10000_fast_investigate1_shrink200,310,11.981,-743866.405329,41243.7222606
20260731-140927_r10_s10000_fast_investigate1_shrink200,314,12.143,-743830.772193,41208.0891253
20260731-140927_r10_s10000_fast_investigate1_shrink200,318,12.276,-743185.236233,40562.5531653
20260731-140927_r10_s10000_fast_investigate1_shrink200,338,13.041,-742954.91032,40332.2272519
20260731-140927_r10_s10000_fast_investigate1_shrink200,340,13.131,-742544.008145,39921.325077
20260731-140927_r10_s10000_fast_investigate1_shrink200,412,15.672,-742132.62946,39509.9463917
20260731-140927_r10_s10000_fast_investigate1_shrink200,467,17.632,-741754.886263,39132.2031952
20260731-140927_r10_s10000_fast_investigate1_shrink200,481,18.115,-741638.558322,39015.8752536
20260731-140927_r10_s10000_fast_investigate1_shrink200,547,20.439,-741404.538948,38781.8558798
20260731-140927_r10_s10000_fast_investigate1_shrink200,554,20.696,-741153.499881,38530.8168127
20260731-140927_r10_s10000_fast_investigate1_shrink200,558,20.852,-740090.208328,37467.5252596
20260731-140927_r10_s10000_fast_investigate1_shrink200,622,23.152,-739875.945992,37253.2629238
20260731-140927_r10_s10000_fast_investigate1_shrink200,687,25.42,-739603.513622,36980.8305538
20260731-140927_r10_s10000_fast_investigate1_shrink200,846,30.811,-739178.091389,36555.4083214
20260731-140927_r10_s10000_fast_investigate1_shrink200,915,33.217,-738347.815177,35725.1321092
20260731-140927_r10_s10000_fast_investigate1_shrink200,1096,40.325,-738228.293234,35605.6101659
20260731-140927_r10_s10000_fast_investigate1_shrink200,1135,42.246,-737451.64916,34828.9660925
20260731-140927_r10_s10000_fast_investigate1_shrink200,1139,42.453,-737400.948425,34778.2653568
20260731-140927_r10_s10000_fast_investigate1_shrink200,1153,43.148,-737396.022727,34773.3396592
20260731-140927_r10_s10000_fast_investigate1_shrink200,1166,43.762,-737333.633337,34710.9502686
20260731-140927_r10_s10000_fast_investigate1_shrink200,1217,45.853,-737257.126755,34634.4436868
20260731-140927_r10_s10000_fast_investigate1_shrink200,1246,47.092,-737038.710529,34416.027461
20260731-140927_r10_s10000_fast_investigate1_shrink200,1248,47.178,-736711.093857,34088.4107892
20260731-140927_r10_s10000_fast_investigate1_shrink200,1252,47.321,-736551.553122,33928.8700541
20260731-140927_r10_s10000_fast_investigate1_shrink200,1404,53.79,-736371.923512,33749.2404442
20260731-140927_r10_s10000_fast_investigate1_shrink200,1431,55.008,-736249.771969,33627.088901
20260731-140927_r10_s10000_fast_investigate1_shrink200,1557,60.022,-735966.75881,33344.0757425
20260731-140927_r10_s10000_fast_investigate1_shrink200,1758,67.465,-735924.539257,33301.856189
20260731-140927_r10_s10000_fast_investigate1_shrink200,1873,71.969,-735128.771763,32506.0886954
20260731-140927_r10_s10000_fast_investigate1_shrink200,1950,74.315,-734815.444462,32192.7613943
20260731-140927_r10_s10000_fast_investigate1_shrink200,2324,85.479,-734631.218829,32008.5357614
20260731-140927_r10_s10000_fast_investigate1_shrink200,2675,97.279,-734465.780946,31843.0978776
20260731-140927_r10_s10000_fast_investigate1_shrink200,2796,101.401,-734247.333583,31624.6505146
20260731-140927_r10_s10000_fast_investigate1_shrink200,2851,103.313,-733962.479252,31339.7961841
20260731-140927_r10_s10000_fast_investigate1_shrink200,2925,106.482,-733621.493189,30998.810121
20260731-140927_r10_s10000_fast_investigate1_shrink200,2929,106.682,-733237.652648,30614.9695803
