run_id,candidates,time_elapsed,logL,true_minus_current
20260803-145453_r10_s10000_fast_investigate3_alternate,0,0.719,-751050.986033,48428.3029653
20260803-145453_r10_s10000_fast_investigate3_alternate,2,0.849,-751005.47739,48382.7943216
20260803-145453_r10_s10000_fast_investigate3_alternate,16,1.387,-750848.60556,48225.9224925
20260803-145453_r10_s10000_fast_investigate3_alternate,40,2.322,-750825.355308,48202.6722397
20260803-145453_r10_s10000_fast_investigate3_alternate,67,3.221,-750164.752846,47542.0697782
20260803-145453_r10_s10000_fast_investigate3_alternate,82,3.597,-750076.063823,47453.3807552
20260803-145453_r10_s10000_fast_investigate3_alternate,123,4.669,-749695.889882,47073.2068138
20260803-145453_r10_s10000_fast_investigate3_alternate,160,5.586,-749691.768104,47069.085036
20260803-145453_r10_s10000_fast_investigate3_alternate,172,5.889,-749682.822443,47060.1393751
20260803-145453_r10_s10000_fast_investigate3_alternate,213,6.899,-749388.609036,46765.9259681
20260803-145453_r10_s10000_fast_investigate3_alternate,233,7.412,-749339.858255,46717.1751868
20260803-145453_r10_s10000_fast_investigate3_alternate,254,7.935,-749324.472085,46701.789017
20260803-145453_r10_s10000_fast_investigate3_alternate,290,8.837,-748700.815461,46078.1323928
20260803-145453_r10_s10000_fast_investigate3_alternate,331,9.874,-748456.348103,45833.6650354
20260803-145453_r10_s10000_fast_investigate3_alternate,377,11.367,-748043.330227,45420.6471587
20260803-145453_r10_s10000_fast_investigate3_alternate,472,14.621,-747694.024409,45071.3413409
20260803-145453_r10_s10000_fast_investigate3_alternate,493,15.253,-747317.042751,44694.3596825
20260803-145453_r10_s10000_fast_investigate3_alternate,510,15.749,-747069.132646,44446.4495784
20260803-145453_r10_s10000_fast_investigate3_alternate,528,16.281,-746885.017651,44262.3345835
20260803-145453_r10_s10000_fast_investigate3_alternate,548,16.948,-746744.666786,44121.9837184
20260803-145453_r10_s10000_fast_investigate3_alternate,584,18.071,-746467.731909,43845.0488407
20260803-145453_r10_s10000_fast_investigate3_alternate,620,18.999,-746414.965365,43792.2822971
20260803-145453_r10_s10000_fast_investigate3_alternate,630,19.245,-745168.349046,42545.6659779
20260803-145453_r10_s10000_fast_investigate3_alternate,646,19.64,-745027.628903,42404.9458348
20260803-145453_r10_s10000_fast_investigate3_alternate,693,20.919,-744959.700642,42337.0175738
20260803-145453_r10_s10000_fast_investigate3_alternate,701,21.138,-744593.683713,41971.0006448
