run_id,candidates,time_elapsed,logL,true_minus_current
20260804-173027_r10_s10000_fast_investigate3_shrink200_findopt500,0,0.367,-751050.986033,48428.3029653
20260804-173027_r10_s10000_fast_investigate3_shrink200_findopt500,27,0.949,-751038.185666,48415.5025977
20260804-173027_r10_s10000_fast_investigate3_shrink200_findopt500,43,1.291,-750651.396225,48028.7131574
20260804-173027_r10_s10000_fast_investigate3_shrink200_findopt500,56,1.591,-750649.578542,48026.8954737
20260804-173027_r10_s10000_fast_investigate3_shrink200_findopt500,64,1.777,-750415.030723,47792.3476548
20260804-173027_r10_s10000_fast_investigate3_shrink200_findopt500,82,2.237,-747951.139705,45328.4566366
20260804-173027_r10_s10000_fast_investigate3_shrink200_findopt500,121,3.185,-747667.659565,45044.9764972
20260804-173027_r10_s10000_fast_investigate3_shrink200_findopt500,129,3.344,-747549.241685,44926.5586174
20260804-173027_r10_s10000_fast_investigate3_shrink200_findopt500,165,4.147,-747006.759902,44384.0768339
20260804-173027_r10_s10000_fast_investigate3_shrink200_findopt500,189,4.743,-746982.779208,44360.0961398
20260804-173027_r10_s10000_fast_investigate3_shrink200_findopt500,193,4.84,-746876.220917,44253.5378486
20260804-173027_r10_s10000_fast_investigate3_shrink200_findopt500,214,5.321,-746668.331029,44045.6479612
20260804-173027_r10_s10000_fast_investigate3_shrink200_findopt500,220,5.431,-746498.950168,43876.2670998
20260804-173027_r10_s10000_fast_investigate3_shrink200_findopt500,229,5.838,-746485.631587,43862.9485186
20260804-173027_r10_s10000_fast_investigate3_shrink200_findopt500,262,6.791,-746135.986331,43513.3032631
20260804-173027_r10_s10000_fast_investigate3_shrink200_findopt500,333,8.803,-744009.939357,41387.2562892
20260804-173027_r10_s10000_fast_investigate3_shrink200_findopt500,362,9.618,-743890.72598,41268.0429123
20260804-173027_r10_s10000_fast_investigate3_shrink200_findopt500,370,9.845,-743225.991109,40603.308041
20260804-173027_r10_s10000_fast_investigate3_shrink200_findopt500,412,11.006,-743011.831544,40389.148476
20260804-173027_r10_s10000_fast_investigate3_shrink200_findopt500,439,11.734,-742351.974168,39729.2910997
20260804-173027_r10_s10000_fast_investigate3_shrink200_findopt500,504,13.514,-741792.050496,39169.3674285
20260804-173027_r10_s10000_fast_investigate3_shrink200_findopt500,512,13.736,-740795.404408,38172.7213404
20260804-173027_r10_s10000_fast_investigate3_shrink200_findopt500,523,14.037,-740382.308399,37759.6253311
20260804-173027_r10_s10000_fast_investigate3_shrink200_findopt500,535,14.372,-740371.492215,37748.8091472
20260804-173027_r10_s10000_fast_investigate3_shrink200_findopt500,623,16.762,-740066.124803,37443.4417351
20260804-173027_r10_s10000_fast_investigate3_shrink200_findopt500,648,17.445,-739851.375179,37228.6921114
20260804-173027_r10_s10000_fast_investigate3_shrink200_findopt500,655,17.662,-709927.905247,7305.22217901
20260804-173027_r10_s10000_fast_investigate3_shrink200_findopt500,737,19.925,-739627.395432,37004.7123638
20260804-173027_r10_s10000_fast_investigate3_shrink200_findopt500,753,20.362,-739088.537026,36465.8539579
20260804-173027_r10_s10000_fast_investigate3_shrink200_findopt500,818,22.148,-739008.973311,36386.2902429
20260804-173027_r10_s10000_fast_investigate3_shrink200_findopt500,824,22.316,-738748.979599,36126.2965307
20260804-173027_r10_s10000_fast_investigate3_shrink200_findopt500,832,22.534,-738540.025112,35917.3420443
20260804-173027_r10_s10000_fast_investigate3_shrink200_findopt500,845,22.901,-738461.24883,35838.5657619
20260804-173027_r10_s10000_fast_investigate3_shrink200_findopt500,859,23.283,-737541.759476,34919.0764076
20260804-173027_r10_s10000_fast_investigate3_shrink200_findopt500,935,25.356,-735984.781562,33362.0984944
20260804-173027_r10_s10000_fast_investigate3_shrink200_findopt500,972,26.361,-735174.363364,32551.6802961
20260804-173027_r10_s10000_fast_investigate3_shrink200_findopt500,1000,27.118,-734967.698846,32345.0157785
20260804-173027_r10_s10000_fast_investigate3_shrink200_findopt500,1011,27.421,-734888.910995,32266.2279275
20260804-173027_r10_s10000_fast_investigate3_shrink200_findopt500,1038,28.237,-734860.33939,32237.6563221
20260804-173027_r10_s10000_fast_investigate3_shrink200_findopt500,1087,29.579,-734301.684875,31679.0018075
20260804-173027_r10_s10000_fast_investigate3_shrink200_findopt500,1097,29.871,-733969.646416,31346.9633479
20260804-173027_r10_s10000_fast_investigate3_shrink200_findopt500,1287,34.553,-733807.188712,31184.5056444
20260804-173027_r10_s10000_fast_investigate3_shrink200_findopt500,1313,35.081,-705885.625108,3262.94203968
