run_id,candidates,time_elapsed,logL,true_minus_current
20260730-161035_r5_s10000_fast_massapply2,0,0.374,-751050.986033,48428.3029653
20260730-161035_r5_s10000_fast_massapply2,32,1.03,-750250.881703,47628.1986348
20260730-161035_r5_s10000_fast_massapply2,56,1.565,-749959.669001,47336.9859335
20260730-161035_r5_s10000_fast_massapply2,138,3.395,-749567.212547,46944.5294789
20260730-161035_r5_s10000_fast_massapply2,467,10.242,-749433.436087,46810.7530187
20260730-161035_r5_s10000_fast_massapply2,497,10.919,-749140.813708,46518.1306399
20260730-161035_r5_s10000_fast_massapply2,567,12.776,-748454.879093,45832.1960255
20260730-161035_r5_s10000_fast_massapply2,606,13.621,-747437.697357,44815.0142895
20260730-161035_r5_s10000_fast_massapply2,785,17.802,-746459.176736,43836.4936676
20260730-161035_r5_s10000_fast_massapply2,882,20.152,-745972.606793,43349.9237246
20260730-161035_r5_s10000_fast_massapply2,1042,23.421,-745825.224348,43202.5412801
20260730-161035_r5_s10000_fast_massapply2,1118,25.179,-745744.509111,43121.8260428
20260730-161035_r5_s10000_fast_massapply2,1129,25.419,-745552.645839,42929.962771
20260730-161035_r5_s10000_fast_massapply2,1354,29.981,-745409.150308,42786.4672396
20260730-161035_r5_s10000_fast_massapply2,1432,31.523,-744374.812664,41752.1295957
20260730-161035_r5_s10000_fast_massapply2,1446,31.811,-743710.104235,41087.4211666
20260730-161035_r5_s10000_fast_massapply2,1512,33.386,-743471.170612,40848.4875436
20260730-161035_r5_s10000_fast_massapply2,1581,34.925,-743105.779553,40483.0964851
20260730-161035_r5_s10000_fast_massapply2,2183,48.465,-742248.500245,39625.8171771
20260730-161035_r5_s10000_fast_massapply2,2267,50.606,-741863.22664,39240.5435717
20260730-161035_r5_s10000_fast_massapply2,2291,51.207,-741524.074952,38901.3918839
20260730-161035_r5_s10000_fast_massapply2,2376,52.946,-741069.110753,38446.4276846
20260730-161035_r5_s10000_fast_massapply2,2683,59.309,-740128.514631,37505.8315631
20260730-161035_r5_s10000_fast_massapply2,2887,63.519,-739811.590823,37188.9077553
20260730-161035_r5_s10000_fast_massapply2,2943,64.715,-739769.033994,37146.3509263
20260730-161035_r5_s10000_fast_massapply2,2949,64.868,-739080.989566,36458.3064983
20260730-161035_r5_s10000_fast_massapply2,3269,71.214,-739060.704341,36438.0212732
20260730-161035_r5_s10000_fast_massapply2,3356,73.243,-738610.653143,35987.970075
20260730-161035_r5_s10000_fast_massapply2,3536,77.094,-738089.908729,35467.2256607
20260730-161035_r5_s10000_fast_massapply2,4595,97.294,-737626.804915,35004.1218469
20260730-161035_r5_s10000_fast_massapply2,4808,101.568,-737347.570731,34724.8876631
20260730-161035_r5_s10000_fast_massapply2,4961,104.817,-737209.895415,34587.212347
20260730-161035_r5_s10000_fast_massapply2,5026,106.353,-737055.557115,34432.8740474
20260730-161035_r5_s10000_fast_massapply2,5147,108.983,-737027.225652,34404.5425842
20260730-161035_r5_s10000_fast_massapply2,5375,113.664,-736994.805661,34372.1225928
20260730-161035_r5_s10000_fast_massapply2,6052,126.883,-736903.330582,34280.6475139
20260730-161035_r5_s10000_fast_massapply2,6978,145.318,-736845.263832,34222.5807641
20260730-161035_r5_s10000_fast_massapply2,8040,166.294,-736787.775912,34165.092844
20260730-161035_r5_s10000_fast_massapply2,8411,173.602,-736712.762482,34090.0794136
20260730-161035_r5_s10000_fast_massapply2,9065,186.355,-736382.741878,33760.0588096
20260730-161035_r5_s10000_fast_massapply2,9162,188.436,-736304.571164,33681.8880957
20260730-161035_r5_s10000_fast_massapply2,9323,191.736,-736054.760291,33432.0772229
20260730-161035_r5_s10000_fast_massapply2,9647,198.288,-735606.775222,32984.0921545
20260730-161035_r5_s10000_fast_massapply2,9824,202.038,-735053.723639,32431.040571
20260730-161035_r5_s10000_fast_massapply2,9953,205.241,-735024.872891,32402.1898234
