run_id,candidates,time_elapsed,logL,true_minus_current
20260730-162237_r10_s5000_fast_prescreen,0,0.38,-751050.986033,48428.3029653
20260730-162237_r10_s5000_fast_prescreen,1,0.643,-750376.629437,47753.9463694
20260730-162237_r10_s5000_fast_prescreen,2,0.913,-750321.278432,47698.5953641
20260730-162237_r10_s5000_fast_prescreen,3,1.105,-749798.821811,47176.1387432
20260730-162237_r10_s5000_fast_prescreen,4,1.344,-749289.582404,46666.8993361
20260730-162237_r10_s5000_fast_prescreen,5,1.665,-749232.860765,46610.1776971
20260730-162237_r10_s5000_fast_prescreen,6,2.023,-748783.899334,46161.2162658
20260730-162237_r10_s5000_fast_prescreen,7,2.085,-748652.788416,46030.1053475
20260730-162237_r10_s5000_fast_prescreen,10,2.905,-748416.408392,45793.7253236
20260730-162237_r10_s5000_fast_prescreen,11,3.127,-747754.749415,45132.0663469
20260730-162237_r10_s5000_fast_prescreen,12,3.217,-747599.931229,44977.2481614
20260730-162237_r10_s5000_fast_prescreen,15,4.033,-746796.756437,44174.0733693
20260730-162237_r10_s5000_fast_prescreen,16,4.142,-746614.081215,43991.3981468
20260730-162237_r10_s5000_fast_prescreen,18,5.499,-746550.137068,43927.4540001
20260730-162237_r10_s5000_fast_prescreen,20,6.246,-746546.725701,43924.0426328
20260730-162237_r10_s5000_fast_prescreen,22,6.846,-746156.023598,43533.3405296
20260730-162237_r10_s5000_fast_prescreen,23,7.054,-745901.476824,43278.7937556
20260730-162237_r10_s5000_fast_prescreen,24,7.476,-745794.895781,43172.2127131
20260730-162237_r10_s5000_fast_prescreen,29,9.999,-745453.287244,42830.604176
20260730-162237_r10_s5000_fast_prescreen,31,11.841,-744615.517299,41992.8342306
20260730-162237_r10_s5000_fast_prescreen,32,12.476,-744219.79561,41597.1125417
20260730-162237_r10_s5000_fast_prescreen,34,16.115,-743910.653553,41287.9704853
20260730-162237_r10_s5000_fast_prescreen,36,16.539,-742905.281141,40282.5980726
20260730-162237_r10_s5000_fast_prescreen,37,17.514,-742544.74192,39922.0588521
20260730-162237_r10_s5000_fast_prescreen,38,17.863,-742371.519612,39748.8365437
20260730-162237_r10_s5000_fast_prescreen,39,18.763,-742239.378299,39616.695231
20260730-162237_r10_s5000_fast_prescreen,40,22.265,-742209.900363,39587.2172948
20260730-162237_r10_s5000_fast_prescreen,41,23.281,-741565.244735,38942.5616668
20260730-162237_r10_s5000_fast_prescreen,42,26.184,-741092.598513,38469.9154446
