run_id,candidates,time_elapsed,logL,true_minus_current
20260804-170829_r10_s3000_fast_reopt_findopt150,0,5.135,-717176.430799,14553.7477312
20260804-170829_r10_s3000_fast_reopt_findopt150,6,5.686,-716278.62994,13655.9468721
20260804-170829_r10_s3000_fast_reopt_findopt150,15,6.524,-716251.948196,13629.2651278
20260804-170829_r10_s3000_fast_reopt_findopt150,22,7.247,-716246.032007,13623.3489386
20260804-170829_r10_s3000_fast_reopt_findopt150,25,7.581,-716240.833536,13618.1504676
20260804-170829_r10_s3000_fast_reopt_findopt150,33,8.4,-715898.698999,13276.0159308
20260804-170829_r10_s3000_fast_reopt_findopt150,42,9.207,-715772.033377,13149.3503086
20260804-170829_r10_s3000_fast_reopt_findopt150,52,10.023,-715747.610235,13124.9271667
20260804-170829_r10_s3000_fast_reopt_findopt150,67,11.291,-715473.449457,12850.766389
20260804-170829_r10_s3000_fast_reopt_findopt150,96,13.977,-715317.578201,12694.8951333
20260804-170829_r10_s3000_fast_reopt_findopt150,139,18.189,-715316.314331,12693.6312632
20260804-170829_r10_s3000_fast_reopt_findopt150,143,18.615,-714718.721744,12096.0386762
20260804-170829_r10_s3000_fast_reopt_findopt150,147,19.036,-714564.021715,11941.3386466
20260804-170829_r10_s3000_fast_reopt_findopt150,150,19.381,-713646.567409,11023.8843407
20260804-170829_r10_s3000_fast_reopt_findopt150,174,21.682,-714554.443338,11931.7602702
20260804-170829_r10_s3000_fast_reopt_findopt150,184,22.692,-714463.652948,11840.9698796
20260804-170829_r10_s3000_fast_reopt_findopt150,188,23.113,-714185.190094,11562.5070257
20260804-170829_r10_s3000_fast_reopt_findopt150,208,25.22,-714143.991284,11521.3082156
20260804-170829_r10_s3000_fast_reopt_findopt150,219,26.45,-713816.797993,11194.1149248
20260804-170829_r10_s3000_fast_reopt_findopt150,233,27.885,-712748.609619,10125.926551
20260804-170829_r10_s3000_fast_reopt_findopt150,240,28.549,-712747.390073,10124.7070051
20260804-170829_r10_s3000_fast_reopt_findopt150,248,29.268,-712442.657594,9819.97452633
20260804-170829_r10_s3000_fast_reopt_findopt150,254,29.794,-712400.635337,9777.95226872
20260804-170829_r10_s3000_fast_reopt_findopt150,261,30.457,-712392.599889,9769.91682087
20260804-170829_r10_s3000_fast_reopt_findopt150,300,34.09,-710526.869838,7904.18677025
20260804-170829_r10_s3000_fast_reopt_findopt150,325,36.601,-712231.869816,9609.18674837
20260804-170829_r10_s3000_fast_reopt_findopt150,332,37.279,-711973.610806,9350.9277376
20260804-170829_r10_s3000_fast_reopt_findopt150,368,40.484,-711613.795251,8991.11218352
20260804-170829_r10_s3000_fast_reopt_findopt150,372,40.865,-711446.904531,8824.22146276
20260804-170829_r10_s3000_fast_reopt_findopt150,394,42.982,-711439.027932,8816.34486426
20260804-170829_r10_s3000_fast_reopt_findopt150,412,44.773,-711428.381719,8805.69865114
20260804-170829_r10_s3000_fast_reopt_findopt150,445,48.304,-711423.638874,8800.95580617
20260804-170829_r10_s3000_fast_reopt_findopt150,450,48.797,-708864.566014,6241.88294593
20260804-170829_r10_s3000_fast_reopt_findopt150,461,49.886,-711242.146265,8619.46319738
20260804-170829_r10_s3000_fast_reopt_findopt150,473,51.064,-710888.391784,8265.70871574
20260804-170829_r10_s3000_fast_reopt_findopt150,482,52.042,-709627.571721,7004.88865308
20260804-170829_r10_s3000_fast_reopt_findopt150,487,52.562,-709333.669438,6710.98636972
20260804-170829_r10_s3000_fast_reopt_findopt150,498,53.654,-709011.478103,6388.79503538
20260804-170829_r10_s3000_fast_reopt_findopt150,512,54.947,-708985.123711,6362.44064281
20260804-170829_r10_s3000_fast_reopt_findopt150,521,55.777,-708984.053013,6361.36994484
20260804-170829_r10_s3000_fast_reopt_findopt150,600,62.969,-706301.305846,3678.62277789
20260804-170829_r10_s3000_fast_reopt_findopt150,634,66.052,-708778.027668,6155.34459997
20260804-170829_r10_s3000_fast_reopt_findopt150,653,68.136,-708699.59907,6076.91600252
20260804-170829_r10_s3000_fast_reopt_findopt150,673,70.332,-708441.890569,5819.20750066
20260804-170829_r10_s3000_fast_reopt_findopt150,697,72.775,-708421.471865,5798.78879695
20260804-170829_r10_s3000_fast_reopt_findopt150,715,74.492,-708392.522421,5769.8393528
20260804-170829_r10_s3000_fast_reopt_findopt150,724,75.294,-708383.340979,5760.65791059
20260804-170829_r10_s3000_fast_reopt_findopt150,738,76.788,-708324.94652,5702.26345179
20260804-170829_r10_s3000_fast_reopt_findopt150,750,77.886,-705659.677482,3036.99441397
20260804-170829_r10_s3000_fast_reopt_findopt150,788,81.06,-708323.497073,5700.81400494
20260804-170829_r10_s3000_fast_reopt_findopt150,790,81.251,-708290.546487,5667.8634188
20260804-170829_r10_s3000_fast_reopt_findopt150,841,85.475,-708289.269595,5666.58652718
20260804-170829_r10_s3000_fast_reopt_findopt150,867,87.752,-707711.812242,5089.12917415
20260804-170829_r10_s3000_fast_reopt_findopt150,900,90.626,-705055.058203,2432.37513504
20260804-170829_r10_s3000_fast_reopt_findopt150,904,90.968,-707503.750445,4881.06737679
20260804-170829_r10_s3000_fast_reopt_findopt150,906,91.145,-707244.382464,4621.69939568
20260804-170829_r10_s3000_fast_reopt_findopt150,924,92.632,-707232.318176,4609.63510789
20260804-170829_r10_s3000_fast_reopt_findopt150,929,93.062,-707217.66385,4594.98078219
20260804-170829_r10_s3000_fast_reopt_findopt150,941,94.118,-706965.723773,4343.04070465
20260804-170829_r10_s3000_fast_reopt_findopt150,977,97.123,-706805.871513,4183.18844469
20260804-170829_r10_s3000_fast_reopt_findopt150,996,98.765,-706599.251976,3976.56890782
20260804-170829_r10_s3000_fast_reopt_findopt150,1015,100.357,-706566.672128,3943.98905957
20260804-170829_r10_s3000_fast_reopt_findopt150,1049,103.154,-706448.869426,3826.18635785
20260804-170829_r10_s3000_fast_reopt_findopt150,1050,103.238,-703655.515453,1032.83238497
20260804-170829_r10_s3000_fast_reopt_findopt150,1128,109.747,-706399.73155,3777.04848159
20260804-170829_r10_s3000_fast_reopt_findopt150,1158,112.257,-706293.341528,3670.65846035
20260804-170829_r10_s3000_fast_reopt_findopt150,1159,112.355,-706044.577875,3421.89480714
20260804-170829_r10_s3000_fast_reopt_findopt150,1200,115.96,-703404.235387,781.552319243
20260804-170829_r10_s3000_fast_reopt_findopt150,1231,118.58,-706042.261479,3419.57841111
20260804-170829_r10_s3000_fast_reopt_findopt150,1276,122.355,-706025.998002,3403.3149341
20260804-170829_r10_s3000_fast_reopt_findopt150,1285,123.173,-706023.315167,3400.63209866
20260804-170829_r10_s3000_fast_reopt_findopt150,1350,128.685,-703413.28877,790.605702023
20260804-170829_r10_s3000_fast_reopt_findopt150,1353,128.96,-706012.83863,3390.15556173
20260804-170829_r10_s3000_fast_reopt_findopt150,1379,131.177,-705970.893978,3348.21091012
20260804-170829_r10_s3000_fast_reopt_findopt150,1437,136.075,-705946.822163,3324.13909496
