run_id,candidates,time_elapsed,logL,true_minus_current
20260731-135258_r8_s60_fast_shrink3,0,0.648,-751050.986033,48428.3029653
20260731-135258_r8_s60_fast_shrink3,12,1.005,-750721.412731,48098.7296629
20260731-135258_r8_s60_fast_shrink3,14,1.076,-750654.563242,48031.8801739
20260731-135258_r8_s60_fast_shrink3,19,1.218,-750120.789984,47498.1069162
20260731-135258_r8_s60_fast_shrink3,25,1.399,-750096.897949,47474.2148811
20260731-135258_r8_s60_fast_shrink3,26,1.427,-749642.632794,47019.9497257
20260731-135258_r8_s60_fast_shrink3,28,1.482,-749382.647873,46759.9648051
20260731-135258_r8_s60_fast_shrink3,49,2.248,-749039.441839,46416.7587714
20260731-135258_r8_s60_fast_shrink3,57,2.56,-749039.441839,46416.7587714
20260731-140840_r8_s60_fast_shrink3,0,0.86,-751050.986033,48428.3029653
20260731-140840_r8_s60_fast_shrink3,29,2.008,-750843.657387,48220.9743194
20260731-140840_r8_s60_fast_shrink3,36,2.238,-750698.828369,48076.1453011
20260731-140840_r8_s60_fast_shrink3,51,2.727,-750391.616468,47768.9333998
20260731-140840_r8_s60_fast_shrink3,53,2.785,-749588.133391,46965.450323
20260731-140840_r8_s60_fast_shrink3,54,2.814,-749588.133391,46965.450323
20260731-142551_r10_s10000_fast_shrink200,0,0.671,-751050.986033,48428.3029653
20260731-142551_r10_s10000_fast_shrink200,15,1.208,-750861.692252,48239.0091843
20260731-142551_r10_s10000_fast_shrink200,17,1.299,-750238.041517,47615.3584488
20260731-142551_r10_s10000_fast_shrink200,30,1.748,-749922.489137,47299.8060689
20260731-142551_r10_s10000_fast_shrink200,38,2.018,-749892.912527,47270.2294585
20260731-142551_r10_s10000_fast_shrink200,62,2.734,-749886.73512,47264.0520518
20260731-142551_r10_s10000_fast_shrink200,66,2.872,-749464.706977,46842.0239086
20260731-142551_r10_s10000_fast_shrink200,68,2.922,-749414.28132,46791.5982522
20260731-142551_r10_s10000_fast_shrink200,94,3.563,-749017.204536,46394.5214676
20260731-142551_r10_s10000_fast_shrink200,108,3.9,-748238.862166,45616.1790978
20260731-142551_r10_s10000_fast_shrink200,124,4.305,-747919.879118,45297.1960496
20260731-142551_r10_s10000_fast_shrink200,151,4.986,-747690.840379,45068.157311
20260731-142551_r10_s10000_fast_shrink200,157,5.134,-746716.96016,44094.2770919
20260731-142551_r10_s10000_fast_shrink200,172,5.542,-746633.007168,44010.3241
20260731-142551_r10_s10000_fast_shrink200,189,6.114,-746585.440552,43962.757484
20260731-142551_r10_s10000_fast_shrink200,216,6.998,-745780.298154,43157.615086
20260731-142551_r10_s10000_fast_shrink200,222,7.172,-744915.946458,42293.2633901
20260731-142551_r10_s10000_fast_shrink200,246,7.987,-744811.030931,42188.347863
20260731-142551_r10_s10000_fast_shrink200,248,8.043,-744429.815662,41807.1325941
20260731-142551_r10_s10000_fast_shrink200,255,8.273,-743759.858414,41137.1753461
20260731-142551_r10_s10000_fast_shrink200,265,8.622,-743215.019659,40592.3365907
20260731-142551_r10_s10000_fast_shrink200,292,9.551,-743045.225607,40422.5425394
20260731-142551_r10_s10000_fast_shrink200,320,10.493,-742686.671025,40063.9879571
20260731-142551_r10_s10000_fast_shrink200,321,10.519,-742686.296985,40063.6139173
20260731-142551_r10_s10000_fast_shrink200,352,11.401,-742330.804202,39708.1211337
20260731-142551_r10_s10000_fast_shrink200,371,11.985,-742060.859506,39438.1764379
20260731-142551_r10_s10000_fast_shrink200,388,12.473,-741722.917739,39100.2346711
20260731-142551_r10_s10000_fast_shrink200,396,12.708,-741501.994476,38879.3114081
20260731-142551_r10_s10000_fast_shrink200,411,13.103,-741139.794725,38517.1116573
20260731-142551_r10_s10000_fast_shrink200,443,14.013,-741122.219885,38499.5368165
20260731-142551_r10_s10000_fast_shrink200,448,14.212,-738887.107855,36264.4247867
20260731-142551_r10_s10000_fast_shrink200,455,14.48,-737850.962782,35228.2797136
20260731-142551_r10_s10000_fast_shrink200,490,15.478,-737843.740935,35221.0578671
20260731-142551_r10_s10000_fast_shrink200,492,15.559,-737505.955205,34883.2721369
20260731-142551_r10_s10000_fast_shrink200,591,18.733,-737433.28735,34810.6042819
20260731-142551_r10_s10000_fast_shrink200,605,19.249,-736989.703128,34367.0200598
20260731-142551_r10_s10000_fast_shrink200,629,20.012,-736961.992992,34339.3099241
20260731-142551_r10_s10000_fast_shrink200,642,20.459,-736368.504182,33745.8211137
20260731-142551_r10_s10000_fast_shrink200,702,22.401,-736326.92019,33704.2371222
20260731-142551_r10_s10000_fast_shrink200,749,24.012,-736115.296725,33492.6136571
20260731-142551_r10_s10000_fast_shrink200,775,25.002,-736000.616888,33377.9338202
20260731-142551_r10_s10000_fast_shrink200,784,25.284,-735960.975151,33338.2920832
20260731-142551_r10_s10000_fast_shrink200,785,25.315,-735495.920902,32873.2378337
20260731-142551_r10_s10000_fast_shrink200,849,27.669,-735395.447347,32772.7642787
20260731-142551_r10_s10000_fast_shrink200,1234,38.373,-735307.528094,32684.8450262
20260731-142551_r10_s10000_fast_shrink200,1371,42.556,-735161.612875,32538.9298068
20260731-142551_r10_s10000_fast_shrink200,1392,43.269,-735137.106216,32514.4231484
20260731-142551_r10_s10000_fast_shrink200,1452,45.208,-735010.001149,32387.3180806
20260731-142551_r10_s10000_fast_shrink200,1511,46.968,-734985.14506,32362.4619921
20260731-142551_r10_s10000_fast_shrink200,1551,48.22,-734345.064284,31722.3812162
20260731-142551_r10_s10000_fast_shrink200,1634,50.5,-733998.792544,31376.1094765
20260731-142551_r10_s10000_fast_shrink200,1706,52.583,-733897.490383,31274.8073148
20260731-142551_r10_s10000_fast_shrink200,1755,53.931,-733799.485394,31176.8023256
20260731-142551_r10_s10000_fast_shrink200,1818,55.7,-733705.610803,31082.9277354
20260731-142551_r10_s10000_fast_shrink200,1823,55.87,-732488.161556,29865.4784877
20260731-142551_r10_s10000_fast_shrink200,2111,63.262,-732459.044278,29836.3612102
20260731-142551_r10_s10000_fast_shrink200,2177,64.958,-732435.82798,29813.1449116
20260731-142551_r10_s10000_fast_shrink200,2194,65.39,-732068.550549,29445.8674814
20260731-142551_r10_s10000_fast_shrink200,2257,67.089,-731938.789748,29316.1066795
20260731-142551_r10_s10000_fast_shrink200,2371,70.038,-731643.938338,29021.2552702
20260731-142551_r10_s10000_fast_shrink200,2385,70.396,-731573.80678,28951.1237115
20260731-142551_r10_s10000_fast_shrink200,2429,71.58,-731469.220596,28846.5375279
20260731-142551_r10_s10000_fast_shrink200,2489,73.373,-731379.246053,28756.5629848
20260731-142551_r10_s10000_fast_shrink200,2635,77.986,-731338.992387,28716.3093187
20260731-142551_r10_s10000_fast_shrink200,2734,80.975,-731086.160257,28463.4771885
20260731-142551_r10_s10000_fast_shrink200,2800,82.76,-731073.075675,28450.3926069
20260731-142551_r10_s10000_fast_shrink200,2814,83.106,-731043.863438,28421.1803703
20260731-142551_r10_s10000_fast_shrink200,3376,99.324,-730750.617227,28127.9341591
20260731-142551_r10_s10000_fast_shrink200,3482,102.064,-730152.001444,27529.3183765
20260731-142551_r10_s10000_fast_shrink200,3545,103.677,-729724.675271,27101.9922027
20260731-142551_r10_s10000_fast_shrink200,3742,108.942,-729593.899996,26971.2169276
20260731-142551_r10_s10000_fast_shrink200,3789,110.354,-729576.359482,26953.6764138
20260731-142551_r10_s10000_fast_shrink200,3836,111.792,-729534.428982,26911.7459142
20260731-142551_r10_s10000_fast_shrink200,4033,116.861,-729400.333923,26777.6508549
20260731-142551_r10_s10000_fast_shrink200,4274,122.99,-729361.498136,26738.8150678
20260731-142551_r10_s10000_fast_shrink200,4363,125.283,-729262.047759,26639.3646915
20260731-142551_r10_s10000_fast_shrink200,4615,131.982,-728891.612485,26268.929417
20260731-142551_r10_s10000_fast_shrink200,4695,134.128,-728841.087284,26218.4042157
20260731-142551_r10_s10000_fast_shrink200,5213,147.246,-728448.595935,25825.9128667
20260731-142551_r10_s10000_fast_shrink200,5421,152.745,-728141.055036,25518.3719684
20260731-142551_r10_s10000_fast_shrink200,5453,153.633,-728123.258038,25500.57497
20260731-142551_r10_s10000_fast_shrink200,5821,162.692,-727554.420836,24931.7377675
20260731-142551_r10_s10000_fast_shrink200,5920,165.265,-727228.698344,24606.0152756
20260731-142551_r10_s10000_fast_shrink200,7196,198.183,-726806.631483,24183.9484154
20260731-142551_r10_s10000_fast_shrink200,7507,206.118,-726778.618026,24155.9349585
20260731-142551_r10_s10000_fast_shrink200,8294,226.218,-726746.551131,24123.8680632
20260731-142551_r10_s10000_fast_shrink200,8453,230.396,-726742.390717,24119.7076491
20260731-142551_r10_s10000_fast_shrink200,9271,251.185,-726719.274445,24096.5913767
20260731-142551_r10_s10000_fast_shrink200,9276,251.322,-726719.274445,24096.5913767
20260731-161509_r10_s2000_fast5_shrink150,0,0.466,-751050.986033,48428.3029653
20260731-161509_r10_s2000_fast5_shrink150,5,0.59,-750499.390039,47876.7069711
20260731-161509_r10_s2000_fast5_shrink150,15,0.864,-750151.556338,47528.8732698
20260731-161509_r10_s2000_fast5_shrink150,20,0.989,-749494.550413,46871.8673455
20260731-161509_r10_s2000_fast5_shrink150,35,1.297,-748507.333831,45884.6507626
20260731-161509_r10_s2000_fast5_shrink150,50,1.618,-748355.119036,45732.4359681
20260731-161509_r10_s2000_fast5_shrink150,95,2.657,-748325.378479,45702.695411
20260731-161509_r10_s2000_fast5_shrink150,120,3.2,-748048.504723,45425.8216554
20260731-161509_r10_s2000_fast5_shrink150,180,4.581,-747706.720434,45084.0373662
20260731-161509_r10_s2000_fast5_shrink150,210,5.234,-747254.798097,44632.115029
20260731-161509_r10_s2000_fast5_shrink150,220,5.492,-747223.906858,44601.2237896
20260731-161509_r10_s2000_fast5_shrink150,235,5.861,-746994.293606,44371.6105381
20260731-161509_r10_s2000_fast5_shrink150,250,6.235,-746874.028083,44251.3450147
20260731-161509_r10_s2000_fast5_shrink150,290,7.212,-746060.957279,43438.2742107
20260731-161509_r10_s2000_fast5_shrink150,300,7.416,-745747.153244,43124.4701757
20260731-161509_r10_s2000_fast5_shrink150,315,7.781,-745464.578339,42841.8952712
20260731-161509_r10_s2000_fast5_shrink150,320,7.921,-745423.821262,42801.1381942
20260731-161509_r10_s2000_fast5_shrink150,330,8.128,-745410.935079,42788.2520114
20260731-161509_r10_s2000_fast5_shrink150,345,8.469,-745035.11142,42412.4283518
20260731-161509_r10_s2000_fast5_shrink150,435,10.376,-744963.985616,42341.3025482
20260731-161509_r10_s2000_fast5_shrink150,565,13.191,-744638.496521,42015.8134532
20260731-161509_r10_s2000_fast5_shrink150,625,14.57,-744288.344667,41665.6615986
20260731-161509_r10_s2000_fast5_shrink150,660,15.424,-743910.113438,41287.4303698
20260731-161509_r10_s2000_fast5_shrink150,700,16.592,-743680.784335,41058.1012667
20260731-161509_r10_s2000_fast5_shrink150,810,19.229,-743305.249431,40682.5663634
20260731-161509_r10_s2000_fast5_shrink150,820,19.516,-742763.264406,40140.5813379
20260731-161509_r10_s2000_fast5_shrink150,870,21.083,-742621.079068,39998.3960004
20260731-161509_r10_s2000_fast5_shrink150,1030,25.148,-742370.653554,39747.9704857
20260731-161509_r10_s2000_fast5_shrink150,1055,25.78,-742143.244969,39520.5619013
20260731-161509_r10_s2000_fast5_shrink150,1080,26.449,-741933.471153,39310.7880848
20260731-161509_r10_s2000_fast5_shrink150,1115,27.226,-741304.972121,38682.289053
20260731-161509_r10_s2000_fast5_shrink150,1130,27.512,-741000.320748,38377.63768
20260731-161509_r10_s2000_fast5_shrink150,1350,32.515,-739807.332728,37184.6496599
20260731-161509_r10_s2000_fast5_shrink150,1355,32.641,-739492.761009,36870.0779412
20260731-161509_r10_s2000_fast5_shrink150,1400,33.708,-738669.723893,36047.0408251
20260731-161509_r10_s2000_fast5_shrink150,1475,35.423,-738166.064462,35543.3813939
20260731-161509_r10_s2000_fast5_shrink150,1550,37.118,-736774.342359,34151.659291
20260731-161509_r10_s2000_fast5_shrink150,1590,38.274,-736773.376037,34150.6929692
20260731-161509_r10_s2000_fast5_shrink150,1845,43.855,-736563.738063,33941.0549955
20260731-161509_r10_s2000_fast5_shrink150,1895,44.928,-736482.030741,33859.3476734
20260731-161509_r10_s2000_fast5_shrink150,1925,45.627,-736198.51351,33575.8304422
20260731-161509_r10_s2000_fast5_shrink150,2180,51.088,-735902.231646,33279.5485782
20260731-161509_r10_s2000_fast5_shrink150,2585,59.921,-735614.85159,32992.1685223
20260731-161509_r10_s2000_fast5_shrink150,2790,64.354,-735575.896098,32953.2130305
20260731-161509_r10_s2000_fast5_shrink150,2815,64.94,-735403.295046,32780.6119778
20260731-161509_r10_s2000_fast5_shrink150,2940,68.241,-735148.810513,32526.1274447
20260731-161509_r10_s2000_fast5_shrink150,2955,68.596,-735134.509691,32511.8266227
20260731-161509_r10_s2000_fast5_shrink150,2960,68.687,-735088.272352,32465.5892839
20260731-161509_r10_s2000_fast5_shrink150,3030,70.381,-735081.063182,32458.3801138
20260731-161509_r10_s2000_fast5_shrink150,3500,81.075,-735016.356129,32393.6730611
20260731-161509_r10_s2000_fast5_shrink150,3615,83.701,-734880.901914,32258.2188459
20260731-161509_r10_s2000_fast5_shrink150,3620,83.807,-734767.01698,32144.3339122
20260731-161509_r10_s2000_fast5_shrink150,3670,85.012,-734167.712157,31545.0290887
