run_id,candidates,time_elapsed,logL,true_minus_current
20260803-144813_r10_s8000_fast_sweep5,0,0.859,-751050.986033,48428.3029653
20260803-144813_r10_s8000_fast_sweep5,14,1.508,-750394.275174,47771.5921059
20260803-144813_r10_s8000_fast_sweep5,38,2.578,-750185.290666,47562.6075981
20260803-144813_r10_s8000_fast_sweep5,40,2.711,-750048.786704,47426.1036364
20260803-144813_r10_s8000_fast_sweep5,98,4.559,-749415.348015,46792.6649465
20260803-144813_r10_s8000_fast_sweep5,113,4.914,-749202.930482,46580.2474137
20260803-144813_r10_s8000_fast_sweep5,117,5.022,-748768.189356,46145.5062877
20260803-144813_r10_s8000_fast_sweep5,140,5.68,-748348.668161,45725.9850928
20260803-144813_r10_s8000_fast_sweep5,142,5.728,-748225.546014,45602.8629462
20260803-144813_r10_s8000_fast_sweep5,146,5.834,-747437.739412,44815.0563436
20260803-144813_r10_s8000_fast_sweep5,155,6.043,-747156.579027,44533.8959595
20260803-144813_r10_s8000_fast_sweep5,160,6.164,-746659.617007,44036.9339388
20260803-144813_r10_s8000_fast_sweep5,165,6.291,-746470.244863,43847.5617947
20260803-144813_r10_s8000_fast_sweep5,192,6.95,-746095.00337,43472.3203019
20260803-144813_r10_s8000_fast_sweep5,228,7.804,-745907.090735,43284.4076669
20260803-144813_r10_s8000_fast_sweep5,234,7.947,-745666.853681,43044.1706127
20260803-144813_r10_s8000_fast_sweep5,241,8.122,-745105.657342,42482.9742742
20260803-144813_r10_s8000_fast_sweep5,288,9.23,-745035.445759,42412.7626905
20260803-144813_r10_s8000_fast_sweep5,294,9.409,-744920.698017,42298.014949
20260803-144813_r10_s8000_fast_sweep5,334,10.544,-744662.586623,42039.903555
20260803-144813_r10_s8000_fast_sweep5,351,10.971,-743779.137654,41156.4545859
20260803-144813_r10_s8000_fast_sweep5,372,11.498,-742876.929316,40254.2462477
20260803-144813_r10_s8000_fast_sweep5,378,11.646,-742468.658072,39845.9750045
20260803-144813_r10_s8000_fast_sweep5,421,12.671,-742217.665607,39594.9825388
20260803-144813_r10_s8000_fast_sweep5,489,14.24,-742171.98485,39549.3017819
20260803-144813_r10_s8000_fast_sweep5,503,14.6,-742131.361024,39508.6779557
20260803-144813_r10_s8000_fast_sweep5,521,15.097,-741449.289827,38826.6067589
20260803-144813_r10_s8000_fast_sweep5,555,16.01,-741244.851713,38622.1686447
20260803-144813_r10_s8000_fast_sweep5,590,16.87,-740992.180159,38369.4970909
20260803-144813_r10_s8000_fast_sweep5,605,17.242,-740634.368597,38011.6855291
20260803-144813_r10_s8000_fast_sweep5,635,17.95,-740607.772751,37985.0896833
20260803-144813_r10_s8000_fast_sweep5,654,18.395,-740490.728606,37868.0455379
20260803-144813_r10_s8000_fast_sweep5,709,19.682,-740131.107323,37508.4242552
20260803-144813_r10_s8000_fast_sweep5,727,20.181,-739567.112513,36944.4294454
20260803-144813_r10_s8000_fast_sweep5,743,20.593,-739557.323654,36934.6405857
20260803-144813_r10_s8000_fast_sweep5,759,20.977,-739456.874263,36834.1911952
20260803-144813_r10_s8000_fast_sweep5,764,21.083,-739054.154637,36431.4715686
20260803-144813_r10_s8000_fast_sweep5,804,22.078,-738931.619022,36308.9359541
20260803-144813_r10_s8000_fast_sweep5,880,23.882,-738554.229597,35931.5465288
20260803-144813_r10_s8000_fast_sweep5,884,23.982,-738315.833354,35693.1502855
20260803-144813_r10_s8000_fast_sweep5,920,24.835,-737790.248391,35167.565323
20260803-144813_r10_s8000_fast_sweep5,974,26.177,-736686.227533,34063.5444647
20260803-144813_r10_s8000_fast_sweep5,1026,27.462,-736503.513083,33880.8300155
20260803-144813_r10_s8000_fast_sweep5,1085,28.858,-736349.073174,33726.3901057
20260803-144813_r10_s8000_fast_sweep5,1171,30.942,-736326.738386,33704.0553178
20260803-144813_r10_s8000_fast_sweep5,1174,31.019,-736244.878894,33622.195826
20260803-144813_r10_s8000_fast_sweep5,1233,32.485,-736225.785557,33603.1024893
20260803-144813_r10_s8000_fast_sweep5,1238,32.622,-736053.545893,33430.8628251
20260803-144813_r10_s8000_fast_sweep5,1323,34.612,-735816.330678,33193.6476096
20260803-144813_r10_s8000_fast_sweep5,1342,35.054,-735123.549342,32500.8662743
20260803-144813_r10_s8000_fast_sweep5,1495,38.829,-735060.088379,32437.4053109
20260803-144813_r10_s8000_fast_sweep5,1793,45.993,-734815.344286,32192.661218
20260803-144813_r10_s8000_fast_sweep5,1837,47.017,-734582.727321,31960.0442528
20260803-144813_r10_s8000_fast_sweep5,1904,48.784,-734507.456224,31884.7731565
20260803-144813_r10_s8000_fast_sweep5,1987,50.744,-734461.902746,31839.2196783
20260803-144813_r10_s8000_fast_sweep5,1988,50.776,-734439.143669,31816.4606007
20260803-144813_r10_s8000_fast_sweep5,2081,53.062,-734418.620071,31795.9370035
20260803-144813_r10_s8000_fast_sweep5,2157,54.999,-734133.032672,31510.3496037
