run_id,candidates,time_elapsed,logL,true_minus_current
20260828-182640_r20_s10000_fast_fullreopt1x1_gtr_investigate10,0,0.907511,-1729354.97943,nan
20260828-182640_r20_s10000_fast_fullreopt1x1_gtr_investigate10,10000,632.808,-1729354.97943,nan
20260828-202157_r20_s10000_fast_fullreopt1x1_gtr_investigate10,0,0.911225,-1730594.83964,nan
20260828-202157_r20_s10000_fast_fullreopt1x1_gtr_investigate10,10000,594.538,-1730594.83964,nan
20260828-223027_r20_s10000_fast_fullreopt1x1_gtr_investigate10,0,0.900997,-1733674.65193,nan
20260828-223027_r20_s10000_fast_fullreopt1x1_gtr_investigate10,10000,631.081,-1733674.65193,nan
20260829-013306_r20_s10000_fast_fullreopt1x1_gtr_investigate10,0,0.907538,-1729400.40991,nan
20260829-013306_r20_s10000_fast_fullreopt1x1_gtr_investigate10,10000,630.019,-1729400.40991,nan
20260829-050841_r20_s10000_fast_fullreopt1x1_gtr_investigate10,0,0.949418,-1725238.03323,nan
20260829-050841_r20_s10000_fast_fullreopt1x1_gtr_investigate10,10000,647.784,-1725238.03323,nan
20260829-074753_r20_s10000_fast_fullreopt1x1_gtr_investigate10,0,0.950474,-1731013.78332,nan
20260829-074753_r20_s10000_fast_fullreopt1x1_gtr_investigate10,10000,617.561,-1731013.78332,nan
20260829-104742_r20_s10000_fast_fullreopt1x1_gtr_investigate10,0,0.957418,-1724681.87045,nan
20260829-104742_r20_s10000_fast_fullreopt1x1_gtr_investigate10,10000,709.735,-1724681.87045,nan
20260829-123259_r20_s10000_fast_fullreopt1x1_gtr_investigate10,0,0.915149,-1714759.20668,nan
20260829-123259_r20_s10000_fast_fullreopt1x1_gtr_investigate10,10000,604.785,-1714759.20668,nan
20260829-143732_r20_s10000_fast_fullreopt1x1_gtr_investigate10,0,0.908753,-1722802.19124,nan
20260829-143732_r20_s10000_fast_fullreopt1x1_gtr_investigate10,10000,630.31,-1722802.19124,nan
20260829-171006_r20_s10000_fast_fullreopt1x1_gtr_investigate10,0,0.903479,-1722424.53969,nan
20260829-171006_r20_s10000_fast_fullreopt1x1_gtr_investigate10,10000,574.196,-1722424.53969,nan
20260829-192638_r20_s10000_fast_fullreopt1x1_gtr_investigate10,0,0.896273,-1719196.83852,nan
20260829-192638_r20_s10000_fast_fullreopt1x1_gtr_investigate10,10000,632.969,-1719196.83852,nan
20260829-205952_r20_s10000_fast_fullreopt1x1_gtr_investigate10,0,0.910904,-1731476.86915,nan
20260829-205952_r20_s10000_fast_fullreopt1x1_gtr_investigate10,1683,96.6621,-1731408.63142,nan
20260829-205952_r20_s10000_fast_fullreopt1x1_gtr_investigate10,1683,112.871,-1731363.17257,nan
20260829-205952_r20_s10000_fast_fullreopt1x1_gtr_investigate10,1888,120.414,-1731327.26055,nan
20260829-205952_r20_s10000_fast_fullreopt1x1_gtr_investigate10,1888,136.319,-1731301.70638,nan
20260829-205952_r20_s10000_fast_fullreopt1x1_gtr_investigate10,10420,631.012,-1731301.70638,nan
20260829-234117_r20_s10000_fast_fullreopt1x1_gtr_investigate10,0,0.93135,-1734134.94602,nan
20260829-234117_r20_s10000_fast_fullreopt1x1_gtr_investigate10,10000,608.545,-1734134.94602,nan
20260830-013243_r20_s10000_fast_fullreopt1x1_gtr_investigate10,0,0.902847,-1722368.27536,nan
20260830-013243_r20_s10000_fast_fullreopt1x1_gtr_investigate10,10000,605.937,-1722368.27536,nan
20260830-030641_r20_s10000_fast_fullreopt1x1_gtr_investigate10,0,0.905422,-1728073.21569,nan
20260830-030641_r20_s10000_fast_fullreopt1x1_gtr_investigate10,10000,637.746,-1728073.21569,nan
20260830-045726_r20_s10000_fast_fullreopt1x1_gtr_investigate10,0,0.932366,-1731894.52686,nan
20260830-045726_r20_s10000_fast_fullreopt1x1_gtr_investigate10,10000,630.864,-1731894.52686,nan
20260830-101039_r20_s10000_fast_fullreopt1x1_gtr_investigate10,0,0.89066,-1746019.0575,nan
20260830-101039_r20_s10000_fast_fullreopt1x1_gtr_investigate10,10000,603.864,-1746019.0575,nan
