run_id,candidates,time_elapsed,logL,true_minus_current
20260828-164640_r20_s10000_fast_fullreopt1x1_gtr_investigate10,0,0.912765,-1723049.61585,nan
20260828-164640_r20_s10000_fast_fullreopt1x1_gtr_investigate10,10000,620.849,-1723049.61585,nan
20260828-193256_r20_s10000_fast_fullreopt1x1_gtr_investigate10,0,0.921079,-1733000.49325,nan
20260828-193256_r20_s10000_fast_fullreopt1x1_gtr_investigate10,10000,625.666,-1733000.49325,nan
20260828-232432_r20_s10000_fast_fullreopt1x1_gtr_investigate10,0,0.90843,-1730906.54764,nan
20260828-232432_r20_s10000_fast_fullreopt1x1_gtr_investigate10,10000,613.913,-1730906.54764,nan
20260829-014731_r20_s10000_fast_fullreopt1x1_gtr_investigate10,0,0.908053,-1724558.67399,nan
20260829-014731_r20_s10000_fast_fullreopt1x1_gtr_investigate10,10000,611.602,-1724558.67399,nan
20260829-050005_r20_s10000_fast_fullreopt1x1_gtr_investigate10,0,0.96379,-1734847.57575,nan
20260829-050005_r20_s10000_fast_fullreopt1x1_gtr_investigate10,10000,600.998,-1734847.57575,nan
20260829-085448_r20_s10000_fast_fullreopt1x1_gtr_investigate10,0,0.990957,-1723215.28286,nan
20260829-085448_r20_s10000_fast_fullreopt1x1_gtr_investigate10,10000,648.575,-1723215.28286,nan
20260829-123647_r20_s10000_fast_fullreopt1x1_gtr_investigate10,0,0.936938,-1727113.96034,nan
20260829-123647_r20_s10000_fast_fullreopt1x1_gtr_investigate10,10000,601.936,-1727113.96034,nan
20260829-135218_r20_s10000_fast_fullreopt1x1_gtr_investigate10,0,0.945487,-1735408.11475,nan
20260829-135218_r20_s10000_fast_fullreopt1x1_gtr_investigate10,10000,603.665,-1735408.11475,nan
20260829-160920_r20_s10000_fast_fullreopt1x1_gtr_investigate10,0,0.90215,-1722431.01387,nan
20260829-160920_r20_s10000_fast_fullreopt1x1_gtr_investigate10,10000,619.054,-1722431.01387,nan
20260829-174454_r20_s10000_fast_fullreopt1x1_gtr_investigate10,0,0.913514,-1719495.49271,nan
20260829-174454_r20_s10000_fast_fullreopt1x1_gtr_investigate10,10000,592.432,-1719495.49271,nan
20260829-195941_r20_s10000_fast_fullreopt1x1_gtr_investigate10,0,0.934005,-1732104.50049,nan
20260829-195941_r20_s10000_fast_fullreopt1x1_gtr_investigate10,10000,599.25,-1732104.50049,nan
20260829-212521_r20_s10000_fast_fullreopt1x1_gtr_investigate10,0,0.967981,-1728285.16417,nan
20260829-212521_r20_s10000_fast_fullreopt1x1_gtr_investigate10,10000,607.787,-1728285.16417,nan
20260829-223617_r20_s10000_fast_fullreopt1x1_gtr_investigate10,0,0.93582,-1730696.86787,nan
20260829-223617_r20_s10000_fast_fullreopt1x1_gtr_investigate10,603,35.4142,-1730642.04794,nan
20260829-223617_r20_s10000_fast_fullreopt1x1_gtr_investigate10,603,51.9028,-1730373.38335,nan
20260829-223617_r20_s10000_fast_fullreopt1x1_gtr_investigate10,1737,116.062,-1730318.76724,nan
20260829-223617_r20_s10000_fast_fullreopt1x1_gtr_investigate10,1737,132.916,-1730257.09918,nan
20260829-223617_r20_s10000_fast_fullreopt1x1_gtr_investigate10,10302,632.132,-1730257.09918,nan
20260830-023433_r20_s10000_fast_fullreopt1x1_gtr_investigate10,0,0.921113,-1726476.7583,nan
20260830-023433_r20_s10000_fast_fullreopt1x1_gtr_investigate10,10000,617.174,-1726476.7583,nan
20260830-043620_r20_s10000_fast_fullreopt1x1_gtr_investigate10,0,0.932252,-1717244.11593,nan
20260830-043620_r20_s10000_fast_fullreopt1x1_gtr_investigate10,10000,621.151,-1717244.11593,nan
20260830-071045_r20_s10000_fast_fullreopt1x1_gtr_investigate10,0,0.891686,-1730952.11349,nan
20260830-071045_r20_s10000_fast_fullreopt1x1_gtr_investigate10,10000,611.213,-1730952.11349,nan
20260830-093808_r20_s10000_fast_fullreopt1x1_gtr_investigate10,0,0.900607,-1727740.99992,nan
20260830-093808_r20_s10000_fast_fullreopt1x1_gtr_investigate10,10000,581.163,-1727740.99992,nan
