run_id,candidates,time_elapsed,logL,true_minus_current
20260831-145901_r20_s10000_fast_fullreopt1x1_gtr_investigate10,0,0.703125,-1731476.86915,nan
20260831-145921_r20_s10000_fast_fullreopt1x1_gtr_investigate10,0,0.609375,-1730696.86787,nan
20260831-145901_r20_s10000_fast_fullreopt1x1_gtr_investigate10,10000,570.062,-1731476.86915,nan
20260831-150916_r20_s10000_fast_fullreopt1x1_gtr_investigate10,0,0.6875,-1731476.86915,nan
20260831-145921_r20_s10000_fast_fullreopt1x1_gtr_investigate10,10000,609.141,-1730696.86787,nan
20260831-151002_r20_s10000_fast_fullreopt1x1_gtr_investigate10,0,0.578125,-1730696.86787,nan
20260831-150916_r20_s10000_fast_fullreopt1x1_gtr_investigate10,8008,625.844,-1731412.29073,nan
20260831-150916_r20_s10000_fast_fullreopt1x1_gtr_investigate10,8008,653.438,-1731372.50623,nan
20260831-150916_r20_s10000_fast_fullreopt1x1_gtr_investigate10,8225,665.125,-1731327.13453,nan
20260831-150916_r20_s10000_fast_fullreopt1x1_gtr_investigate10,8225,684.938,-1731301.70655,nan
20260831-151002_r20_s10000_fast_fullreopt1x1_gtr_investigate10,10000,803.641,-1730696.86787,nan
20260831-150916_r20_s10000_fast_fullreopt1x1_gtr_investigate10,10432,854.453,-1731301.70655,nan
20260831-152359_r20_s10000_fast_fullreopt1x1_gtr_investigate10,0,0.703125,-1730696.86787,nan
20260831-152359_r20_s10000_fast_fullreopt1x1_gtr_investigate10,6539,407.5,-1730576.94717,nan
20260831-152359_r20_s10000_fast_fullreopt1x1_gtr_investigate10,6539,428.219,-1730518.13949,nan
20260831-152359_r20_s10000_fast_fullreopt1x1_gtr_investigate10,10119,649.531,-1730518.13949,nan
20260831-154738_r20_s10000_fast_fullreopt1x1_gtr_investigate10,0,0.515625,-1730696.86787,nan
20260831-154738_r20_s10000_fast_fullreopt1x1_gtr_investigate10,10000,466.938,-1730696.86787,nan
20260831-160855_r20_s10000_fast_fullreopt1x1_gtr_investigate10,0,0.53125,-1730696.86787,nan
20260831-160855_r20_s10000_fast_fullreopt1x1_gtr_investigate10,10000,628.141,-1730696.86787,nan
20260831-162015_r20_s10000_fast_fullreopt1x1_gtr_investigate10,0,0.5625,-1730696.86787,nan
20260831-162015_r20_s10000_fast_fullreopt1x1_gtr_investigate10,10000,612.781,-1730696.86787,nan
20260831-163127_r20_s10000_fast_fullreopt1x1_gtr_investigate10,0,0.546875,-1730696.86787,nan
20260831-163127_r20_s10000_fast_fullreopt1x1_gtr_investigate10,1678,99.8125,-1730600.20786,nan
20260831-163127_r20_s10000_fast_fullreopt1x1_gtr_investigate10,1678,119.125,-1730352.42824,nan
20260831-163127_r20_s10000_fast_fullreopt1x1_gtr_investigate10,4345,273.734,-1730338.23553,nan
20260831-163127_r20_s10000_fast_fullreopt1x1_gtr_investigate10,4345,292.609,-1730257.09932,nan
20260831-163127_r20_s10000_fast_fullreopt1x1_gtr_investigate10,10172,627.328,-1730257.09932,nan
