run_id,candidates,time_elapsed,logL,true_minus_current
20260805-205046_r10_s10000_fast_gtr_findopt500,500,10.4108,-666311.700659,8456.44096841
20260805-205046_r10_s10000_fast_gtr_findopt500,1000,17.3769,-664722.080069,6866.82037872
20260805-205046_r10_s10000_fast_gtr_findopt500,1500,24.3534,-663113.394295,5258.13460509
20260805-205046_r10_s10000_fast_gtr_findopt500,2000,31.1968,-662563.134695,4707.87500425
20260805-205046_r10_s10000_fast_gtr_findopt500,2500,38.0552,-661668.111867,3812.85217689
20260805-205046_r10_s10000_fast_gtr_findopt500,3000,44.9163,-661032.992866,3177.73317606
20260805-205046_r10_s10000_fast_gtr_findopt500,3500,51.7683,-660485.178037,2629.91834663
20260805-205046_r10_s10000_fast_gtr_findopt500,4000,58.6124,-660485.178037,2629.91834663
20260805-205046_r10_s10000_fast_gtr_findopt500,4500,65.479,-660541.820183,2686.5604925
20260805-205046_r10_s10000_fast_gtr_findopt500,5000,72.3287,-660541.820183,2686.5604925
20260805-205046_r10_s10000_fast_gtr_findopt500,5500,79.1607,-659753.717056,1898.4573656
20260805-205046_r10_s10000_fast_gtr_findopt500,6000,86.0045,-658739.846745,884.58705426
20260805-205046_r10_s10000_fast_gtr_findopt500,6500,92.8486,-658311.182006,455.922315942
20260805-205046_r10_s10000_fast_gtr_findopt500,7000,99.6696,-658311.182006,455.922315942
20260805-205046_r10_s10000_fast_gtr_findopt500,7500,106.474,-658311.182006,455.922315942
20260805-205046_r10_s10000_fast_gtr_findopt500,8000,113.272,-658296.304442,441.044751595
20260805-205046_r10_s10000_fast_gtr_findopt500,8500,120.105,-658296.304442,441.044751595
20260805-205046_r10_s10000_fast_gtr_findopt500,9000,126.93,-658296.304442,441.044751595
20260805-205046_r10_s10000_fast_gtr_findopt500,9500,133.756,-658296.304442,441.044751595
20260805-205046_r10_s10000_fast_gtr_findopt500,10000,140.579,-658290.692904,435.433213229
20260805-205555_r10_s10000_fast_gtr_findopt500,500,10.4382,-666523.124549,8667.86485893
20260805-205555_r10_s10000_fast_gtr_findopt500,1000,17.4614,-664584.275488,6729.0157975
20260805-205555_r10_s10000_fast_gtr_findopt500,1500,24.4974,-664468.69062,6613.43092993
20260805-205555_r10_s10000_fast_gtr_findopt500,2000,31.5578,-661858.830223,4003.57053314
20260805-205555_r10_s10000_fast_gtr_findopt500,2500,38.637,-662067.215007,4211.955317
20260805-205555_r10_s10000_fast_gtr_findopt500,3000,45.733,-661050.019047,3194.75935665
20260805-205555_r10_s10000_fast_gtr_findopt500,3500,52.8348,-660962.363873,3107.10418245
20260805-205555_r10_s10000_fast_gtr_findopt500,4000,59.93,-660962.363883,3107.10419311
20260805-205555_r10_s10000_fast_gtr_findopt500,4500,66.9942,-660723.579571,2868.31988031
20260805-205555_r10_s10000_fast_gtr_findopt500,5000,74.0533,-658757.935591,902.675900728
20260805-205555_r10_s10000_fast_gtr_findopt500,5500,81.1017,-658827.666661,972.406970166
